station	replica	date	time	depth	mesh_size	type	med_size	n
RN1	1	9/24/2020	09:41:00 AM	0	330	2	2250	0
RN1	1	9/24/2020	09:41:00 AM	0	330	2	2750	0
RN1	1	9/24/2020	09:41:00 AM	0	330	2	3250	0
RN1	1	9/24/2020	09:41:00 AM	0	330	2	3750	0
RN1	1	9/24/2020	09:41:00 AM	0	330	2	4250	0
RN1	1	9/24/2020	09:41:00 AM	0	330	2	4750	0
RN1	1	9/24/2020	09:41:00 AM	0	330	2	17500	0
RN1	1	9/24/2020	09:41:00 AM	0	330	3	125	1
RN1	1	9/24/2020	09:41:00 AM	0	330	3	225	1
RN1	1	9/24/2020	09:41:00 AM	0	330	3	375	0
RN1	1	9/24/2020	09:41:00 AM	0	330	3	750	1
RN1	1	9/24/2020	09:41:00 AM	0	330	3	1250	0
RN1	1	9/24/2020	09:41:00 AM	0	330	3	1750	0
RN1	1	9/24/2020	09:41:00 AM	0	330	3	2250	0
RN1	1	9/24/2020	09:41:00 AM	0	330	3	2750	0
RN1	1	9/24/2020	09:41:00 AM	0	330	3	3250	0
RN1	1	9/24/2020	09:41:00 AM	0	330	3	3750	0
RN1	1	9/24/2020	09:41:00 AM	0	330	3	4250	0
RN1	1	9/24/2020	09:41:00 AM	0	330	3	4750	0
RN1	1	9/24/2020	09:41:00 AM	0	330	3	17500	0
RN2	1	2/25/2020	09:03:00 AM	0	330	0	125	14
RN2	1	2/25/2020	09:03:00 AM	0	330	0	225	14
RN2	1	2/25/2020	09:03:00 AM	0	330	0	375	143
RN2	1	2/25/2020	09:03:00 AM	0	330	0	750	88
RN2	1	2/25/2020	09:03:00 AM	0	330	0	1250	11
RN2	1	2/25/2020	09:03:00 AM	0	330	0	1750	27
RN2	1	2/25/2020	09:03:00 AM	0	330	0	2250	1
RN2	1	2/25/2020	09:03:00 AM	0	330	0	2750	24
RN2	1	2/25/2020	09:03:00 AM	0	330	0	3250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	0	3750	12
RN2	1	2/25/2020	09:03:00 AM	0	330	0	4250	0
RN2	1	2/25/2020	09:03:00 AM	0	330	0	4750	4
RN2	1	2/25/2020	09:03:00 AM	0	330	0	17500	4
RN2	1	2/25/2020	09:03:00 AM	0	330	1	125	12
RN2	1	2/25/2020	09:03:00 AM	0	330	1	225	13
RN2	1	2/25/2020	09:03:00 AM	0	330	1	375	64
RN2	1	2/25/2020	09:03:00 AM	0	330	1	750	7
RN2	1	2/25/2020	09:03:00 AM	0	330	1	1250	0
