station	replica	date	time	depth	mesh_size	type	med_size	n
RN2	1	3/18/2021	10:29:00 AM	15	250	2	2750	0
RN2	1	3/18/2021	10:29:00 AM	15	250	2	3250	0
RN2	1	3/18/2021	10:29:00 AM	15	250	2	3750	0
RN2	1	3/18/2021	10:29:00 AM	15	250	2	4250	0
RN2	1	3/18/2021	10:29:00 AM	15	250	2	4750	0
RN2	1	3/18/2021	10:29:00 AM	15	250	2	17500	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	125	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	225	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	375	1
RN2	1	3/18/2021	10:29:00 AM	15	250	3	750	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	1250	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	1750	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	2250	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	2750	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	3250	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	3750	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	4250	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	4750	0
RN2	1	3/18/2021	10:29:00 AM	15	250	3	17500	0
RN2	1	3/18/2021	10:49:00 AM	5	250	0	125	1
RN2	1	3/18/2021	10:49:00 AM	5	250	0	225	1
RN2	1	3/18/2021	10:49:00 AM	5	250	0	375	7
RN2	1	3/18/2021	10:49:00 AM	5	250	0	750	20
RN2	1	3/18/2021	10:49:00 AM	5	250	0	1250	2
RN2	1	3/18/2021	10:49:00 AM	5	250	0	1750	2
RN2	1	3/18/2021	10:49:00 AM	5	250	0	2250	0
RN2	1	3/18/2021	10:49:00 AM	5	250	0	2750	2
RN2	1	3/18/2021	10:49:00 AM	5	250	0	3250	1
RN2	1	3/18/2021	10:49:00 AM	5	250	0	3750	0
RN2	1	3/18/2021	10:49:00 AM	5	250	0	4250	0
RN2	1	3/18/2021	10:49:00 AM	5	250	0	4750	1
RN2	1	3/18/2021	10:49:00 AM	5	250	0	17500	0
RN2	1	3/18/2021	10:49:00 AM	5	250	1	125	1
RN2	1	3/18/2021	10:49:00 AM	5	250	1	225	1
