    C0mS/cm     Tv290C Sbeox0ML/L Sbox0Mm/Kg        Par    WetStar      DepSM      Sal00       Flag
  56.473837    24.2860     4.5983    200.171 7.2401e+02     0.0091      0.992    38.1419 0.0000e+00
  56.426090    24.2696     4.5777    199.273 5.8908e+02     0.0074      1.240    38.1194 0.0000e+00
  56.353112    24.2309     4.5507    198.087 6.1260e+02     0.0130      1.488    38.0967 0.0000e+00
  56.259731    24.1587     4.5652    198.721 7.4882e+02     0.0157      1.736    38.0870 0.0000e+00
  56.215435    24.0994     4.5920    199.882 7.3338e+02     0.0059      1.984    38.1038 0.0000e+00
  56.194295    24.0727     4.5952    200.020 6.8550e+02    -0.0001      2.232    38.1104 0.0000e+00
  56.182228    24.0570     4.5859    199.618 7.9099e+02     0.0029      2.480    38.1145 0.0000e+00
  56.175390    24.0478     4.5905    199.818 7.2027e+02     0.0034      2.728    38.1171 0.0000e+00
  56.168523    24.0417     4.5894    199.768 6.4835e+02     0.0007      2.976    38.1170 0.0000e+00
  56.162685    24.0358     4.5811    199.405 5.4013e+02     0.0017      3.224    38.1174 0.0000e+00
  56.159734    24.0310     4.5864    199.636 5.0690e+02     0.0081      3.472    38.1192 0.0000e+00
  56.158510    24.0285     4.6025    200.338 5.2569e+02     0.0080      3.720    38.1204 0.0000e+00
  56.156958    24.0270     4.5873    199.677 4.4464e+02     0.0030      3.968    38.1203 0.0000e+00
  56.154367    24.0253     4.5756    199.166 5.7251e+02     0.0080      4.216    38.1198 0.0000e+00
  56.151972    24.0230     4.5879    199.704 4.9242e+02     0.0042      4.464    38.1198 0.0000e+00
  56.149159    24.0206     4.5953    200.024 4.4128e+02     0.0006      4.712    38.1197 0.0000e+00
  56.144986    24.0175     4.5902    199.803 4.2513e+02     0.0075      4.960    38.1189 0.0000e+00
  56.141240    24.0141     4.5964    200.075 5.2658e+02     0.0073      5.209    38.1190 0.0000e+00
  56.138073    24.0110     4.6077    200.562 4.5405e+02     0.0079      5.456    38.1191 0.0000e+00
  56.135332    24.0084     4.6043    200.418 6.3189e+02     0.0159      5.704    38.1191 0.0000e+00
  56.133931    24.0060     4.5953    200.022 4.4256e+02     0.0172      5.952    38.1200 0.0000e+00
  56.133064    24.0042     4.5865    199.640 4.0332e+02     0.0284      6.200    38.1208 0.0000e+00
  56.132078    24.0028     4.5904    199.811 4.0283e+02     0.0178      6.448    38.1212 0.0000e+00
  56.130778    24.0015     4.5934    199.943 4.2185e+02     0.0275      6.697    38.1212 0.0000e+00
  56.129401    24.0002     4.5972    200.105 3.8369e+02     0.0392      6.944    38.1212 0.0000e+00
  56.128414    23.9990     4.5929    199.921 4.1878e+02     0.0376      7.192    38.1214 0.0000e+00
  56.127802    23.9980     4.5922    199.888 3.8470e+02     0.0208      7.440    38.1217 0.0000e+00
  56.127395    23.9972     4.5929    199.919 3.9593e+02     0.0344      7.688    38.1220 0.0000e+00
  56.126966    23.9963     4.6001    200.228 4.2725e+02     0.0300      7.936    38.1223 0.0000e+00
  56.126312    23.9957     4.6032    200.367 3.8975e+02     0.0254      8.185    38.1223 0.0000e+00
  56.125742    23.9949     4.6064    200.505 3.0613e+02     0.0298      8.433    38.1224 0.0000e+00
  56.125189    23.9943     4.6010    200.274 3.8479e+02     0.0393      8.681    38.1224 0.0000e+00
  56.124469    23.9938     4.5977    200.127 3.7376e+02     0.0404      8.929    38.1222 0.0000e+00
  56.123590    23.9930     4.5945    199.988 3.4081e+02     0.0258      9.176    38.1221 0.0000e+00
  56.122605    23.9921     4.5860    199.617 3.2473e+02     0.0391      9.424    38.1221 0.0000e+00
  56.121700    23.9911     4.5908    199.827 3.3475e+02     0.0384      9.672    38.1221 0.0000e+00
  56.121303    23.9900     4.5990    200.182 2.6765e+02     0.0425      9.920    38.1226 0.0000e+00
  56.121322    23.9894     4.5950    200.009 3.5673e+02     0.0458     10.168    38.1232 0.0000e+00
  56.121306    23.9891     4.5919    199.877 2.7693e+02     0.0455     10.416    38.1232 0.0000e+00
  56.121329    23.9889     4.5924    199.897 3.3332e+02     0.0449     10.665    38.1234 0.0000e+00
  56.121472    23.9887     4.5917    199.866 2.6584e+02     0.0471     10.912    38.1236 0.0000e+00
  56.121602    23.9886     4.5925    199.898 2.7906e+02     0.0519     11.160    38.1237 0.0000e+00
  56.121562    23.9886     4.5887    199.735 2.7883e+02     0.0467     11.409    38.1236 0.0000e+00
  56.121188    23.9884     4.5845    199.552 2.8247e+02     0.0625     11.656    38.1233 0.0000e+00
  56.120313    23.9880     4.5846    199.559 2.4735e+02     0.0567     11.904    38.1230 0.0000e+00
  56.119277    23.9872     4.5898    199.782 2.3926e+02     0.0469     12.153    38.1227 0.0000e+00
  56.118403    23.9864     4.5926    199.905 2.5038e+02     0.0379     12.400    38.1227 0.0000e+00
  56.117776    23.9855     4.5921    199.882 2.8046e+02     0.0546     12.649    38.1228 0.0000e+00
  56.117127    23.9848     4.5941    199.971 2.4356e+02     0.0529     12.896    38.1229 0.0000e+00
  56.116464    23.9840     4.5967    200.083 2.4355e+02     0.0592     13.145    38.1230 0.0000e+00
  56.115776    23.9831     4.6012    200.279 2.6695e+02     0.0653     13.392    38.1231 0.0000e+00
  56.115008    23.9823     4.6026    200.341 2.8048e+02     0.0609     13.641    38.1231 0.0000e+00
  56.114306    23.9815     4.6034    200.377 2.6372e+02     0.0684     13.888    38.1232 0.0000e+00
  56.113565    23.9807     4.6030    200.358 2.2841e+02     0.0582     14.137    38.1232 0.0000e+00
  56.112582    23.9800     4.5985    200.164 2.3628e+02     0.0681     14.384    38.1230 0.0000e+00
  56.111777    23.9792     4.5917    199.867 2.4712e+02     0.0681     14.632    38.1229 0.0000e+00
  56.111334    23.9785     4.5868    199.654 2.7247e+02     0.0828     14.880    38.1231 0.0000e+00
  56.110954    23.9779     4.5871    199.666 2.3060e+02     0.0780     15.128    38.1233 0.0000e+00
  56.110704    23.9774     4.5901    199.796 2.1283e+02     0.0754     15.377    38.1234 0.0000e+00
  56.110546    23.9770     4.5913    199.847 2.3705e+02     0.0865     15.624    38.1235 0.0000e+00
  56.110404    23.9767     4.5920    199.879 2.5675e+02     0.0923     15.873    38.1236 0.0000e+00
  56.110234    23.9763     4.5932    199.932 2.3706e+02     0.0760     16.120    38.1237 0.0000e+00
  56.109922    23.9760     4.5900    199.788 2.1973e+02     0.0961     16.368    38.1236 0.0000e+00
  56.109375    23.9756     4.5948    199.999 2.0013e+02     0.1010     16.617    38.1235 0.0000e+00
  56.108676    23.9750     4.5974    200.112 1.9993e+02     0.1129     16.864    38.1234 0.0000e+00
  56.107850    23.9743     4.6004    200.245 2.3259e+02     0.1230     17.112    38.1233 0.0000e+00
  56.106679    23.9734     4.5977    200.128 2.1322e+02     0.1218     17.360    38.1230 0.0000e+00
  56.105067    23.9723     4.5926    199.907 1.8845e+02     0.1086     17.608    38.1226 0.0000e+00
  56.103023    23.9708     4.5919    199.873 1.9574e+02     0.1094     17.857    38.1223 0.0000e+00
  56.100825    23.9690     4.5947    199.997 2.1852e+02     0.1283     18.104    38.1221 0.0000e+00
  56.098463    23.9669     4.6006    200.253 2.1345e+02     0.1158     18.352    38.1220 0.0000e+00
  56.096195    23.9647     4.6064    200.502 1.8952e+02     0.1174     18.601    38.1221 0.0000e+00
  56.094368    23.9626     4.6029    200.351 1.8356e+02     0.1255     18.849    38.1224 0.0000e+00
  56.092843    23.9609     4.6019    200.308 1.9001e+02     0.1268     19.096    38.1226 0.0000e+00
  56.091671    23.9596     4.5982    200.145 1.8526e+02     0.1325     19.344    38.1227 0.0000e+00
  56.091029    23.9586     4.5997    200.213 1.7397e+02     0.1282     19.593    38.1230 0.0000e+00
  56.090688    23.9578     4.6026    200.341 1.7859e+02     0.1224     19.840    38.1233 0.0000e+00
  56.090389    23.9572     4.6052    200.451 1.8508e+02     0.1319     20.088    38.1235 0.0000e+00
  56.089742    23.9568     4.6077    200.561 1.7901e+02     0.1367     20.337    38.1233 0.0000e+00
  56.088443    23.9562     4.6023    200.326 1.6804e+02     0.1334     20.584    38.1227 0.0000e+00
  56.085225    23.9551     4.6020    200.315 1.6146e+02     0.1278     20.832    38.1211 0.0000e+00
  56.076962    23.9523     4.6081    200.588 1.6247e+02     0.1420     21.081    38.1171 0.0000e+00
  56.061086    23.9466     4.6152    200.906 1.7436e+02     0.1174     21.328    38.1096 0.0000e+00
  56.026715    23.9334     4.6369    201.849 1.7754e+02     0.1597     21.576    38.0945 0.0000e+00
  55.958598    23.9044     4.6607    202.865 1.5358e+02     0.1460     21.824    38.0670 0.0000e+00
  55.833911    23.8474     4.6840    203.861 1.4987e+02     0.1454     22.072    38.0199 0.0000e+00
  55.648847    23.7500     4.7356    206.105 1.5596e+02     0.1533     22.320    37.9610 0.0000e+00
  55.459938    23.6159     4.7962    208.743 1.5737e+02     0.1398     22.568    37.9303 0.0000e+00
  55.315218    23.4758     4.8299    210.195 1.4886e+02     0.1475     22.816    37.9387 0.0000e+00
  55.203673    23.3548     4.8441    210.805 1.4141e+02     0.1621     23.065    37.9563 0.0000e+00
  55.089989    23.2515     4.8467    210.921 1.3873e+02     0.1734     23.313    37.9570 0.0000e+00
  54.974718    23.1498     4.8429    210.754 1.4162e+02     0.1808     23.561    37.9550 0.0000e+00
  54.888128    23.0526     4.8359    210.444 1.4393e+02     0.2009     23.808    37.9715 0.0000e+00
  54.816869    22.9752     4.8391    210.573 1.3901e+02     0.1835     24.056    37.9828 0.0000e+00
  54.728100    22.9085     4.8531    211.182 1.3066e+02     0.2037     24.304    37.9712 0.0000e+00
  54.620418    22.8314     4.8717    211.981 1.3277e+02     0.2151     24.552    37.9537 0.0000e+00
  54.522044    22.7441     4.8803    212.349 1.3045e+02     0.2150     24.800    37.9522 0.0000e+00
  54.445922    22.6631     4.8929    212.899 1.2040e+02     0.2341     25.048    37.9628 0.0000e+00
  54.374275    22.5931     4.9111    213.691 1.2363e+02     0.2476     25.296    37.9672 0.0000e+00
  54.321007    22.5289     4.9185    214.010 1.2803e+02     0.2451     25.544    37.9812 0.0000e+00
  54.274644    22.4759     4.9163    213.915 1.2101e+02     0.2639     25.792    37.9908 0.0000e+00
  54.217415    22.4288     4.9171    213.941 1.1438e+02     0.2454     26.040    37.9866 0.0000e+00
  54.145022    22.3774     4.9237    214.232 1.1688e+02     0.2445     26.288    37.9742 0.0000e+00
  54.069219    22.3186     4.9222    214.152 1.2155e+02     0.2517     26.536    37.9655 0.0000e+00
  53.989983    22.2554     4.9247    214.253 1.1818e+02     0.2619     26.784    37.9580 0.0000e+00
  53.906066    22.1859     4.9376    214.812 1.1035e+02     0.2571     27.032    37.9521 0.0000e+00
  53.813835    22.1075     4.9556    215.591 1.0470e+02     0.2490     27.280    37.9475 0.0000e+00
  53.732863    22.0225     4.9641    215.958 1.0721e+02     0.2483     27.528    37.9576 0.0000e+00
  53.671449    21.9492     4.9726    216.344 1.1294e+02     0.2603     27.776    37.9730 0.0000e+00
  53.623841    21.8947     4.9714    216.272 1.1018e+02     0.2669     28.024    37.9829 0.0000e+00
  53.576884    21.8517     4.9765    216.483 1.0356e+02     0.2653     28.272    37.9831 0.0000e+00
  53.506979    21.8075     4.9930    217.194 1.0048e+02     0.2495     28.520    37.9661 0.0000e+00
  53.405844    21.7486     5.0125    218.042 9.7492e+01     0.2602     28.768    37.9370 0.0000e+00
  53.307527    21.6543     5.0353    219.045 9.6399e+01     0.2368     29.016    37.9412 0.0000e+00
  53.241042    21.5625     5.0519    219.771 9.9267e+01     0.2550     29.264    37.9688 0.0000e+00
  53.188971    21.4991     5.0505    219.689 9.9930e+01     0.2535     29.512    37.9830 0.0000e+00
  53.117126    21.4536     5.0483    219.580 9.6311e+01     0.2630     29.760    37.9653 0.0000e+00
  52.994919    21.3932     5.0533    219.787 9.3047e+01     0.2710     30.008    37.9201 0.0000e+00
  52.857435    21.3049     5.0680    220.423 9.0610e+01     0.2652     30.256    37.8872 0.0000e+00
  52.739048    21.1892     5.0890    221.332 8.8938e+01     0.2396     30.504    37.8941 0.0000e+00
  52.651960    21.0733     5.1018    221.892 8.7739e+01     0.2662     30.751    37.9263 0.0000e+00
  52.599174    20.9793     5.1088    222.195 8.7156e+01     0.3031     31.000    37.9671 0.0000e+00
  52.573908    20.9287     5.1098    222.247 8.5061e+01     0.2516     31.248    37.9917 0.0000e+00
  52.548135    20.9004     5.1060    222.074 8.5196e+01     0.2544     31.496    37.9958 0.0000e+00
  52.515660    20.8760     5.1042    221.987 8.6045e+01     0.2175     31.744    37.9910 0.0000e+00
  52.465715    20.8482     5.0959    221.621 8.5573e+01     0.2219     31.992    37.9750 0.0000e+00
  52.396024    20.8062     5.0997    221.782 8.2404e+01     0.2213     32.239    37.9557 0.0000e+00
  52.323937    20.7477     5.1103    222.246 7.8180e+01     0.2152     32.488    37.9490 0.0000e+00
  52.259195    20.6796     5.1285    223.036 7.6323e+01     0.2253     32.736    37.9569 0.0000e+00
  52.214332    20.6172     5.1462    223.814 7.6413e+01     0.2208     32.983    37.9759 0.0000e+00
  52.180482    20.5803     5.1508    224.019 7.7478e+01     0.2363     33.232    37.9813 0.0000e+00
  52.139813    20.5509     5.1402    223.539 7.7550e+01     0.2593     33.479    37.9742 0.0000e+00
  52.083705    20.5191     5.1324    223.174 7.5138e+01     0.2626     33.727    37.9565 0.0000e+00
  51.994670    20.4732     5.1358    223.325 7.1565e+01     0.2675     33.976    37.9245 0.0000e+00
  51.878672    20.3998     5.1695    224.816 6.8746e+01     0.2566     34.224    37.8949 0.0000e+00
  51.772904    20.2941     5.2013    226.195 6.7713e+01     0.2666     34.472    37.9026 0.0000e+00
  51.726471    20.1980     5.2182    226.943 6.8135e+01     0.2665     34.719    37.9507 0.0000e+00
  51.625410    20.1454     5.2067    226.414 6.8355e+01     0.2807     34.968    37.9145 0.0000e+00
  51.455831    20.0594     5.2012    226.145 6.9033e+01     0.2949     35.216    37.8515 0.0000e+00
  51.252990    19.9349     5.2286    227.322 6.8482e+01     0.3087     35.463    37.7953 0.0000e+00
  51.023919    19.7795     5.2605    228.703 6.5951e+01     0.3126     35.711    37.7448 0.0000e+00
  50.813528    19.5833     5.3079    230.760 6.3086e+01     0.3206     35.959    37.7464 0.0000e+00
  50.648622    19.3784     5.3584    232.961 6.1996e+01     0.3420     36.207    37.7939 0.0000e+00
  50.528294    19.2115     5.3807    233.925 6.2904e+01     0.3335     36.455    37.8445 0.0000e+00
  50.415560    19.0877     5.3911    234.356 6.4059e+01     0.3069     36.704    37.8623 0.0000e+00
  50.292654    18.9875     5.4019    234.820 6.3246e+01     0.3280     36.951    37.8499 0.0000e+00
  50.165726    18.8879     5.4153    235.401 6.1032e+01     0.3078     37.199    37.8334 0.0000e+00
  50.057404    18.7835     5.4247    235.807 5.9884e+01     0.3103     37.447    37.8370 0.0000e+00
  49.968981    18.6823     5.4341    236.218 5.9517e+01     0.3154     37.695    37.8545 0.0000e+00
  49.885259    18.5891     5.4317    236.099 5.9525e+01     0.3038     37.943    37.8687 0.0000e+00
  49.793029    18.5015     5.4258    235.834 5.9343e+01     0.3039     38.191    37.8704 0.0000e+00
  49.687219    18.4152     5.4398    236.477 5.8565e+01     0.3166     38.439    37.8594 0.0000e+00
  49.574662    18.3237     5.4432    236.585 5.7934e+01     0.3469     38.687    37.8472 0.0000e+00
  49.472603    18.2278     5.4317    236.061 5.6650e+01     0.3122     38.935    37.8481 0.0000e+00
  49.336143    18.1279     5.4214    235.620 5.5809e+01     0.3318     39.183    37.8228 0.0000e+00
  49.128197    17.9807     5.4077    235.015 5.5927e+01     0.3472     39.431    37.7796 0.0000e+00
  48.954518    17.8013     5.3754    233.598 5.6597e+01     0.3412     39.679    37.7955 0.0000e+00
  48.795245    17.6366     5.3513    232.539 5.6538e+01     0.3464     39.927    37.8103 0.0000e+00
  48.637789    17.4883     5.3604    232.927 5.5036e+01     0.3727     40.175    37.8113 0.0000e+00
  48.502260    17.3477     5.3929    234.329 5.3065e+01     0.3922     40.422    37.8241 0.0000e+00
  48.392197    17.2211     5.4272    235.825 5.2122e+01     0.4470     40.670    37.8461 0.0000e+00
  48.298668    17.1098     5.4612    237.308 5.2708e+01     0.4788     40.918    37.8684 0.0000e+00
  48.217846    17.0152     5.4781    238.025 5.3240e+01     0.5339     41.167    37.8860 0.0000e+00
  48.134096    16.9359     5.4904    238.551 5.2531e+01     0.4930     41.415    37.8867 0.0000e+00
  48.030373    16.8581     5.4731    237.789 5.1305e+01     0.4417     41.662    37.8684 0.0000e+00
  47.924365    16.7656     5.4331    236.044 5.0254e+01     0.4121     41.910    37.8617 0.0000e+00
  47.834001    16.6647     5.3851    233.958 4.9461e+01     0.4588     42.158    37.8768 0.0000e+00
