    C0mS/cm     Tv290C Sbeox0ML/L Sbox0Mm/Kg        Par    WetStar      DepSM      Sal00       Flag
  55.993525    23.9507     4.5532    198.200 5.2086e+02     0.2633      0.743    38.0615 0.0000e+00
  55.994348    23.9502     4.5459    197.877 2.9358e+02     0.2587      0.992    38.0626 0.0000e+00
  55.995847    23.9508     4.5502    198.065 3.3020e+02     0.2913      1.240    38.0631 0.0000e+00
  55.995952    23.9511     4.5564    198.337 2.5031e+02     0.2503      1.488    38.0628 0.0000e+00
  55.996598    23.9512     4.5482    197.979 2.7281e+02     0.2488      1.736    38.0631 0.0000e+00
  55.997498    23.9516     4.5487    197.999 2.4447e+02     0.2634      1.984    38.0635 0.0000e+00
  55.997644    23.9519     4.5642    198.676 2.3856e+02     0.2506      2.232    38.0631 0.0000e+00
  55.997928    23.9520     4.5723    199.029 2.2215e+02     0.2567      2.480    38.0632 0.0000e+00
  55.999812    23.9525     4.5724    199.035 2.1079e+02     0.2509      2.728    38.0641 0.0000e+00
  56.000055    23.9533     4.5635    198.645 2.3334e+02     0.2483      2.976    38.0635 0.0000e+00
  56.000087    23.9534     4.5533    198.200 1.9604e+02     0.2290      3.225    38.0634 0.0000e+00
  56.000529    23.9534     4.5481    197.973 1.6388e+02     0.2237      3.472    38.0636 0.0000e+00
  56.000986    23.9536     4.5562    198.327 1.9946e+02     0.2350      3.720    38.0638 0.0000e+00
  56.001499    23.9538     4.5619    198.577 1.9371e+02     0.2220      3.968    38.0638 0.0000e+00
  56.003095    23.9541     4.5605    198.519 1.5681e+02     0.2143      4.216    38.0648 0.0000e+00
  56.006913    23.9556     4.5588    198.442 1.6493e+02     0.2272      4.464    38.0664 0.0000e+00
  56.009049    23.9577     4.5598    198.484 1.3433e+02     0.2366      4.713    38.0661 0.0000e+00
  56.009786    23.9590     4.5674    198.818 1.6689e+02     0.2307      4.960    38.0654 0.0000e+00
  56.010874    23.9594     4.5627    198.612 1.3351e+02     0.2300      5.208    38.0659 0.0000e+00
  56.010863    23.9600     4.5465    197.902 1.3308e+02     0.2158      5.456    38.0652 0.0000e+00
  56.010164    23.9598     4.5475    197.951 1.3752e+02     0.2322      5.704    38.0647 0.0000e+00
  56.010113    23.9595     4.5572    198.369 1.3130e+02     0.2270      5.952    38.0649 0.0000e+00
  56.010395    23.9593     4.5620    198.579 1.1607e+02     0.2491      6.200    38.0652 0.0000e+00
  56.011106    23.9592     4.5686    198.868 1.2805e+02     0.2533      6.448    38.0657 0.0000e+00
  56.010940    23.9593     4.5651    198.715 1.2453e+02     0.2806      6.697    38.0654 0.0000e+00
  56.010358    23.9592     4.5591    198.456 1.1991e+02     0.2388      6.945    38.0650 0.0000e+00
  56.010626    23.9590     4.5595    198.472 9.9588e+01     0.2374      7.192    38.0653 0.0000e+00
  56.013074    23.9592     4.5575    198.384 1.0592e+02     0.2322      7.440    38.0669 0.0000e+00
  56.014865    23.9602     4.5560    198.314 1.0497e+02     0.2329      7.688    38.0674 0.0000e+00
  56.013724    23.9605     4.5529    198.183 1.0150e+02     0.2239      7.937    38.0661 0.0000e+00
  56.016769    23.9603     4.5574    198.379 1.0247e+02     0.2338      8.185    38.0685 0.0000e+00
  56.026429    23.9616     4.5643    198.681 9.7303e+01     0.2401      8.433    38.0747 0.0000e+00
  56.037033    23.9658     4.5681    198.844 9.7030e+01     0.2347      8.681    38.0793 0.0000e+00
  56.041215    23.9705     4.5632    198.630 8.5238e+01     0.2378      8.929    38.0783 0.0000e+00
  56.041723    23.9730     4.5568    198.353 8.8437e+01     0.2499      9.176    38.0765 0.0000e+00
  56.045522    23.9738     4.5597    198.477 8.4538e+01     0.2355      9.424    38.0786 0.0000e+00
  56.052986    23.9757     4.5617    198.565 8.4991e+01     0.2361      9.673    38.0826 0.0000e+00
  56.058897    23.9785     4.5610    198.537 8.3875e+01     0.2324      9.921    38.0846 0.0000e+00
  56.064881    23.9810     4.5539    198.224 8.2479e+01     0.2338     10.169    38.0870 0.0000e+00
  56.069694    23.9836     4.5591    198.455 8.2343e+01     0.2247     10.417    38.0884 0.0000e+00
  56.073674    23.9858     4.5597    198.475 7.5965e+01     0.2230     10.664    38.0895 0.0000e+00
  56.077566    23.9876     4.5542    198.238 7.2795e+01     0.2230     10.912    38.0908 0.0000e+00
  56.079070    23.9889     4.5381    197.541 7.5556e+01     0.2207     11.160    38.0908 0.0000e+00
  56.080143    23.9894     4.5442    197.804 7.4207e+01     0.2288     11.409    38.0911 0.0000e+00
  56.080532    23.9897     4.5640    198.667 7.7096e+01     0.2196     11.657    38.0910 0.0000e+00
  56.080448    23.9899     4.5754    199.160 7.4928e+01     0.2070     11.905    38.0907 0.0000e+00
  56.080927    23.9901     4.5752    199.153 7.0163e+01     0.2030     12.152    38.0908 0.0000e+00
  56.082234    23.9901     4.5731    199.061 6.4540e+01     0.2136     12.400    38.0918 0.0000e+00
  56.083136    23.9903     4.5680    198.837 6.8815e+01     0.1887     12.648    38.0922 0.0000e+00
  56.083776    23.9908     4.5539    198.225 6.6707e+01     0.2165     12.896    38.0921 0.0000e+00
  56.084296    23.9913     4.5445    197.820 6.5718e+01     0.2099     13.145    38.0921 0.0000e+00
