    C0mS/cm     Tv290C Sbeox0ML/L Sbox0Mm/Kg        Par    WetStar      DepSM      Sal00       Flag
  56.352995    24.1491     4.5484    197.984 1.3648e+02     0.0647     15.872    38.1616 0.0000e+00
  56.350276    24.1468     4.5444    197.811 1.3023e+02     0.0779     16.120    38.1613 0.0000e+00
  56.344305    24.1436     4.5455    197.861 1.3313e+02     0.0727     16.368    38.1594 0.0000e+00
  56.336715    24.1387     4.5292    197.148 1.2898e+02     0.0615     16.617    38.1578 0.0000e+00
  56.327151    24.1330     4.5030    196.010 1.2725e+02     0.0728     16.865    38.1553 0.0000e+00
  56.313815    24.1247     4.4890    195.397 1.3187e+02     0.0731     17.112    38.1521 0.0000e+00
  56.300042    24.1126     4.4719    194.652 1.3071e+02     0.0971     17.360    38.1518 0.0000e+00
  56.289895    24.1007     4.4687    194.512 1.2269e+02     0.1090     17.608    38.1542 0.0000e+00
  56.282497    24.0923     4.4859    195.261 1.3154e+02     0.1451     17.856    38.1556 0.0000e+00
  56.274422    24.0864     4.5042    196.057 1.1811e+02     0.1689     18.104    38.1545 0.0000e+00
  56.262911    24.0794     4.5144    196.501 1.1625e+02     0.1872     18.353    38.1515 0.0000e+00
  56.247122    24.0696     4.5232    196.882 1.2589e+02     0.2306     18.600    38.1478 0.0000e+00
  56.232087    24.0557     4.5219    196.827 1.1779e+02     0.2115     18.848    38.1481 0.0000e+00
  56.222493    24.0432     4.5148    196.516 1.1300e+02     0.2338     19.096    38.1514 0.0000e+00
  56.210777    24.0339     4.5020    195.959 1.1331e+02     0.2300     19.344    38.1502 0.0000e+00
  56.196219    24.0228     4.4990    195.829 1.0754e+02     0.2198     19.592    38.1485 0.0000e+00
  56.188285    24.0123     4.5066    196.160 1.0623e+02     0.2359     19.840    38.1514 0.0000e+00
  56.180350    24.0055     4.5072    196.187 1.0427e+02     0.2514     20.088    38.1510 0.0000e+00
  56.165448    23.9970     4.5070    196.173 1.0115e+02     0.2635     20.336    38.1469 0.0000e+00
  56.133375    23.9803 -9.990e-29 -9.990e-29 9.8049e+01     0.2755     20.584    38.1365 0.0000e+00
