    C0mS/cm     Tv290C Sbeox0ML/L Sbox0Mm/Kg        Par    WetStar      DepSM      Sal00       Flag
  56.024804    23.9485     3.5059    152.607 1.8952e+03    -0.0097      0.744    38.0875 0.0000e+00
  56.049281    23.9635     3.5203    153.234 5.6048e+02    -0.0170      0.992    38.0933 0.0000e+00
  56.072240    23.9816     3.6523    158.979 6.6281e+02    -0.0078      1.240    38.0953 0.0000e+00
  56.092345    23.9961     3.7562    163.505 5.6707e+02    -0.0114      1.488    38.0982 0.0000e+00
  56.107913    24.0062     3.7927    165.094 5.4037e+02    -0.0191      1.736    38.1015 0.0000e+00
  56.114070    24.0115     3.7601    163.674 6.5654e+02    -0.0126      1.984    38.1014 0.0000e+00
  56.116242    24.0139     3.7122    161.587 4.4707e+02    -0.0106      2.232    38.1010 0.0000e+00
  56.118120    24.0148     3.6667    159.605 4.8508e+02    -0.0019      2.480    38.1016 0.0000e+00
  56.120934    24.0149     3.6456    158.688 4.4245e+02    -0.0213      2.728    38.1036 0.0000e+00
  56.122974    24.0148     3.6837    160.348 4.0859e+02    -0.0189      2.976    38.1051 0.0000e+00
  56.123958    24.0144     3.7501    163.234 3.0583e+02    -0.0032      3.224    38.1062 0.0000e+00
  56.124311    24.0135     3.8564    167.864 2.9159e+02     0.0085      3.472    38.1071 0.0000e+00
  56.123783    24.0122     3.9858    173.495 2.9352e+02     0.0228      3.721    38.1077 0.0000e+00
  56.122820    24.0108     4.1108    178.936 2.6679e+02    -0.0023      3.968    38.1081 0.0000e+00
  56.122458    24.0097     4.1752    181.737 3.2669e+02     0.0295      4.216    38.1086 0.0000e+00
  56.122680    24.0093     4.2077    183.153 3.5761e+02     0.0377      4.464    38.1091 0.0000e+00
  56.122954    24.0090     4.2235    183.841 3.0556e+02     0.0398      4.713    38.1094 0.0000e+00
  56.123280    24.0089     4.2686    185.806 2.9368e+02     0.0226      4.960    38.1098 0.0000e+00
  56.123596    24.0088     4.3283    188.402 3.5621e+02     0.0281      5.208    38.1100 0.0000e+00
  56.123754    24.0086     4.3780    190.569 3.1835e+02     0.0568      5.457    38.1101 0.0000e+00
  56.123824    24.0084     4.3984    191.458 2.3015e+02     0.0546      5.705    38.1103 0.0000e+00
  56.123951    24.0080     4.3863    190.930 2.8703e+02     0.0178      5.952    38.1107 0.0000e+00
  56.124394    24.0079     4.3197    188.030 2.7640e+02     0.0219      6.200    38.1110 0.0000e+00
  56.124949    24.0080     4.1672    181.392 2.5229e+02     0.0887      6.448    38.1113 0.0000e+00
  56.125122    24.0082     4.0171    174.856 2.2609e+02     0.1536      6.696    38.1111 0.0000e+00
  56.124993    24.0082     3.9455    171.740 2.5120e+02     0.1563      6.944    38.1110 0.0000e+00
  56.124787    24.0081     3.9302    171.076 2.3227e+02     0.1845      7.192    38.1107 0.0000e+00
  56.124592    24.0080     3.9264    170.910 2.1835e+02     0.1672      7.440    38.1106 0.0000e+00
  56.124494    24.0080     3.9586    172.314 2.3121e+02     0.1689      7.688    38.1105 0.0000e+00
  56.124726    24.0080     4.0900    178.032 2.4712e+02     0.2027      7.936    38.1105 0.0000e+00
  56.125235    24.0081     4.2740    186.044 2.1876e+02     0.1583      8.185    38.1108 0.0000e+00
  56.125839    24.0082     4.4108    191.995 2.1894e+02     0.1885      8.432    38.1111 0.0000e+00
  56.126643    24.0084     4.4671    194.444 2.4819e+02     0.1882      8.680    38.1114 0.0000e+00
  56.127630    24.0089     4.4927    195.560 1.8595e+02     0.1585      8.928    38.1117 0.0000e+00
  56.128223    24.0093     4.4893    195.410 2.3223e+02     0.1809      9.176    38.1117 0.0000e+00
  56.128472    24.0095     4.4655    194.373 2.0035e+02     0.1560      9.424    38.1116 0.0000e+00
  56.128391    24.0095     4.4584    194.064 2.3082e+02     0.1734      9.673    38.1115 0.0000e+00
  56.128368    24.0093     4.4774    194.897 2.0415e+02     0.1938      9.921    38.1115 0.0000e+00
  56.128470    24.0093     4.5062    196.148 1.7986e+02     0.1775     10.168    38.1116 0.0000e+00
  56.129383    24.0094     4.5176    196.645 1.8161e+02     0.1954     10.416    38.1120 0.0000e+00
  56.130568    24.0100     4.4907    195.471 1.9181e+02     0.2064     10.664    38.1123 0.0000e+00
  56.131421    24.0106     4.4722    194.668 1.7358e+02     0.2450     10.912    38.1124 0.0000e+00
  56.132206    24.0109     4.4770    194.877 1.7589e+02     0.2370     11.160    38.1127 0.0000e+00
  56.133193    24.0108     4.4901    195.446 1.6938e+02     0.2350     11.408    38.1134 0.0000e+00
  56.134472    24.0107     4.5099    196.309 2.0700e+02     0.2362     11.657    38.1144 0.0000e+00
  56.135641    24.0108     4.5192    196.714 1.6830e+02     0.2391     11.904    38.1151 0.0000e+00
  56.136024    24.0112     4.5273    197.068 1.5639e+02     0.2765     12.152    38.1149 0.0000e+00
  56.135844    24.0118     4.5214    196.808 1.5779e+02     0.2440     12.400    38.1143 0.0000e+00
  56.136161    24.0123     4.5108    196.349 1.4234e+02     0.2413     12.649    38.1140 0.0000e+00
  56.137148    24.0126     4.5136    196.470 1.5746e+02     0.2484     12.897    38.1143 0.0000e+00
