    C0mS/cm     Tv290C Sbeox0ML/L Sbox0Mm/Kg        Par    WetStar      DepSM      Sal00       Flag
  55.955847    23.8636     4.5292    197.140 5.3896e+02     0.0090      0.744    38.1074 0.0000e+00
  55.955222    23.8637     4.5223    196.839 4.4297e+02     0.0296      0.992    38.1068 0.0000e+00
  55.955000    23.8635     4.5171    196.613 3.9152e+02     0.0309      1.240    38.1067 0.0000e+00
  55.955007    23.8634     4.5286    197.116 4.7752e+02     0.0253      1.488    38.1067 0.0000e+00
  55.955291    23.8633     4.5425    197.720 3.7015e+02     0.0298      1.736    38.1068 0.0000e+00
  55.955680    23.8633     4.5544    198.237 3.6742e+02     0.0346      1.984    38.1071 0.0000e+00
  55.956118    23.8634     4.5625    198.592 4.4232e+02     0.0444      2.232    38.1073 0.0000e+00
  55.956489    23.8636     4.5563    198.321 2.5457e+02     0.0288      2.480    38.1073 0.0000e+00
  55.956743    23.8638     4.5418    197.691 2.5077e+02     0.0172      2.728    38.1072 0.0000e+00
  55.956885    23.8639     4.5344    197.366 2.6059e+02     0.0255      2.976    38.1071 0.0000e+00
  55.957073    23.8640     4.5389    197.561 3.1092e+02     0.0159      3.224    38.1071 0.0000e+00
  55.957372    23.8640     4.5483    197.970 2.5629e+02     0.0302      3.472    38.1073 0.0000e+00
  55.957690    23.8641     4.5499    198.042 2.2150e+02     0.0146      3.720    38.1074 0.0000e+00
  55.958438    23.8642     4.5462    197.882 3.3043e+02     0.0224      3.968    38.1077 0.0000e+00
  55.959649    23.8646     4.5353    197.408 2.4764e+02     0.0084      4.216    38.1082 0.0000e+00
  55.961432    23.8652     4.5374    197.496 2.5552e+02     0.0348      4.464    38.1090 0.0000e+00
  55.963845    23.8664     4.5462    197.883 2.2321e+02     0.0018      4.712    38.1098 0.0000e+00
  55.966111    23.8678     4.5506    198.071 2.1710e+02     0.0246      4.960    38.1102 0.0000e+00
  55.966926    23.8692     4.5603    198.495 2.1690e+02     0.0001      5.208    38.1096 0.0000e+00
  55.967653    23.8698     4.5582    198.403 2.0260e+02     0.0163      5.456    38.1095 0.0000e+00
  55.968610    23.8703     4.5567    198.337 2.2853e+02     0.0200      5.704    38.1097 0.0000e+00
  55.969687    23.8709     4.5509    198.085 2.1925e+02     0.0163      5.952    38.1099 0.0000e+00
  55.970423    23.8714     4.5412    197.662 2.2628e+02     0.0340      6.200    38.1100 0.0000e+00
  55.970955    23.8718     4.5392    197.577 2.0706e+02     0.0222      6.449    38.1100 0.0000e+00
  55.971316    23.8722     4.5443    197.796 1.8684e+02     0.0106      6.697    38.1098 0.0000e+00
  55.971569    23.8725     4.5421    197.703 1.9960e+02     0.0326      6.944    38.1097 0.0000e+00
  55.972479    23.8727     4.5474    197.935 1.9366e+02     0.0256      7.192    38.1101 0.0000e+00
  55.974113    23.8731     4.5526    198.160 1.6399e+02     0.0213      7.441    38.1109 0.0000e+00
  55.974669    23.8736     4.5589    198.435 2.3813e+02     0.0341      7.688    38.1108 0.0000e+00
  55.973365    23.8737     4.5566    198.331 1.8670e+02     0.0296      7.936    38.1096 0.0000e+00
  55.971662    23.8730     4.5528    198.171 1.8093e+02     0.0325      8.184    38.1088 0.0000e+00
  55.970596    23.8721     4.5478    197.951 1.7610e+02     0.0292      8.433    38.1088 0.0000e+00
