    C0mS/cm     Tv290C Sbeox0ML/L Sbox0Mm/Kg        Par    WetStar      DepSM      Sal00       Flag
  56.631897    24.4139     4.5217    196.842 1.7475e+03     0.0436      0.496    38.1532 0.0000e+00
  56.620612    24.4165     4.5478    197.977 2.7280e+02     0.0223      0.744    38.1423 0.0000e+00
  56.602542    24.4054     4.5642    198.691 8.3112e+01     0.0348      0.992    38.1379 0.0000e+00
  56.593319    24.3939     4.5584    198.434 1.1562e+02     0.0350      1.240    38.1407 0.0000e+00
  56.590364    24.3874     4.5642    198.687 1.0869e+02     0.0523      1.488    38.1439 0.0000e+00
  56.588242    24.3844     4.5665    198.800 1.0080e+02     0.0306      1.736    38.1447 0.0000e+00
  56.583594    24.3820     4.5819    199.474 1.0733e+02     0.0454      1.984    38.1432 0.0000e+00
  56.567780    24.3769     4.5714    198.997 1.0503e+02     0.0386      2.232    38.1354 0.0000e+00
  56.519772    24.3622     4.5562    198.332 9.8090e+01     0.0439      2.480    38.1112 0.0000e+00
  56.424118    24.3226     4.5493    198.027 1.0048e+02     0.0499      2.728    38.0721 0.0000e+00
  56.344273    24.2565     4.5596    198.475 1.0057e+02     0.0347      2.977    38.0676 0.0000e+00
  56.300403    24.1941     4.5721    199.019 9.8181e+01     0.0388      3.224    38.0874 0.0000e+00
  56.275245    24.1499     4.5764    199.204 9.5193e+01     0.0414      3.472    38.1058 0.0000e+00
  56.260892    24.1226     4.5801    199.364 1.0070e+02     0.0500      3.721    38.1181 0.0000e+00
  56.252790    24.1075     4.5875    199.684 1.1378e+02     0.0424      3.968    38.1248 0.0000e+00
  56.246809    24.0995     4.5860    199.624 1.1931e+02     0.0514      4.216    38.1269 0.0000e+00
  56.241707    24.0941     4.5841    199.539 1.3927e+02     0.0336      4.465    38.1275 0.0000e+00
  56.237120    24.0894     4.5868    199.654 1.8275e+02     0.0295      4.712    38.1279 0.0000e+00
  56.232599    24.0849     4.5888    199.744 2.0282e+02     0.0371      4.960    38.1283 0.0000e+00
  56.228578    24.0800     4.5912    199.845 2.7854e+02     0.0115      5.208    38.1293 0.0000e+00
  56.225223    24.0753     4.5941    199.972 3.8773e+02     0.0236      5.457    38.1308 0.0000e+00
  56.222350    24.0717     4.5877    199.697 3.0800e+02     0.0103      5.704    38.1315 0.0000e+00
  56.218821    24.0690     4.5827    199.476 3.8887e+02     0.0284      5.952    38.1311 0.0000e+00
  56.215429    24.0662     4.5687    198.870 3.7287e+02     0.0117      6.200    38.1307 0.0000e+00
