       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      0.806  44.409583     0.2727    13.1954     5.2356      0.800    28.7675    38.1143 0.0000e+00
      0.907  44.409417     0.2697    13.1953     5.2359      0.900    28.7675    38.1143 0.0000e+00
      1.008  44.408876     0.2646    13.1948     5.2298      1.000    28.7675    38.1142 0.0000e+00
      1.109  44.408288     0.2634    13.1942     5.2314      1.100    28.7676    38.1141 0.0000e+00
      1.210  44.407785     0.2669    13.1938     5.2317      1.200    28.7676    38.1140 0.0000e+00
      1.311  44.407405     0.2693    13.1934     5.2344      1.300    28.7677    38.1141 0.0000e+00
      1.411  44.407006     0.2960    13.1930     5.2388      1.400    28.7678    38.1140 0.0000e+00
      1.512  44.406549     0.2622    13.1926     5.2426      1.500    28.7678    38.1140 0.0000e+00
      1.613  44.406297     0.2764    13.1922     5.2405      1.600    28.7680    38.1141 0.0000e+00
      1.714  44.406273     0.2723    13.1921     5.2344      1.700    28.7680    38.1140 0.0000e+00
      1.815  44.406485     0.2888    13.1922     5.2304      1.800    28.7680    38.1141 0.0000e+00
      1.915  44.406843     0.2932    13.1924     5.2325      1.900    28.7680    38.1142 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      2.000 -9.990e-29 -9.990e-29 -9.990e-29
      2.073  44.407522     0.3159    13.1930     5.2283      2.100    28.7679    38.1142 0.0000e+00
      2.218  44.408209     0.2894    13.1934     5.2340      2.200    28.7679    38.1143 0.0000e+00
      2.319  44.408580     0.3155    13.1937     5.2388      2.300    28.7679    38.1143 0.0000e+00
      2.420  44.408834     0.3060    13.1939     5.2427      2.400    28.7678    38.1144 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      2.500 -9.990e-29 -9.990e-29 -9.990e-29
      2.575  44.409111     0.3115    13.1942     5.2390      2.600    28.7677    38.1143 0.0000e+00
      2.721  44.409475     0.3038    13.1946     5.2447      2.700    28.7676    38.1142 0.0000e+00
      2.822  44.410203     0.3317    13.1954     5.2342      2.800    28.7673    38.1141 0.0000e+00
      2.924  44.411767     0.3086    13.1966     5.2350      2.900    28.7673    38.1143 0.0000e+00
      3.024  44.413107     0.3061    13.1976     5.2356      3.000    28.7673    38.1146 0.0000e+00
      3.125  44.414150     0.3085    13.1984     5.2324      3.100    28.7672    38.1147 0.0000e+00
      3.226  44.414674     0.3241    13.1989     5.2312      3.200    28.7670    38.1146 0.0000e+00
      3.327  44.414668     0.3448    13.1989     5.2349      3.300    28.7669    38.1145 0.0000e+00
      3.428  44.414179     0.3472    13.1987     5.2373      3.400    28.7668    38.1142 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      3.500 -9.990e-29 -9.990e-29 -9.990e-29
      3.579  44.413108     0.3491    13.1980     5.2438      3.600    28.7666    38.1138 0.0000e+00
      3.729  44.412480     0.3459    13.1976     5.2510      3.700    28.7666    38.1137 0.0000e+00
      3.830  44.412628     0.3229    13.1976     5.2483      3.800    28.7666    38.1137 0.0000e+00
      3.931  44.413037     0.3617    13.1977     5.2493      3.900    28.7667    38.1139 0.0000e+00
      4.032  44.413455     0.3616    13.1979     5.2544      4.000    28.7668    38.1140 0.0000e+00
      4.133  44.413808     0.3575    13.1982     5.2542      4.100    28.7668    38.1141 0.0000e+00
      4.234  44.414196     0.3674    13.1985     5.2522      4.200    28.7668    38.1141 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      4.300 -9.990e-29 -9.990e-29 -9.990e-29
      4.397  44.414841     0.3547    13.1988     5.2463      4.400    28.7669    38.1143 0.0000e+00
      4.536  44.415136     0.3692    13.1990     5.2402      4.500    28.7668    38.1143 0.0000e+00
      4.637  44.414996     0.3846    13.1989     5.2359      4.600    28.7668    38.1143 0.0000e+00
      4.738  44.414682     0.3823    13.1987     5.2339      4.700    28.7668    38.1142 0.0000e+00
      4.838  44.414299     0.3908    13.1983     5.2319      4.800    28.7668    38.1141 0.0000e+00
      4.939  44.414028     0.4140    13.1982     5.2284      4.900    28.7668    38.1140 0.0000e+00
      5.040  44.414040     0.4200    13.1981     5.2282      5.000    28.7668    38.1140 0.0000e+00
