       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.512  44.468499     0.1737    13.2511     5.1528      1.500    28.7561    38.1147 0.0000e+00
      2.016  44.466655     0.1673    13.2495     5.1756      2.000    28.7562    38.1143 0.0000e+00
      2.520  44.465500     0.1903    13.2477     5.1751      2.500    28.7569    38.1147 0.0000e+00
      3.024  44.457355     0.1909    13.2399     5.1803      3.000    28.7584    38.1145 0.0000e+00
      3.528  44.452819     0.2218    13.2344     5.1739      3.500    28.7603    38.1154 0.0000e+00
      4.032  44.450387     0.2657    13.2303     5.1794      4.000    28.7623    38.1170 0.0000e+00
      4.536  44.451094     0.2889    13.2284     5.1828      4.500    28.7646    38.1194 0.0000e+00
      5.040  44.453933     0.3103    13.2284     5.1824      5.000    28.7666    38.1219 0.0000e+00
      5.544  44.454791     0.3320    13.2285     5.1819      5.500    28.7669    38.1223 0.0000e+00
      6.048  44.455521     0.3589    13.2286     5.1823      6.000    28.7672    38.1227 0.0000e+00
      6.552  44.456349     0.3737    13.2287     5.1825      6.500    28.7676    38.1232 0.0000e+00
      7.056  44.456270     0.3702    13.2287     5.1804      7.000    28.7674    38.1229 0.0000e+00
      7.560  44.456164     0.3862    13.2286     5.1904      7.500    28.7672    38.1227 0.0000e+00
      8.064  44.456032     0.3912    13.2284     5.1811      8.000    28.7672    38.1225 0.0000e+00
      8.568  44.455305     0.3954    13.2279     5.1685      8.500    28.7669    38.1220 0.0000e+00
      9.072  44.454464     0.3959    13.2274     5.1736      9.000    28.7666    38.1215 0.0000e+00
      9.576  44.453730     0.4018    13.2271     5.1863      9.500    28.7663    38.1210 0.0000e+00
     10.080  44.454027     0.4070    13.2275     5.1813     10.000    28.7659    38.1205 0.0000e+00
     10.584  44.456241     0.4077    13.2291     5.1815     10.500    28.7658    38.1208 0.0000e+00
     11.088  44.456769     0.4007    13.2294     5.1782     11.000    28.7657    38.1208 0.0000e+00
     11.593  44.456629     0.4303    13.2293     5.1649     11.500    28.7656    38.1206 0.0000e+00
     12.096  44.456980     0.4267    13.2295     5.1708     12.000    28.7655    38.1205 0.0000e+00
     12.600  44.457126     0.3969    13.2294     5.1773     12.500    28.7655    38.1205 0.0000e+00
     13.104  44.458415     0.3979    13.2297     5.1817     13.000    28.7660    38.1212 0.0000e+00
     13.609  44.464083     0.4009    13.2315     5.1767     13.500    28.7683    38.1246 0.0000e+00
     14.112  44.467232     0.4236    13.2331     5.1811     14.000    28.7689    38.1257 0.0000e+00
     14.617  44.465989     0.4552    13.2324     5.1692     14.500    28.7685    38.1251 0.0000e+00
     15.121  44.470039     0.4516    13.2340     5.1698     15.000    28.7698    38.1271 0.0000e+00
     15.625  44.482207     0.4544    13.2399     5.1780     15.500    28.7728    38.1326 0.0000e+00
     16.128  44.494015     0.4660    13.2461     5.1775     16.000    28.7754    38.1376 0.0000e+00
     16.633  44.512799     0.4760    13.2562     5.1672     16.500    28.7792    38.1453 0.0000e+00
     17.137  44.549207     0.5090    13.2759     5.1726     17.000    28.7866    38.1601 0.0000e+00
     17.641  44.576766     0.5280    13.2920     5.1707     17.500    28.7911    38.1702 0.0000e+00
     18.145  44.593178     0.5795    13.3010     5.1517     18.000    28.7943    38.1768 0.0000e+00
     18.648  44.607022     0.6302    13.3072     5.1557     18.500    28.7983    38.1835 0.0000e+00
     19.153  44.613579     0.6340    13.3101     5.1593     19.000    28.8001    38.1867 0.0000e+00
