       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.008  44.408775     0.2674    13.1947     5.2323      1.000    28.7675    38.1142 0.0000e+00
      1.512  44.406718     0.2768    13.1926     5.2385      1.500    28.7679    38.1140 0.0000e+00
      2.016  44.407291     0.2983    13.1928     5.2312      2.000    28.7680    38.1142 0.0000e+00
      2.520  44.409038     0.3092    13.1941     5.2416      2.500    28.7677    38.1143 0.0000e+00
      3.024  44.412759     0.3154    13.1973     5.2341      3.000    28.7672    38.1145 0.0000e+00
      3.528  44.413540     0.3477    13.1983     5.2418      3.500    28.7667    38.1140 0.0000e+00
      4.032  44.413449     0.3552    13.1980     5.2515      4.000    28.7667    38.1140 0.0000e+00
      4.536  44.414844     0.3707    13.1988     5.2402      4.500    28.7668    38.1143 0.0000e+00
      5.040  44.414264     0.4150    13.1983     5.2277      5.000    28.7668    38.1140 0.0000e+00
      5.544  44.415478     0.4082    13.1991     5.2272      5.500    28.7667    38.1141 0.0000e+00
      6.048  44.415712     0.4246    13.1990     5.2308      6.000    28.7667    38.1142 0.0000e+00
      6.552  44.412147     0.4450    13.1956     5.2382      6.500    28.7673    38.1139 0.0000e+00
      7.056  44.411594     0.4491    13.1947     5.2329      7.000    28.7677    38.1141 0.0000e+00
      7.560  44.412977     0.4522    13.1958     5.2314      7.500    28.7674    38.1141 0.0000e+00
      8.064  44.415178     0.4564    13.1977     5.2361      8.000    28.7670    38.1141 0.0000e+00
      8.568  44.415930     0.4775    13.1983     5.2384      8.500    28.7668    38.1139 0.0000e+00
      9.072  44.415960     0.4846    13.1982     5.2411      9.000    28.7667    38.1138 0.0000e+00
      9.576  44.416713     0.4779    13.1987     5.2354      9.500    28.7667    38.1139 0.0000e+00
     10.080  44.416209     0.4949    13.1980     5.2403     10.000    28.7668    38.1138 0.0000e+00
     10.584  44.416142     0.4940    13.1975     5.2345     10.500    28.7671    38.1140 0.0000e+00
     11.088  44.415244     0.5140    13.1965     5.2294     11.000    28.7673    38.1140 0.0000e+00
     11.592  44.415346     0.5013    13.1963     5.2333     11.500    28.7674    38.1140 0.0000e+00
     12.096  44.417433     0.5063    13.1981     5.2346     12.000    28.7670    38.1140 0.0000e+00
     12.600  44.421795     0.5297    13.2014     5.2344     12.500    28.7668    38.1146 0.0000e+00
