       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.512  44.500840     0.0541    13.2955     5.1437      1.500    28.7364    38.1011 0.0000e+00
      2.016  44.502088     0.0345    13.2962     5.1529      2.000    28.7364    38.1014 0.0000e+00
      2.520  44.502784     0.0383    13.2966     5.1397      2.500    28.7363    38.1014 0.0000e+00
      3.024  44.503216     0.0393    13.2968     5.1318      3.000    28.7363    38.1014 0.0000e+00
      3.528  44.503730     0.0416    13.2971     5.1303      3.500    28.7362    38.1013 0.0000e+00
      4.032  44.504884     0.0492    13.2980     5.1396      4.000    28.7361    38.1014 0.0000e+00
      4.536  44.505836     0.0499    13.2987     5.1395      4.500    28.7359    38.1014 0.0000e+00
      5.040  44.506120     0.0490    13.2987     5.1411      5.000    28.7360    38.1014 0.0000e+00
      5.544  44.503669     0.0858    13.2968     5.1305      5.500    28.7359    38.1007 0.0000e+00
      6.048  44.502257     0.0697    13.2954     5.1281      6.000    28.7360    38.1006 0.0000e+00
      6.552  44.502087     0.0773    13.2950     5.1391      6.500    28.7362    38.1006 0.0000e+00
      7.056  44.502320     0.1098    13.2949     5.1332      7.000    28.7362    38.1006 0.0000e+00
      7.560  44.502638     0.1275    13.2950     5.1302      7.500    28.7363    38.1007 0.0000e+00
      8.064  44.503070     0.1680    13.2952     5.1426      8.000    28.7362    38.1006 0.0000e+00
      8.568  44.503558     0.1463    13.2953     5.1447      8.500    28.7362    38.1007 0.0000e+00
      9.072  44.503994     0.1558    13.2954     5.1466      9.000    28.7364    38.1009 0.0000e+00
      9.576  44.503864     0.1860    13.2951     5.1394      9.500    28.7364    38.1008 0.0000e+00
     10.080  44.503814     0.1776    13.2949     5.1420     10.000    28.7364    38.1007 0.0000e+00
     10.584  44.503651     0.1881    13.2944     5.1409     10.500    28.7365    38.1008 0.0000e+00
     11.088  44.502993     0.1919    13.2935     5.1369     11.000    28.7368    38.1008 0.0000e+00
     11.592  44.502487     0.2061    13.2928     5.1354     11.500    28.7370    38.1009 0.0000e+00
     12.096  44.502767     0.2065    13.2925     5.1431     12.000    28.7373    38.1011 0.0000e+00
     12.601  44.502969     0.2000    13.2925     5.1429     12.500    28.7373    38.1011 0.0000e+00
     13.105  44.503315     0.2381    13.2926     5.1412     13.000    28.7372    38.1011 0.0000e+00
     13.608  44.503692     0.2396    13.2927     5.1280     13.500    28.7373    38.1011 0.0000e+00
     14.112  44.504053     0.2300    13.2928     5.1272     14.000    28.7373    38.1012 0.0000e+00
     14.617  44.504452     0.2505    13.2930     5.1437     14.500    28.7372    38.1012 0.0000e+00
     15.121  44.504637     0.2481    13.2929     5.1345     15.000    28.7373    38.1012 0.0000e+00
     15.624  44.504703     0.2318    13.2926     5.1343     15.500    28.7375    38.1013 0.0000e+00
     16.128  44.504377     0.2522    13.2920     5.1414     16.000    28.7376    38.1013 0.0000e+00
     16.632  44.504296     0.2329    13.2918     5.1493     16.500    28.7377    38.1013 0.0000e+00
     17.137  44.504462     0.2551    13.2917     5.1429     17.000    28.7377    38.1013 0.0000e+00
     17.641  44.504778     0.2565    13.2918     5.1406     17.500    28.7376    38.1012 0.0000e+00
     18.145  44.505045     0.2630    13.2919     5.1422     18.000    28.7376    38.1012 0.0000e+00
     18.649  44.505238     0.2774    13.2918     5.1404     18.500    28.7377    38.1012 0.0000e+00
     19.153  44.505560     0.2867    13.2918     5.1335     19.000    28.7377    38.1013 0.0000e+00
     19.657  44.505945     0.2557    13.2920     5.1374     19.500    28.7377    38.1012 0.0000e+00
     20.161  44.506526     0.2734    13.2922     5.1439     20.000    28.7377    38.1014 0.0000e+00
     20.665  44.507103     0.2658    13.2925     5.1353     20.500    28.7377    38.1014 0.0000e+00
     21.169  44.507644     0.2681    13.2928     5.1323     21.000    28.7377    38.1014 0.0000e+00
     21.673  44.507805     0.2890    13.2927     5.1405     21.500    28.7377    38.1014 0.0000e+00
     22.177  44.508154     0.2487    13.2927     5.1354     22.000    28.7378    38.1015 0.0000e+00
     22.681  44.508445     0.2800    13.2927     5.1342     22.500    28.7379    38.1016 0.0000e+00
     23.185  44.508617     0.2907    13.2926     5.1383     23.000    28.7379    38.1016 0.0000e+00
     23.689  44.508858     0.2850    13.2926     5.1350     23.500    28.7379    38.1016 0.0000e+00
     24.193  44.509155     0.2631    13.2927     5.1381     24.000    28.7380    38.1016 0.0000e+00
     24.697  44.509550     0.2737    13.2926     5.1415     24.500    28.7381    38.1018 0.0000e+00
     25.201  44.509811     0.2904    13.2926     5.1391     25.000    28.7381    38.1018 0.0000e+00
     25.705  44.510257     0.2641    13.2928     5.1401     25.500    28.7381    38.1018 0.0000e+00
     26.209  44.510838     0.2816    13.2931     5.1390     26.000    28.7381    38.1018 0.0000e+00
     26.714  44.511468     0.2834    13.2935     5.1335     26.500    28.7381    38.1018 0.0000e+00
     27.218  44.511466     0.3027    13.2933     5.1398     27.000    28.7380    38.1018 0.0000e+00
     27.722  44.511094     0.2794    13.2929     5.1403     27.500    28.7380    38.1016 0.0000e+00
     28.226  44.511092     0.2638    13.2926     5.1316     28.000    28.7381    38.1016 0.0000e+00
     28.730  44.511507     0.2541    13.2927     5.1191     28.500    28.7382    38.1017 0.0000e+00
     29.234  44.512065     0.2616    13.2930     5.1186     29.000    28.7381    38.1017 0.0000e+00
     29.738  44.512562     0.2581    13.2934     5.1345     29.500    28.7380    38.1016 0.0000e+00
     30.242  44.512691     0.2470    13.2933     5.1484     30.000    28.7379    38.1015 0.0000e+00
     30.746  44.512782     0.2628    13.2932     5.1507     30.500    28.7379    38.1015 0.0000e+00
     31.250  44.513436     0.2672    13.2935     5.1479     31.000    28.7380    38.1016 0.0000e+00
