       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      4.939  44.358347     0.2778    13.1728     5.3233      4.900    28.7502    38.0858 0.0000e+00
      5.040  44.358505     0.3037    13.1729     5.3223      5.000    28.7502    38.0858 0.0000e+00
      5.141  44.358601     0.2727    13.1731     5.3291      5.100    28.7500    38.0857 0.0000e+00
      5.242  44.358722     0.2851    13.1733     5.3328      5.200    28.7499    38.0856 0.0000e+00
      5.343  44.358998     0.2794    13.1734     5.3342      5.300    28.7500    38.0857 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      5.400 -9.990e-29 -9.990e-29 -9.990e-29
      5.495  44.359464     0.2993    13.1735     5.3343      5.500    28.7502    38.0859 0.0000e+00
      5.645  44.359671     0.3098    13.1735     5.3371      5.600    28.7503    38.0861 0.0000e+00
      5.746  44.359670     0.3017    13.1735     5.3353      5.700    28.7502    38.0860 0.0000e+00
      5.847  44.359722     0.3110    13.1735     5.3348      5.800    28.7503    38.0860 0.0000e+00
      5.948  44.359848     0.2867    13.1735     5.3324      5.900    28.7504    38.0861 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      6.000 -9.990e-29 -9.990e-29 -9.990e-29
      6.113  44.360065     0.2960    13.1734     5.3318      6.100    28.7505    38.0863 0.0000e+00
      6.249  44.359880     0.2905    13.1732     5.3324      6.200    28.7506    38.0863 0.0000e+00
      6.350  44.359267     0.3208    13.1727     5.3271      6.300    28.7505    38.0862 0.0000e+00
      6.451  44.358441     0.2913    13.1721     5.3251      6.400    28.7505    38.0859 0.0000e+00
      6.552  44.357922     0.3101    13.1718     5.3248      6.500    28.7504    38.0857 0.0000e+00
      6.653  44.357930     0.3039    13.1717     5.3243      6.600    28.7504    38.0857 0.0000e+00
      6.754  44.358161     0.3098    13.1718     5.3271      6.700    28.7505    38.0858 0.0000e+00
      6.855  44.358371     0.2911    13.1719     5.3282      6.800    28.7505    38.0859 0.0000e+00
      6.955  44.358497     0.3064    13.1720     5.3316      6.900    28.7505    38.0858 0.0000e+00
      7.056  44.358689     0.3252    13.1720     5.3382      7.000    28.7506    38.0860 0.0000e+00
      7.157  44.358999     0.3138    13.1721     5.3418      7.100    28.7506    38.0861 0.0000e+00
      7.257  44.359450     0.3460    13.1725     5.3473      7.200    28.7506    38.0861 0.0000e+00
      7.358  44.360005     0.3237    13.1729     5.3532      7.300    28.7506    38.0862 0.0000e+00
      7.459  44.360709     0.2889    13.1734     5.3541      7.400    28.7505    38.0863 0.0000e+00
      7.560  44.361519     0.3669    13.1740     5.3439      7.500    28.7505    38.0864 0.0000e+00
      7.661  44.362157     0.3266    13.1744     5.3451      7.600    28.7506    38.0866 0.0000e+00
      7.762  44.362591     0.3606    13.1748     5.3385      7.700    28.7505    38.0866 0.0000e+00
      7.863  44.362897     0.3597    13.1750     5.3332      7.800    28.7504    38.0866 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      7.900 -9.990e-29 -9.990e-29 -9.990e-29
      8.027  44.363200     0.3535    13.1752     5.3221      8.000    28.7505    38.0867 0.0000e+00
      8.165  44.363299     0.3463    13.1753     5.3211      8.100    28.7504    38.0866 0.0000e+00
      8.266  44.363308     0.3407    13.1753     5.3204      8.200    28.7504    38.0866 0.0000e+00
      8.367  44.363227     0.3546    13.1752     5.3234      8.300    28.7504    38.0865 0.0000e+00
      8.467  44.363014     0.3550    13.1750     5.3269      8.400    28.7503    38.0864 0.0000e+00
      8.568  44.362642     0.3514    13.1747     5.3343      8.500    28.7504    38.0864 0.0000e+00
      8.669  44.362198     0.3526    13.1745     5.3410      8.600    28.7502    38.0862 0.0000e+00
      8.769  44.361864     0.3306    13.1741     5.3392      8.700    28.7503    38.0862 0.0000e+00
      8.871  44.361635     0.3306    13.1738     5.3350      8.800    28.7504    38.0861 0.0000e+00
      8.972  44.361344     0.3320    13.1735     5.3286      8.900    28.7504    38.0861 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      9.000 -9.990e-29 -9.990e-29 -9.990e-29
      9.127  44.360938     0.3204    13.1732     5.3169      9.100    28.7504    38.0860 0.0000e+00
      9.274  44.360659     0.3431    13.1728     5.3140      9.200    28.7505    38.0860 0.0000e+00
      9.375  44.360439     0.3302    13.1725     5.3064      9.300    28.7506    38.0861 0.0000e+00
      9.476  44.360071     0.3294    13.1721     5.3098      9.400    28.7507    38.0861 0.0000e+00
      9.577  44.359542     0.3349    13.1716     5.3116      9.500    28.7508    38.0860 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      9.600 -9.990e-29 -9.990e-29 -9.990e-29
      9.734  44.358528     0.3425    13.1708     5.3188      9.700    28.7508    38.0858 0.0000e+00
      9.878  44.357641     0.3576    13.1700     5.3225      9.800    28.7508    38.0857 0.0000e+00
      9.979  44.357277     0.3741    13.1696     5.3249      9.900    28.7509    38.0857 0.0000e+00
     10.081  44.357059     0.3470    13.1692     5.3279     10.000    28.7511    38.0858 0.0000e+00
