       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     -0.130   0.000614    -0.0569     7.7694     8.0980     -0.129    -0.1326     0.0038 -9.990e-29
     -0.130   0.000620    -0.0392     7.7695     8.1057     -0.129    -0.1326     0.0038 -9.990e-29
     -0.129   0.000626    -0.0536     7.7696     8.1014     -0.128    -0.1326     0.0038 -9.990e-29
     -0.129   0.000628    -0.0525     7.7697     8.1053     -0.128    -0.1326     0.0038 -9.990e-29
     -0.128   0.000627    -0.0359     7.7698     8.1064     -0.127    -0.1326     0.0038 -9.990e-29
     -0.127   0.000640    -0.0436     7.7701     8.0976     -0.126    -0.1326     0.0038 -9.990e-29
     -0.126   0.000661    -0.0204     7.7704     8.0953     -0.125    -0.1326     0.0038 -9.990e-29
     -0.126   0.000693    -0.0458     7.7707     8.1014     -0.125    -0.1326     0.0039 -9.990e-29
     -0.125   0.000740    -0.0403     7.7710     8.1017     -0.124    -0.1326     0.0039 -9.990e-29
     -0.124   0.000808    -0.0381     7.7711     8.1010     -0.123    -0.1326     0.0039 -9.990e-29
     -0.123   0.000923    -0.0248     7.7712     8.1050     -0.122    -0.1326     0.0039 -9.990e-29
     -0.122   0.001122    -0.0359     7.7712     8.1036     -0.121    -0.1325     0.0040 -9.990e-29
     -0.121   0.001461    -0.0392     7.7712     8.1049     -0.120    -0.1324     0.0042 -9.990e-29
     -0.120   0.002022    -0.0160     7.7712     8.1026     -0.119    -0.1322     0.0044 -9.990e-29
     -0.118   0.002953    -0.0259     7.7712     8.1055     -0.117    -0.1318     0.0049 -9.990e-29
     -0.116   0.004507    -0.0248     7.7712     8.1023     -0.115    -0.1311     0.0057 -9.990e-29
     -0.114   0.007106    -0.0359     7.7714     8.1015     -0.113    -0.1300     0.0072 -9.990e-29
     -0.112   0.011442    -0.0337     7.7718     8.1029     -0.111    -0.1279     0.0099 -9.990e-29
     -0.108   0.018667    -0.0414     7.7724     8.1073     -0.107    -0.1243     0.0145 -9.990e-29
     -0.105   0.030722    -0.0226     7.7737     8.1079     -0.104    -0.1180     0.0224 -9.990e-29
     -0.100   0.050815    -0.0193     7.7760     7.0106     -0.099    -0.1074     0.0359 -9.990e-29
     -0.094   0.084309    -0.0270     7.7801     5.9869     -0.093    -0.0892     0.0591 -9.990e-29
     -0.086   0.140154    -0.0447     7.7873     5.8435     -0.085    -0.0582     0.0986 -9.990e-29
     -0.076   0.233253    -0.0436     7.7997     5.7705     -0.075    -0.0055     0.1659 -9.990e-29
     -0.064   0.388445    -0.0591     7.8210     5.7365     -0.063     0.0842     0.2805 -9.990e-29
     -0.048   0.647121    -0.0016     7.8570     5.7192     -0.048     0.2369     0.4759 -9.990e-29
     -0.027   1.078268    -0.0204     7.9177     5.7255     -0.027     0.4972     0.8095 -9.990e-29
     -0.001   1.796727    -0.0303     8.0194     5.7378     -0.001     0.9409     1.3796 -9.990e-29
      0.033   2.993974    -0.0281     8.1896     5.7743      0.033     1.6973     2.3548 -9.990e-29
      0.076   4.989438    -0.0281     8.4742     5.8123      0.075     2.9843     4.0211 -9.990e-29
      0.132   8.315037    -0.0359     8.9390     5.8611      0.131     5.1636     6.8583 -9.990e-29
      0.203  13.932222    -0.0171     9.5976     5.9183      0.201     8.9085    11.7519 -9.990e-29
      0.292  21.843828    -0.0171    10.3372     6.1204      0.290    14.2769    18.7826 -9.990e-29
      0.394  29.635198    -0.0248    11.0093     6.3950      0.391    19.6031    25.7762 -9.990e-29
      0.506  35.108441    -0.0060    11.5415     6.6629      0.502    23.2930    30.6467 -9.990e-29
      0.625  38.399127    -0.0381    11.9338     6.9029      0.620    25.4379    33.5016 -9.990e-29
      0.751  40.399570    -0.0226    12.2167     7.0579      0.745    26.6923    35.1865 -9.990e-29
      0.888  41.654058    -0.0137    12.4225     7.0633      0.881    27.4469    36.2103 -9.990e-29
      1.037  42.465125    -0.0215    12.5758     6.9662      1.029    27.9126    36.8493 -9.990e-29
      1.199  42.998291    -0.0193    12.6925     6.7344      1.189    28.2016    37.2519 -9.990e-29
      1.374  43.346218    -0.0027    12.7819     6.3747      1.363    28.3765    37.5005 -9.990e-29
      1.559  43.568248    -0.0182    12.8490     5.9701      1.547    28.4778    37.6487 -9.990e-29
      1.753  43.714080    -0.0359    12.8976     5.6138      1.739    28.5397    37.7413 -9.990e-29
      1.953  43.817429    -0.0337    12.9322     5.3411      1.937    28.5833    37.8065 -9.990e-29
      2.158  43.893415    -0.0215    12.9579     5.1273      2.141    28.6150    37.8542 -9.990e-29
      2.369  43.952440    -0.0126    12.9784     4.9907      2.350    28.6390    37.8906 -9.990e-29
      2.583  44.002190    -0.0337    12.9957     4.9153      2.562    28.6592    37.9212 -9.990e-29
      2.799  44.041872    -0.0171    13.0105     4.8819      2.777    28.6743    37.9446 -9.990e-29
      3.016  44.069403    -0.0148    13.0229     4.8752      2.992    28.6826    37.9587 -9.990e-29
      3.228  44.086488    -0.0325    13.0327     4.8743      3.202    28.6857    37.9652 -9.990e-29
      3.434  44.095453    -0.0359    13.0404     4.8559      3.407    28.6848    37.9661 -9.990e-29
      3.630  44.097541    -0.0237    13.0464     4.8476      3.601    28.6803    37.9619 -9.990e-29
      3.817  44.095859    -0.0027    13.0506     4.8337      3.787    28.6749    37.9560 -9.990e-29
      3.996  44.097370    -0.0337    13.0531     4.8230      3.964    28.6735    37.9549 -9.990e-29
      4.171  44.106115    -0.0027    13.0542     4.7981      4.138    28.6789    37.9621 -9.990e-29
      4.344  44.120261     0.0814    13.0551     4.7779      4.309    28.6885    37.9748 -9.990e-29
      4.521  44.137488     0.0040    13.0563     4.7571      4.485    28.7002    37.9902 -9.990e-29
      4.705  44.154255    -0.0171    13.0577     4.7386      4.668    28.7113    38.0049 -9.990e-29
      4.894  44.164121    -0.0359    13.0582     4.7233      4.855    28.7182    38.0138 -9.990e-29
      5.086  44.161782    -0.0148    13.0558     4.6957      5.046    28.7187    38.0139 -9.990e-29
      5.274  44.143662    -0.0148    13.0480     4.6671      5.232    28.7128    38.0041 -9.990e-29
      5.448  44.104656     0.0725    13.0312     4.6603      5.405    28.7001    37.9833 -9.990e-29
      5.601  44.041271     0.2993    13.0006     4.6558      5.556    28.6827    37.9527 -9.990e-29
      5.724  43.969250     0.2916    12.9575     4.6586      5.679    28.6711    37.9263 -9.990e-29
      5.816  43.911870     0.3381    12.9144     4.6681      5.770    28.6705    37.9141 -9.990e-29
      5.879  43.878959     0.3491    12.8872     4.6814      5.832    28.6726    37.9095 -9.990e-29
      5.921  43.880560     0.2883    12.8831     4.6993      5.874    28.6778    37.9152 -9.990e-29
      5.952  43.915021     0.3082    12.8977     4.7184      5.905    28.6893    37.9338 -9.990e-29
      5.977  43.960289     0.3004    12.9211     4.7276      5.929    28.7002    37.9541 -9.990e-29
      6.001  43.998905     0.4365    12.9462     4.7298      5.953    28.7045    37.9662 -9.990e-29
      6.027  44.028679     0.3226    12.9693     4.7209      5.979    28.7040    37.9718 -9.990e-29
      6.055  44.051004     0.3901    12.9882     4.7139      6.007    28.7021    37.9744 -9.990e-29
      6.082  44.062304     0.4133    13.0016     4.7084      6.034    28.6973    37.9718 -9.990e-29
      6.107  44.062350     0.3159    13.0097     4.6896      6.058    28.6894    37.9637 -9.990e-29
      6.127  44.056280     0.3502    13.0141     4.6825      6.078    28.6805    37.9534 -9.990e-29
      6.140  44.049187     0.3248    13.0171     4.6714      6.091    28.6722    37.9435 -9.990e-29
      6.147  44.045337     0.3215    13.0204     4.6549      6.098    28.6660    37.9365 -9.990e-29
      6.147  44.046227     0.3934    13.0245     4.6392      6.098    28.6627    37.9332 -9.990e-29
      6.142  44.048840     0.4387    13.0284     4.6224      6.093    28.6608    37.9318 -9.990e-29
      6.132  44.048656     0.4055    13.0310     4.5921      6.083    28.6581    37.9290 -9.990e-29
      6.120  44.042265     0.4055    13.0313     4.5666      6.071    28.6530    37.9226 -9.990e-29
      6.105  44.028630     0.3181    13.0291     4.5319      6.056    28.6449    37.9116 -9.990e-29
      6.088  44.010547     0.3181    13.0252     4.4912      6.040    28.6352    37.8981 -9.990e-29
      6.070  43.993915     0.3325    13.0216     4.4610      6.022    28.6263    37.8856 -9.990e-29
      6.054  43.985759     0.3823    13.0198     4.4292      6.006    28.6220    37.8796 -9.990e-29
      6.041  43.992213     0.3270    13.0204     4.4044      5.993    28.6262    37.8852 -9.990e-29
      6.037  44.011153     0.3082    13.0227     4.3931      5.989    28.6382    37.9012 -9.990e-29
      6.042  44.030312     0.3779    13.0257     4.4005      5.994    28.6496    37.9167 -9.990e-29
      6.058  44.037688     0.3746    13.0275     4.4102      6.010    28.6533    37.9220 -9.990e-29
      6.083  44.025633     0.3491    13.0258     4.4278      6.035    28.6460    37.9121 -9.990e-29
      6.114  43.987727     0.3878    13.0171     4.4404      6.065    28.6261    37.8842 -9.990e-29
      6.145  43.918968     0.3768    12.9975     4.4471      6.096    28.5938    37.8374 -9.990e-29
      6.171  43.827400     0.3547    12.9628     4.4486      6.122    28.5593    37.7836 -9.990e-29
      6.190  43.738536     0.3215    12.9120     4.4440      6.141    28.5425    37.7485 -9.990e-29
      6.198  43.673790     0.3314    12.8531     4.4168      6.149    28.5517    37.7448 -9.990e-29
      6.194  43.637512     0.3502    12.7996     4.3898      6.145    28.5770    37.7632 -9.990e-29
      6.180  43.626077     0.3867    12.7615     4.3625      6.131    28.6058    37.7904 -9.990e-29
      6.159  43.637834     0.4299    12.7434     4.3377      6.110    28.6325    37.8200 -9.990e-29
      6.135  43.669597     0.4642    12.7471     4.3261      6.086    28.6529    37.8471 -9.990e-29
      6.111  43.711619     0.3491    12.7706     4.3175      6.062    28.6614    37.8643 -9.990e-29
      6.091  43.757374     0.2993    12.8064     4.3130      6.043    28.6606    37.8728 -9.990e-29
      6.077  43.802943     0.4299    12.8448     4.3065      6.029    28.6571    37.8784 -9.990e-29
      6.069  43.836609     0.3889    12.8784     4.3016      6.021    28.6493    37.8772 -9.990e-29
      6.069  43.846125     0.3137    12.9035     4.2989      6.021    28.6317    37.8612 -9.990e-29
      6.074  43.828046     0.3889    12.9197     4.2934      6.026    28.6022    37.8275 -9.990e-29
      6.082  43.786034     0.3746    12.9296     4.2960      6.034    28.5609    37.7769 -9.990e-29
      6.091  43.729572     0.3679    12.9355     4.2858      6.043    28.5127    37.7163 -9.990e-29
      6.100  43.674851     0.3524    12.9382     4.2887      6.052    28.4690    37.6607 -9.990e-29
      6.108  43.637387     0.3602    12.9368     4.2770      6.059    28.4422    37.6259 -9.990e-29
      6.115  43.623618     0.3845    12.9324     4.2660      6.066    28.4362    37.6170 -9.990e-29
      6.120  43.636420     0.3724    12.9296     4.2554      6.071    28.4486    37.6321 -9.990e-29
      6.126  43.677647     0.3635    12.9321     4.2392      6.077    28.4771    37.6695 -9.990e-29
      6.132  43.737709     0.3779    12.9400     4.2399      6.083    28.5144    37.7197 -9.990e-29
      6.140  43.794830     0.4055    12.9502     4.2532      6.091    28.5472    37.7647 -9.990e-29
      6.148  43.828767     0.3701    12.9589     4.2849      6.099    28.5641    37.7888 -9.990e-29
      6.156  43.828086     0.3735    12.9627     4.3169      6.107    28.5599    37.7844 -9.990e-29
      6.162  43.789046     0.3679    12.9604     4.3482      6.113    28.5329    37.7489 -9.990e-29
      6.163  43.724250     0.7142    12.9517     4.3679      6.114    28.4928    37.6950 -9.990e-29
      6.160  43.661187     0.3679    12.9373     4.3760      6.111    28.4596    37.6484 -9.990e-29
      6.150  43.620971     0.4586    12.9201     4.3638      6.101    28.4463    37.6267 -9.990e-29
      6.137  43.614665     0.4730    12.9057     4.3396      6.088    28.4557    37.6349 -9.990e-29
      6.122  43.644783     0.4376    12.8990     4.3161      6.073    28.4848    37.6708 -9.990e-29
      6.107  43.697304     0.3967    12.9018     4.2986      6.058    28.5216    37.7188 -9.990e-29
      6.095  43.746272     0.3812    12.9109     4.2947      6.047    28.5494    37.7571 -9.990e-29
      6.087  43.769479     0.4111    12.9205     4.2943      6.039    28.5574    37.7700 -9.990e-29
      6.082  43.755943     0.4199    12.9264     4.3050      6.034    28.5414    37.7510 -9.990e-29
      6.080  43.711219     0.3746    12.9266     4.3094      6.032    28.5077    37.7075 -9.990e-29
      6.080  43.660553     0.3701    12.9210     4.3080      6.032    28.4751    37.6641 -9.990e-29
      6.081  43.629925     0.4531    12.9129     4.2949      6.033    28.4601    37.6425 -9.990e-29
      6.085  43.629730     0.7330    12.9077     4.2688      6.037    28.4650    37.6475 -9.990e-29
      6.092  43.656555     0.4874    12.9081     4.2453      6.044    28.4848    37.6731 -9.990e-29
      6.102  43.695652     0.5460    12.9127     4.2294      6.053    28.5096    37.7063 -9.990e-29
      6.115  43.727182     0.6854    12.9174     4.2251      6.066    28.5287    37.7321 -9.990e-29
      6.129  43.736357     0.6843    12.9171     4.2329      6.080    28.5359    37.7413 -9.990e-29
      6.142  43.715029     0.4310    12.9071     4.2599      6.093    28.5297    37.7307 -9.990e-29
      6.151  43.662076     0.6954    12.8843     4.2839      6.102    28.5123    37.7022 -9.990e-29
      6.156  43.590850     0.3923    12.8460     4.2998      6.107    28.4963    37.6715 -9.990e-29
      6.155  43.524922     0.3945    12.7940     4.3088      6.106    28.4977    37.6596 -9.990e-29
      6.151  43.482726     0.4509    12.7392     4.2991      6.102    28.5196    37.6735 -9.990e-29
      6.147  43.473279     0.5084    12.6958     4.2794      6.098    28.5551    37.7078 -9.990e-29
      6.145  43.498623     0.4830    12.6722     4.2558      6.096    28.5975    37.7562 -9.990e-29
      6.147  43.547967     0.4465    12.6709     4.2421      6.098    28.6361    37.8055 -9.990e-29
      6.154  43.597848     0.4443    12.6884     4.2455      6.105    28.6565    37.8364 -9.990e-29
      6.163  43.629236     0.3679    12.7147     4.3020      6.114    28.6543    37.8405 -9.990e-29
      6.171  43.632558     0.4697    12.7372     4.4120      6.122    28.6346    37.8211 -9.990e-29
      6.176  43.603377     0.5184    12.7474     4.5766      6.127    28.6026    37.7825 -9.990e-29
      6.175  43.553432     0.3724    12.7402     4.7681      6.126    28.5720    37.7412 -9.990e-29
      6.169  43.508755     0.4155    12.7166     4.9595      6.120    28.5615    37.7214 -9.990e-29
