       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.512  44.462789     0.3542    13.2446     5.1622      1.500    28.7583    38.1156 0.0000e+00
      2.016  44.465142     0.3330    13.2464     5.1505      2.000    28.7581    38.1160 0.0000e+00
      2.520  44.465741     0.3602    13.2468     5.1481      2.500    28.7580    38.1159 0.0000e+00
      3.024  44.467010     0.3617    13.2479     5.1585      3.000    28.7577    38.1158 0.0000e+00
      3.528  44.468581     0.3500    13.2491     5.1418      3.500    28.7575    38.1159 0.0000e+00
      4.032  44.472671     0.3468    13.2520     5.1375      4.000    28.7576    38.1167 0.0000e+00
      4.536  44.479511     0.3855    13.2559     5.1624      4.500    28.7586    38.1191 0.0000e+00
      5.040  44.483952     0.3877    13.2580     5.1681      5.000    28.7597    38.1210 0.0000e+00
      5.544  44.484588     0.4368    13.2566     5.1610      5.500    28.7614    38.1228 0.0000e+00
      6.048  44.476014     0.4558    13.2472     5.1754      6.000    28.7641    38.1237 0.0000e+00
      6.552  44.468733     0.5023    13.2379     5.1886      6.500    28.7677    38.1258 0.0000e+00
      7.056  44.463699     0.5367    13.2306     5.1876      7.000    28.7710    38.1281 0.0000e+00
      7.560  44.459818     0.5370    13.2248     5.1782      7.500    28.7737    38.1300 0.0000e+00
      8.064  44.456990     0.5798    13.2208     5.1921      8.000    28.7754    38.1310 0.0000e+00
      8.568  44.453911     0.6103    13.2169     5.1961      8.500    28.7768    38.1319 0.0000e+00
      9.072  44.450978     0.6335    13.2121     5.1939      9.000    28.7792    38.1336 0.0000e+00
      9.576  44.448554     0.6104    13.2069     5.1753      9.500    28.7823    38.1362 0.0000e+00
     10.080  44.447712     0.5984    13.2037     5.1643     10.000    28.7847    38.1384 0.0000e+00
     10.584  44.447250     0.5987    13.2018     5.1828     10.500    28.7861    38.1397 0.0000e+00
     11.088  44.446666     0.6194    13.2002     5.2077     11.000    28.7871    38.1405 0.0000e+00
     11.592  44.446418     0.6214    13.1993     5.2089     11.500    28.7877    38.1410 0.0000e+00
     12.096  44.445642     0.6030    13.1980     5.2022     12.000    28.7882    38.1413 0.0000e+00
     12.600  44.443596     0.6180    13.1953     5.1997     12.500    28.7891    38.1417 0.0000e+00
     13.105  44.442946     0.6253    13.1938     5.2018     13.000    28.7899    38.1424 0.0000e+00
     13.609  44.442488     0.6129    13.1927     5.1960     13.500    28.7905    38.1428 0.0000e+00
     14.112  44.442369     0.5814    13.1921     5.2070     14.000    28.7909    38.1431 0.0000e+00
     14.616  44.441261     0.5831    13.1899     5.2031     14.500    28.7921    38.1440 0.0000e+00
     15.120  44.438177     0.5958    13.1847     5.1829     15.000    28.7947    38.1460 0.0000e+00
     15.625  44.435744     0.6001    13.1801     5.1767     15.500    28.7974    38.1482 0.0000e+00
     16.129  44.435664     0.5980    13.1785     5.1888     16.000    28.7987    38.1494 0.0000e+00
     16.633  44.435915     0.6100    13.1780     5.2054     16.500    28.7992    38.1500 0.0000e+00
     17.137  44.436263     0.5931    13.1779     5.2137     17.000    28.7994    38.1502 0.0000e+00
     17.641  44.437495     0.5942    13.1782     5.2072     17.500    28.7999    38.1508 0.0000e+00
     18.145  44.440124     0.6022    13.1787     5.2069     18.000    28.8012    38.1526 0.0000e+00
     18.649  44.442333     0.6093    13.1790     5.2088     18.500    28.8024    38.1542 0.0000e+00
     19.153  44.442713     0.5886    13.1790     5.2102     19.000    28.8025    38.1543 0.0000e+00
     19.657  44.442767     0.5667    13.1786     5.1922     19.500    28.8028    38.1546 0.0000e+00
     20.161  44.443322     0.5713    13.1782     5.1962     20.000    28.8034    38.1552 0.0000e+00
     20.665  44.443626     0.5502    13.1782 -9.990e-29     20.500    28.8035    38.1553 0.0000e+00
