       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.008  44.451580     0.2270    13.2625     5.1492      1.000    28.7324    38.0872 0.0000e+00
      2.016  44.453353     0.2272    13.2631     5.1447      2.000    28.7328    38.0878 0.0000e+00
      3.024  44.456145     0.2423    13.2647     5.1557      3.000    28.7329    38.0884 0.0000e+00
      4.032  44.468454     0.2458    13.2723     5.1547      4.000    28.7343    38.0922 0.0000e+00
      5.040  44.477521     0.2769    13.2755     5.1664      5.000    28.7375    38.0972 0.0000e+00
      6.048  44.480873     0.3120    13.2700     5.1781      6.000    28.7451    38.1055 0.0000e+00
      7.056  44.478182     0.3680    13.2612     5.1730      7.000    28.7515    38.1113 0.0000e+00
      8.064  44.478114     0.4452    13.2587     5.1773      8.000    28.7536    38.1132 0.0000e+00
      9.072  44.479255     0.4607    13.2550     5.2015      9.000    28.7578    38.1176 0.0000e+00
     10.080  44.481566     0.4847    13.2538     5.1852     10.000    28.7604    38.1206 0.0000e+00
     11.089  44.485199     0.5064    13.2538     5.1921     11.000    28.7628    38.1236 0.0000e+00
     12.096  44.491400     0.5195    13.2550     5.1940     12.000    28.7659    38.1280 0.0000e+00
     13.104  44.497422     0.5542    13.2572     5.1958     13.000    28.7679    38.1310 0.0000e+00
     14.112  44.504269     0.5713    13.2605     5.2047     14.000    28.7694    38.1338 0.0000e+00
     15.121  44.514891     0.5965    13.2661     5.1903     15.000    28.7715    38.1380 0.0000e+00
     16.129  44.534884     0.5989    13.2765     5.1849     16.000    28.7758    38.1463 0.0000e+00
     17.137  44.549999     0.6519    13.2841     5.1800     17.000    28.7791    38.1527 0.0000e+00
     18.145  44.558912     0.6398    13.2846     5.1881     18.000    28.7850    38.1603 0.0000e+00
     19.153  44.557351     0.6504    13.2778     5.1912     19.000    28.7902    38.1652 0.0000e+00
     20.161  44.539269     0.6834    13.2623     5.2056     20.000    28.7918    38.1629 0.0000e+00
     21.169  44.529989     0.6618    13.2542     5.2133     21.000    28.7926    38.1617 0.0000e+00
     22.177  44.516470     0.6667    13.2437     5.1996     22.000    28.7925    38.1588 0.0000e+00
     23.185  44.508075     0.6501    13.2364     5.2082     23.000    28.7931    38.1576 0.0000e+00
     24.193  44.499512     0.6515    13.2288     5.2199     24.000    28.7939    38.1565 0.0000e+00
     25.201  44.482988     0.6486    13.2154     5.2281     25.000    28.7946    38.1537 0.0000e+00
     26.210  44.455567     0.6301    13.1936     5.2277     26.000    28.7953    38.1488 0.0000e+00
     27.218  44.435242     0.6024    13.1773     5.2359     27.000    28.7959    38.1451 0.0000e+00
     28.226  44.430499     0.5703    13.1726     5.2356     28.000    28.7967    38.1448 0.0000e+00
     29.234  44.427521     0.5833    13.1697     5.2305     29.000    28.7970    38.1444 0.0000e+00
     30.242  44.420987     0.5674    13.1639     5.2360     30.000    28.7976    38.1435 0.0000e+00
     31.250  44.418403     0.5688    13.1600     5.2298     31.000    28.7992    38.1445 0.0000e+00
     32.259  44.419162     0.5731    13.1599     5.2292     32.000    28.7995    38.1449 0.0000e+00
     33.266  44.429867     0.5591    13.1664     5.2180     33.000    28.8008    38.1482 0.0000e+00
     34.274  44.460802     0.5646    13.1864     5.2082     34.000    28.8037    38.1573 0.0000e+00
     35.283  44.483062     0.5527    13.2013     5.1946     35.000    28.8052    38.1633 0.0000e+00
     36.291  44.490107     0.5320    13.2060     5.2018     36.000    28.8055    38.1649 0.0000e+00
     37.299  44.492368     0.5231    13.2073     5.1942     37.000    28.8056    38.1653 0.0000e+00
     38.307  44.512388     0.5138    13.2212     5.1858     38.000    28.8064    38.1700 0.0000e+00
     39.316  44.530107     0.5352    13.2341     5.1800     39.000    28.8066    38.1737 0.0000e+00
     40.324  44.565684     0.5188    13.2582     5.1652     40.000    28.8090    38.1832 0.0000e+00
     41.332  44.619806     0.4995    13.2954     5.1356     41.000    28.8121    38.1973 0.0000e+00
     42.340  44.670180     0.4756    13.3282     5.0957     42.000    28.8168    38.2122 0.0000e+00
     43.348  44.727242     0.4496    13.3639     5.0699     43.000    28.8236    38.2306 0.0000e+00
     44.357  44.749807     0.4220    13.3789     5.0699     44.000    28.8251    38.2366 0.0000e+00
     45.365  44.762917     0.4090    13.3873     5.0645     45.000    28.8262    38.2403 0.0000e+00
     46.373  44.769717     0.3792    13.3915     5.0619     46.000    28.8268    38.2422 0.0000e+00
     47.382  44.773304     0.3745    13.3939     5.0511     47.000    28.8268    38.2427 0.0000e+00
