       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      5.040  44.358481     0.2863    13.1729     5.3246      5.000    28.7501    38.0858 0.0000e+00
      5.292  44.358880     0.2826    13.1733     5.3331      5.250    28.7500    38.0857 0.0000e+00
      5.544  44.359515     0.3025    13.1735     5.3354      5.500    28.7502    38.0860 0.0000e+00
      5.796  44.359695     0.3074    13.1735     5.3350      5.750    28.7503    38.0860 0.0000e+00
      6.048  44.359987     0.2829    13.1735     5.3314      6.000    28.7504    38.0862 0.0000e+00
      6.300  44.359386     0.2996    13.1728     5.3290      6.250    28.7505    38.0862 0.0000e+00
      6.552  44.357923     0.3103    13.1718     5.3248      6.500    28.7504    38.0857 0.0000e+00
      6.804  44.358225     0.2996    13.1718     5.3271      6.750    28.7505    38.0859 0.0000e+00
      7.056  44.358719     0.3156    13.1720     5.3370      7.000    28.7506    38.0860 0.0000e+00
      7.308  44.359795     0.3220    13.1727     5.3493      7.250    28.7506    38.0862 0.0000e+00
      7.560  44.361483     0.3385    13.1740     5.3461      7.500    28.7506    38.0865 0.0000e+00
      7.812  44.362715     0.3587    13.1749     5.3357      7.750    28.7505    38.0866 0.0000e+00
      8.064  44.363201     0.3512    13.1752     5.3230      8.000    28.7505    38.0866 0.0000e+00
      8.316  44.363261     0.3487    13.1753     5.3221      8.250    28.7504    38.0866 0.0000e+00
      8.568  44.362628     0.3528    13.1747     5.3339      8.500    28.7503    38.0863 0.0000e+00
      8.820  44.361767     0.3331    13.1740     5.3365      8.750    28.7503    38.0862 0.0000e+00
      9.073  44.361074     0.3264    13.1733     5.3213      9.000    28.7504    38.0860 0.0000e+00
      9.325  44.360546     0.3352    13.1727     5.3099      9.250    28.7506    38.0861 0.0000e+00
      9.577  44.359575     0.3336    13.1716     5.3114      9.500    28.7508    38.0861 0.0000e+00
      9.828  44.358010     0.3540    13.1703     5.3211      9.750    28.7508    38.0857 0.0000e+00
     10.081  44.357056     0.3474    13.1692     5.3279     10.000    28.7511    38.0858 0.0000e+00
     10.332  44.356721     0.3564    13.1688     5.3352     10.250    28.7512    38.0858 0.0000e+00
     10.584  44.356294     0.3799    13.1683     5.3313     10.500    28.7513    38.0858 0.0000e+00
     10.836  44.354822     0.4112    13.1672     5.3221     10.750    28.7512    38.0854 0.0000e+00
     11.089  44.353146     0.4109    13.1659     5.3178     11.000    28.7511    38.0849 0.0000e+00
     11.341  44.351781     0.4532    13.1647     5.3212     11.250    28.7512    38.0847 0.0000e+00
     11.592  44.350643     0.4786    13.1638     5.3282     11.500    28.7512    38.0844 0.0000e+00
     11.844  44.350110     0.4716    13.1632     5.3400     11.750    28.7512    38.0844 0.0000e+00
     12.096  44.350098     0.4915    13.1630     5.3385     12.000    28.7514    38.0844 0.0000e+00
     12.348  44.350661     0.4978    13.1633     5.3326     12.250    28.7514    38.0845 0.0000e+00
     12.601  44.351149     0.5178    13.1636     5.3317     12.500    28.7515    38.0847 0.0000e+00
     12.852  44.351334     0.5480    13.1636     5.3337     12.750    28.7514    38.0846 0.0000e+00
