       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.260  44.467992     0.1884    13.2509     5.1546      1.250    28.7561    38.1146 0.0000e+00
      1.512  44.468596     0.1621    13.2512     5.1517      1.500    28.7561    38.1147 0.0000e+00
      1.764  44.467838     0.1823    13.2505     5.1629      1.750    28.7562    38.1146 0.0000e+00
      2.016  44.466516     0.1628    13.2494     5.1773      2.000    28.7562    38.1143 0.0000e+00
      2.268  44.466552     0.1876    13.2492     5.1786      2.250    28.7563    38.1144 0.0000e+00
      2.520  44.465990     0.1868    13.2480     5.1740      2.500    28.7570    38.1149 0.0000e+00
      2.772  44.461410     0.2018    13.2440     5.1758      2.750    28.7574    38.1144 0.0000e+00
      3.024  44.456976     0.1830    13.2397     5.1833      3.000    28.7583    38.1144 0.0000e+00
      3.276  44.454437     0.1894    13.2365     5.1782      3.250    28.7595    38.1150 0.0000e+00
      3.528  44.452774     0.2154    13.2344     5.1732      3.500    28.7603    38.1154 0.0000e+00
      3.780  44.451277     0.2562    13.2323     5.1757      3.750    28.7612    38.1160 0.0000e+00
      4.032  44.450110     0.2665    13.2302     5.1819      4.000    28.7623    38.1168 0.0000e+00
      4.284  44.450042     0.2828    13.2288     5.1804      4.250    28.7636    38.1182 0.0000e+00
      4.536  44.450913     0.2922    13.2283     5.1823      4.500    28.7646    38.1194 0.0000e+00
      4.788  44.452819     0.2794    13.2283     5.1846      4.750    28.7659    38.1210 0.0000e+00
      5.040  44.454017     0.3185    13.2284     5.1816      5.000    28.7667    38.1220 0.0000e+00
      5.292  44.454497     0.3215    13.2285     5.1832      5.250    28.7668    38.1222 0.0000e+00
      5.544  44.454797     0.3334    13.2285     5.1816      5.500    28.7669    38.1224 0.0000e+00
      5.796  44.455042     0.3621    13.2286     5.1812      5.750    28.7670    38.1224 0.0000e+00
      6.048  44.455521     0.3424    13.2286     5.1815      6.000    28.7672    38.1227 0.0000e+00
      6.300  44.456088     0.3565    13.2287     5.1863      6.250    28.7675    38.1231 0.0000e+00
      6.552  44.456344     0.3777    13.2287     5.1818      6.500    28.7676    38.1232 0.0000e+00
      6.804  44.456353     0.3835    13.2287     5.1749      6.750    28.7675    38.1231 0.0000e+00
      7.056  44.456291     0.3720    13.2287     5.1797      7.000    28.7674    38.1229 0.0000e+00
      7.308  44.456114     0.3685    13.2286     5.1879      7.250    28.7673    38.1228 0.0000e+00
      7.560  44.456174     0.3812    13.2286     5.1922      7.500    28.7672    38.1227 0.0000e+00
      7.812  44.456162     0.3911    13.2285     5.1877      7.750    28.7672    38.1227 0.0000e+00
      8.064  44.456060     0.3963    13.2284     5.1816      8.000    28.7672    38.1225 0.0000e+00
      8.316  44.455776     0.3935    13.2283     5.1746      8.250    28.7671    38.1223 0.0000e+00
      8.568  44.455325     0.4027    13.2279     5.1665      8.500    28.7669    38.1221 0.0000e+00
      8.820  44.454835     0.3918    13.2277     5.1657      8.750    28.7667    38.1218 0.0000e+00
      9.072  44.454470     0.3970    13.2274     5.1730      9.000    28.7666    38.1215 0.0000e+00
      9.324  44.454109     0.4014    13.2272     5.1859      9.250    28.7665    38.1213 0.0000e+00
      9.576  44.453694     0.4045    13.2270     5.1874      9.500    28.7663    38.1209 0.0000e+00
      9.828  44.453551     0.3974    13.2270     5.1838      9.750    28.7661    38.1207 0.0000e+00
     10.080  44.453870     0.4006    13.2275     5.1804     10.000    28.7658    38.1205 0.0000e+00
     10.333  44.455214     0.4165    13.2284     5.1836     10.250    28.7659    38.1207 0.0000e+00
     10.584  44.456512     0.3900    13.2292     5.1811     10.500    28.7659    38.1209 0.0000e+00
     10.836  44.456768     0.4028    13.2295     5.1809     10.750    28.7657    38.1209 0.0000e+00
     11.088  44.456819     0.4170    13.2295     5.1781     11.000    28.7657    38.1208 0.0000e+00
     11.340  44.456645     0.4084    13.2293     5.1720     11.250    28.7657    38.1207 0.0000e+00
     11.593  44.456599     0.4616    13.2293     5.1655     11.500    28.7655    38.1205 0.0000e+00
     11.844  44.456841     0.3849    13.2295     5.1609     11.750    28.7654    38.1205 0.0000e+00
     12.096  44.457000     0.4289    13.2295     5.1705     12.000    28.7655    38.1205 0.0000e+00
     12.348  44.457041     0.4089    13.2294     5.1790     12.250    28.7655    38.1205 0.0000e+00
     12.601  44.457151     0.3977    13.2294     5.1767     12.500    28.7655    38.1205 0.0000e+00
     12.852  44.457220     0.4046    13.2294     5.1795     12.750    28.7655    38.1204 0.0000e+00
     13.104  44.458126     0.4049    13.2296     5.1807     13.000    28.7659    38.1210 0.0000e+00
     13.356  44.460963     0.3851    13.2305     5.1807     13.250    28.7670    38.1227 0.0000e+00
     13.609  44.464243     0.4094    13.2315     5.1769     13.500    28.7684    38.1247 0.0000e+00
     13.861  44.466305     0.4070    13.2326     5.1760     13.750    28.7688    38.1255 0.0000e+00
     14.112  44.467457     0.4204    13.2333     5.1815     14.000    28.7689    38.1258 0.0000e+00
     14.365  44.466760     0.4671    13.2328     5.1798     14.250    28.7687    38.1254 0.0000e+00
     14.617  44.465763     0.4270    13.2322     5.1690     14.500    28.7685    38.1250 0.0000e+00
     14.869  44.466518     0.4635    13.2325     5.1638     14.750    28.7687    38.1254 0.0000e+00
     15.121  44.469825     0.4402    13.2339     5.1689     15.000    28.7697    38.1270 0.0000e+00
     15.372  44.474462     0.4701    13.2362     5.1774     15.250    28.7708    38.1291 0.0000e+00
     15.625  44.481603     0.4561    13.2397     5.1790     15.500    28.7726    38.1323 0.0000e+00
     15.876  44.489965     0.4556    13.2437     5.1765     15.750    28.7748    38.1362 0.0000e+00
     16.128  44.494003     0.4569    13.2460     5.1786     16.000    28.7754    38.1376 0.0000e+00
     16.381  44.498976     0.4676    13.2491     5.1753     16.250    28.7760    38.1392 0.0000e+00
     16.633  44.512369     0.4836    13.2559     5.1662     16.500    28.7791    38.1451 0.0000e+00
     16.885  44.530584     0.5029    13.2654     5.1628     16.750    28.7833    38.1530 0.0000e+00
     17.137  44.549390     0.5065    13.2760     5.1737     17.000    28.7867    38.1602 0.0000e+00
     17.388  44.566555     0.5178    13.2859     5.1799     17.250    28.7897    38.1667 0.0000e+00
     17.641  44.577975     0.5057    13.2928     5.1724     17.500    28.7913    38.1706 0.0000e+00
     17.893  44.585666     0.5452    13.2972     5.1592     17.750    28.7926    38.1735 0.0000e+00
     18.145  44.593204     0.5832    13.3010     5.1492     18.000    28.7942    38.1767 0.0000e+00
     18.397  44.600834     0.6186    13.3045     5.1504     18.250    28.7964    38.1804 0.0000e+00
     18.648  44.607302     0.6250    13.3073     5.1555     18.500    28.7984    38.1837 0.0000e+00
     18.901  44.611426     0.6420    13.3091     5.1622     18.750    28.7995    38.1857 0.0000e+00
