       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      0.756  44.409853     0.2752    13.1956     5.2387      0.750    28.7675    38.1143 0.0000e+00
      1.008  44.408875     0.2646    13.1948     5.2298      1.000    28.7675    38.1142 0.0000e+00
      1.260  44.407591     0.2673    13.1936     5.2334      1.250    28.7677    38.1141 0.0000e+00
      1.512  44.406589     0.2784    13.1926     5.2411      1.500    28.7678    38.1140 0.0000e+00
      1.764  44.406308     0.2850    13.1921     5.2339      1.750    28.7680    38.1141 0.0000e+00
      2.016  44.407260     0.3053    13.1928     5.2308      2.000    28.7679    38.1142 0.0000e+00
      2.268  44.408387     0.3054    13.1936     5.2365      2.250    28.7679    38.1143 0.0000e+00
      2.520  44.409024     0.3054    13.1941     5.2416      2.500    28.7677    38.1144 0.0000e+00
      2.772  44.410096     0.3190    13.1952     5.2381      2.750    28.7674    38.1142 0.0000e+00
      3.024  44.413138     0.2968    13.1976     5.2358      3.000    28.7673    38.1146 0.0000e+00
      3.276  44.414646     0.3338    13.1989     5.2330      3.250    28.7670    38.1146 0.0000e+00
      3.528  44.413476     0.3453    13.1983     5.2407      3.500    28.7666    38.1140 0.0000e+00
      3.780  44.412796     0.3440    13.1977     5.2483      3.750    28.7666    38.1138 0.0000e+00
      4.032  44.413480     0.3563    13.1980     5.2531      4.000    28.7668    38.1140 0.0000e+00
      4.284  44.414400     0.3626    13.1986     5.2499      4.250    28.7668    38.1142 0.0000e+00
      4.536  44.414988     0.3731    13.1989     5.2402      4.500    28.7668    38.1143 0.0000e+00
      4.788  44.414465     0.3937    13.1985     5.2330      4.750    28.7668    38.1141 0.0000e+00
      5.040  44.413981     0.4187    13.1981     5.2268      5.000    28.7667    38.1139 0.0000e+00
      5.292  44.414765     0.4151    13.1985     5.2246      5.250    28.7668    38.1141 0.0000e+00
      5.544  44.415483     0.4090    13.1991     5.2261      5.500    28.7667    38.1141 0.0000e+00
      5.796  44.415961     0.4240    13.1994     5.2299      5.750    28.7666    38.1141 0.0000e+00
      6.048  44.415887     0.4263    13.1992     5.2310      6.000    28.7667    38.1142 0.0000e+00
      6.301  44.414522     0.4199    13.1978     5.2333      6.250    28.7670    38.1141 0.0000e+00
      6.552  44.411904     0.4511    13.1955     5.2389      6.500    28.7673    38.1139 0.0000e+00
      6.804  44.410759     0.4510    13.1942     5.2387      6.750    28.7676    38.1138 0.0000e+00
      7.056  44.411427     0.4474    13.1945     5.2337      7.000    28.7677    38.1141 0.0000e+00
      7.308  44.412191     0.4441    13.1951     5.2274      7.250    28.7676    38.1142 0.0000e+00
      7.560  44.412900     0.4581    13.1958     5.2320      7.500    28.7674    38.1140 0.0000e+00
      7.812  44.414239     0.4644    13.1969     5.2354      7.750    28.7672    38.1141 0.0000e+00
      8.064  44.415113     0.4496    13.1977     5.2355      8.000    28.7670    38.1141 0.0000e+00
      8.316  44.415639     0.4316    13.1981     5.2367      8.250    28.7669    38.1140 0.0000e+00
      8.568  44.415929     0.4883    13.1983     5.2365      8.500    28.7668    38.1139 0.0000e+00
      8.821  44.416121     0.4965    13.1984     5.2428      8.750    28.7668    38.1139 0.0000e+00
      9.072  44.415931     0.4885    13.1982     5.2428      9.000    28.7668    38.1138 0.0000e+00
      9.324  44.416060     0.4757    13.1983     5.2369      9.250    28.7667    38.1137 0.0000e+00
      9.576  44.416818     0.4920    13.1987     5.2353      9.500    28.7667    38.1139 0.0000e+00
      9.828  44.416740     0.4764    13.1986     5.2386      9.750    28.7668    38.1139 0.0000e+00
     10.080  44.416142     0.5017    13.1980     5.2411     10.000    28.7668    38.1137 0.0000e+00
     10.332  44.416085     0.4908    13.1977     5.2384     10.250    28.7669    38.1138 0.0000e+00
     10.584  44.416208     0.4950    13.1975     5.2363     10.500    28.7671    38.1141 0.0000e+00
     10.836  44.415768     0.4901    13.1970     5.2279     10.750    28.7673    38.1141 0.0000e+00
     11.088  44.415159     0.5309    13.1964     5.2275     11.000    28.7672    38.1140 0.0000e+00
     11.340  44.414977     0.5000    13.1961     5.2314     11.250    28.7674    38.1140 0.0000e+00
