       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.008  44.451238     0.2262    13.2623     5.1426      1.000    28.7323    38.0871 0.0000e+00
      1.260  44.452094     0.2267    13.2627     5.1486      1.250    28.7325    38.0874 0.0000e+00
      1.512  44.452501     0.2206    13.2629     5.1513      1.500    28.7326    38.0875 0.0000e+00
      1.764  44.452709     0.2059    13.2628     5.1450      1.750    28.7326    38.0876 0.0000e+00
      2.016  44.453205     0.2492    13.2630     5.1416      2.000    28.7328    38.0878 0.0000e+00
      2.268  44.454018     0.2275    13.2634     5.1440      2.250    28.7329    38.0880 0.0000e+00
      2.520  44.454897     0.2635    13.2639     5.1439      2.500    28.7330    38.0883 0.0000e+00
      2.772  44.455266     0.2309    13.2641     5.1522      2.750    28.7330    38.0883 0.0000e+00
      3.024  44.455477     0.2307    13.2641     5.1582      3.000    28.7330    38.0883 0.0000e+00
      3.276  44.456396     0.2491    13.2650     5.1612      3.250    28.7327    38.0882 0.0000e+00
      3.528  44.460541     0.2504    13.2676     5.1554      3.500    28.7331    38.0895 0.0000e+00
      3.780  44.464550     0.2480    13.2704     5.1480      3.750    28.7334    38.0905 0.0000e+00
      4.032  44.468403     0.2507    13.2726     5.1554      4.000    28.7340    38.0918 0.0000e+00
      4.284  44.472351     0.2391    13.2743     5.1594      4.250    28.7351    38.0938 0.0000e+00
      4.536  44.475444     0.2584    13.2755     5.1627      4.500    28.7362    38.0955 0.0000e+00
      4.788  44.477151     0.2768    13.2759     5.1657      4.750    28.7369    38.0965 0.0000e+00
      5.040  44.477427     0.2417    13.2759     5.1634      5.000    28.7372    38.0968 0.0000e+00
      5.292  44.478485     0.2880    13.2757     5.1693      5.250    28.7380    38.0979 0.0000e+00
      5.544  44.480498     0.3106    13.2749     5.1719      5.500    28.7402    38.1005 0.0000e+00
      5.796  44.481565     0.3040    13.2732     5.1737      5.750    28.7426    38.1030 0.0000e+00
