       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.260  44.630137    -0.0078    13.3841     5.1527      1.250    28.7450    38.1364 0.0000e+00
      1.512  44.630294    -0.0126    13.3843     5.1533      1.500    28.7449    38.1362 0.0000e+00
      1.764  44.630453     0.0008    13.3843     5.1531      1.750    28.7449    38.1362 0.0000e+00
      2.016  44.630706    -0.0095    13.3844     5.1517      2.000    28.7449    38.1362 0.0000e+00
      2.268  44.631034    -0.0195    13.3846     5.1472      2.250    28.7448    38.1362 0.0000e+00
      2.520  44.631256    -0.0079    13.3848     5.1397      2.500    28.7448    38.1362 0.0000e+00
      2.772  44.631413    -0.0104    13.3847     5.1358      2.750    28.7449    38.1363 0.0000e+00
      3.024  44.631601    -0.0187    13.3847     5.1435      3.000    28.7449    38.1364 0.0000e+00
      3.276  44.631645    -0.0007    13.3847     5.1501      3.250    28.7449    38.1363 0.0000e+00
      3.528  44.631513    -0.0135    13.3844     5.1461      3.500    28.7449    38.1363 0.0000e+00
      3.780  44.631300    -0.0074    13.3841     5.1376      3.750    28.7450    38.1363 0.0000e+00
      4.032  44.631197    -0.0071    13.3839     5.1425      4.000    28.7451    38.1364 0.0000e+00
      4.284  44.631151    -0.0075    13.3838     5.1416      4.250    28.7451    38.1363 0.0000e+00
      4.536  44.631029    -0.0067    13.3836     5.1465      4.500    28.7451    38.1363 0.0000e+00
      4.788  44.630771     0.0195    13.3833     5.1462      4.750    28.7451    38.1362 0.0000e+00
      5.040  44.630211    -0.0245    13.3829     5.1475      5.000    28.7450    38.1359 0.0000e+00
      5.292  44.629820     0.0059    13.3825     5.1466      5.250    28.7450    38.1358 0.0000e+00
      5.544  44.629828     0.0002    13.3824     5.1410      5.500    28.7451    38.1358 0.0000e+00
      5.796  44.630001    -0.0005    13.3825     5.1396      5.750    28.7450    38.1358 0.0000e+00
      6.048  44.630309     0.0035    13.3827     5.1412      6.000    28.7450    38.1358 0.0000e+00
      6.300  44.630680     0.0173    13.3829     5.1489      6.250    28.7450    38.1358 0.0000e+00
      6.552  44.630684     0.0178    13.3828     5.1542      6.500    28.7450    38.1357 0.0000e+00
      6.804  44.630019     0.0204    13.3823     5.1558      6.750    28.7449    38.1355 0.0000e+00
      7.056  44.628787     0.0226    13.3813     5.1532      7.000    28.7450    38.1353 0.0000e+00
      7.308  44.627726     0.0222    13.3802     5.1560      7.250    28.7451    38.1352 0.0000e+00
      7.560  44.625815     0.0374    13.3782     5.1533      7.500    28.7456    38.1352 0.0000e+00
      7.812  44.620676     0.0372    13.3742     5.1545      7.750    28.7456    38.1342 0.0000e+00
      8.064  44.614933     0.0265    13.3699     5.1539      8.000    28.7456    38.1330 0.0000e+00
      8.316  44.612263     0.0374    13.3672     5.1528      8.250    28.7461    38.1329 0.0000e+00
      8.568  44.612146     0.0242    13.3666     5.1489      8.500    28.7466    38.1334 0.0000e+00
      8.820  44.611954     0.0487    13.3659     5.1523      8.750    28.7471    38.1337 0.0000e+00
      9.072  44.608878     0.0787    13.3637     5.1592      9.000    28.7469    38.1329 0.0000e+00
      9.324  44.606889     0.0798    13.3620     5.1647      9.250    28.7470    38.1326 0.0000e+00
      9.576  44.606277     0.0858    13.3611     5.1633      9.500    28.7473    38.1328 0.0000e+00
      9.828  44.605731     0.1097    13.3603     5.1578      9.750    28.7476    38.1329 0.0000e+00
     10.080  44.604630     0.1070    13.3595     5.1557     10.000    28.7475    38.1326 0.0000e+00
     10.332  44.603814     0.1092    13.3587     5.1556     10.250    28.7476    38.1325 0.0000e+00
     10.584  44.603130     0.1327    13.3579     5.1602     10.500    28.7478    38.1325 0.0000e+00
     10.836  44.601935     0.0969    13.3569     5.1608     10.750    28.7479    38.1323 0.0000e+00
     11.088  44.600550     0.1121    13.3555     5.1591     11.000    28.7481    38.1322 0.0000e+00
     11.340  44.599717     0.1404    13.3546     5.1552     11.250    28.7483    38.1322 0.0000e+00
     11.593  44.599694     0.1626    13.3543     5.1559     11.500    28.7485    38.1324 0.0000e+00
     11.844  44.599870     0.1765    13.3543     5.1632     11.750    28.7486    38.1325 0.0000e+00
     12.097  44.599802     0.1789    13.3540     5.1721     12.000    28.7487    38.1325 0.0000e+00
     12.348  44.599502     0.1806    13.3538     5.1751     12.250    28.7486    38.1324 0.0000e+00
     12.600  44.599179     0.2040    13.3533     5.1705     12.500    28.7487    38.1324 0.0000e+00
     12.853  44.599202     0.2070    13.3533     5.1646     12.750    28.7487    38.1323 0.0000e+00
     13.104  44.600680     0.1953    13.3545     5.1611     13.000    28.7486    38.1325 0.0000e+00
     13.356  44.603329     0.2050    13.3562     5.1602     13.250    28.7487    38.1331 0.0000e+00
     13.609  44.604549     0.2065    13.3571     5.1662     13.500    28.7486    38.1333 0.0000e+00
     13.860  44.604167     0.2193    13.3570     5.1632     13.750    28.7485    38.1330 0.0000e+00
     14.112  44.604727     0.2202    13.3575     5.1555     14.000    28.7482    38.1328 0.0000e+00
     14.365  44.607113     0.2362    13.3593     5.1464     14.250    28.7482    38.1332 0.0000e+00
     14.617  44.611459     0.2552    13.3625     5.1501     14.500    28.7481    38.1340 0.0000e+00
     14.869  44.616330     0.2345    13.3660     5.1527     14.750    28.7482    38.1351 0.0000e+00
     15.120  44.619730     0.2471    13.3688     5.1547     15.000    28.7479    38.1355 0.0000e+00
     15.373  44.621839     0.2752    13.3706     5.1528     15.250    28.7476    38.1356 0.0000e+00
     15.625  44.621130     0.2709    13.3699     5.1551     15.500    28.7477    38.1354 0.0000e+00
     15.877  44.616269     0.2533    13.3660     5.1548     15.750    28.7479    38.1345 0.0000e+00
     16.129  44.609486     0.2570    13.3609     5.1591     16.000    28.7478    38.1331 0.0000e+00
     16.381  44.603638     0.2756    13.3564     5.1648     16.250    28.7478    38.1319 0.0000e+00
     16.633  44.600244     0.2549    13.3534     5.1695     16.500    28.7482    38.1315 0.0000e+00
     16.885  44.597684     0.2465    13.3510     5.1637     16.750    28.7485    38.1313 0.0000e+00
     17.137  44.595303     0.2727    13.3491     5.1569     17.000    28.7486    38.1308 0.0000e+00
     17.389  44.594248     0.2751    13.3481     5.1595     17.250    28.7487    38.1307 0.0000e+00
     17.640  44.594083     0.2937    13.3478     5.1666     17.500    28.7487    38.1307 0.0000e+00
     17.892  44.594538     0.3125    13.3479     5.1726     17.750    28.7490    38.1310 0.0000e+00
     18.144  44.595145     0.3204    13.3482     5.1736     18.000    28.7490    38.1311 0.0000e+00
     18.396  44.595780     0.3709    13.3486     5.1747     18.250    28.7490    38.1312 0.0000e+00
     18.649  44.596996     0.3499    13.3495     5.1711     18.500    28.7490    38.1314 0.0000e+00
     18.901  44.598166     0.3617    13.3500     5.1733     18.750    28.7492    38.1318 0.0000e+00
     19.153  44.598119     0.3558    13.3501     5.1722     19.000    28.7490    38.1316 0.0000e+00
     19.405  44.598451     0.3513    13.3502     5.1746     19.250    28.7491    38.1317 0.0000e+00
     19.657  44.598454     0.3605    13.3500     5.1745     19.500    28.7492    38.1318 0.0000e+00
     19.909  44.597336     0.3530    13.3492     5.1772     19.750    28.7491    38.1315 0.0000e+00
     20.161  44.596125     0.3248    13.3481     5.1772     20.000    28.7492    38.1312 0.0000e+00
     20.413  44.595461     0.3688    13.3476     5.1736     20.250    28.7490    38.1310 0.0000e+00
     20.665  44.596302     0.3347    13.3480     5.1658     20.500    28.7493    38.1313 0.0000e+00
     20.917  44.597413     0.3452    13.3487     5.1670     20.750    28.7493    38.1315 0.0000e+00
     21.169  44.598313     0.3441    13.3493     5.1726     21.000    28.7494    38.1317 0.0000e+00
     21.421  44.598162     0.3849    13.3492     5.1775     21.250    28.7492    38.1316 0.0000e+00
     21.673  44.597875     0.3785    13.3489     5.1753     21.500    28.7492    38.1314 0.0000e+00
     21.925  44.598005     0.3550    13.3491     5.1696     21.750    28.7491    38.1313 0.0000e+00
     22.177  44.599055     0.3691    13.3498     5.1657     22.000    28.7490    38.1314 0.0000e+00
     22.429  44.600497     0.3993    13.3507     5.1601     22.250    28.7491    38.1318 0.0000e+00
     22.681  44.601020     0.3396    13.3509     5.1567     22.500    28.7492    38.1320 0.0000e+00
     22.933  44.599952     0.3849    13.3501     5.1599     22.750    28.7492    38.1317 0.0000e+00
     23.185  44.599431     0.3614    13.3495     5.1632     23.000    28.7492    38.1316 0.0000e+00
     23.437  44.599736     0.3716    13.3496     5.1689     23.250    28.7493    38.1317 0.0000e+00
     23.690  44.600735     0.3352    13.3502     5.1764     23.500    28.7494    38.1319 0.0000e+00
     23.942  44.602136     0.3555    13.3513     5.1742     23.750    28.7492    38.1320 0.0000e+00
