       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.512  44.462925     0.3232    13.2447     5.1598      1.500    28.7583    38.1157 0.0000e+00
      1.613  44.463233     0.3708    13.2450     5.1597      1.600    28.7582    38.1157 0.0000e+00
      1.714  44.463693     0.3280    13.2453     5.1591      1.700    28.7582    38.1157 0.0000e+00
      1.814  44.464290     0.3557    13.2458     5.1573      1.800    28.7581    38.1158 0.0000e+00
      1.915  44.464881     0.3641    13.2462     5.1506      1.900    28.7581    38.1159 0.0000e+00
      2.016  44.465291     0.3050    13.2465     5.1492      2.000    28.7581    38.1160 0.0000e+00
      2.117  44.465537     0.3542    13.2466     5.1471      2.100    28.7581    38.1160 0.0000e+00
      2.217  44.465654     0.2837    13.2467     5.1480      2.200    28.7581    38.1160 0.0000e+00
      2.318  44.465675     0.3505    13.2467     5.1431      2.300    28.7581    38.1160 0.0000e+00
      2.419  44.465669     0.4262    13.2467     5.1455      2.400    28.7581    38.1160 0.0000e+00
      2.520  44.465649     0.3057    13.2467     5.1483      2.500    28.7580    38.1159 0.0000e+00
      2.621  44.465703     0.3647    13.2468     5.1508      2.600    28.7579    38.1158 0.0000e+00
      2.722  44.465951     0.3614    13.2470     5.1536      2.700    28.7579    38.1158 0.0000e+00
      2.822  44.466302     0.3314    13.2473     5.1558      2.800    28.7578    38.1158 0.0000e+00
      2.923  44.466652     0.4268    13.2476     5.1605      2.900    28.7578    38.1158 0.0000e+00
      3.024  44.467031     0.3647    13.2479     5.1608      3.000    28.7577    38.1158 0.0000e+00
      3.125  44.467396     0.3311    13.2482     5.1595      3.100    28.7577    38.1158 0.0000e+00
      3.226  44.467650     0.3552    13.2484     5.1573      3.200    28.7576    38.1158 0.0000e+00
      3.327  44.467854     0.3453    13.2486     5.1546      3.300    28.7576    38.1158 0.0000e+00
      3.427  44.468136     0.3510    13.2487     5.1463      3.400    28.7576    38.1158 0.0000e+00
      3.528  44.468536     0.3659    13.2490     5.1404      3.500    28.7575    38.1159 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      3.600 -9.990e-29 -9.990e-29 -9.990e-29
      3.680  44.469306     0.3325    13.2496     5.1334      3.700    28.7575    38.1160 0.0000e+00
      3.830  44.470353     0.3296    13.2504     5.1319      3.800    28.7575    38.1161 0.0000e+00
      3.931  44.471474     0.3509    13.2512     5.1340      3.900    28.7574    38.1162 0.0000e+00
      4.032  44.472807     0.3394    13.2521     5.1398      4.000    28.7576    38.1167 0.0000e+00
      4.133  44.474241     0.3638    13.2529     5.1448      4.100    28.7578    38.1172 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      4.200 -9.990e-29 -9.990e-29 -9.990e-29
      4.294  44.476636     0.3901    13.2543     5.1533      4.300    28.7581    38.1180 0.0000e+00
      4.435  44.478576     0.3516    13.2554     5.1569      4.400    28.7585    38.1187 0.0000e+00
      4.536  44.479584     0.3798    13.2559     5.1608      4.500    28.7587    38.1192 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      4.600 -9.990e-29 -9.990e-29 -9.990e-29
      4.701  44.481022     0.4011    13.2567     5.1709      4.700    28.7589    38.1196 0.0000e+00
      4.838  44.482288     0.3731    13.2573     5.1681      4.800    28.7592    38.1202 0.0000e+00
      4.939  44.483263     0.3982    13.2578     5.1717      4.900    28.7594    38.1206 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      5.000 -9.990e-29 -9.990e-29 -9.990e-29
      5.098  44.484534     0.3790    13.2582     5.1674      5.100    28.7599    38.1213 0.0000e+00
      5.241  44.485229     0.3943    13.2584     5.1632      5.200    28.7601    38.1216 0.0000e+00
      5.342  44.485498     0.4882    13.2583     5.1625      5.300    28.7604    38.1220 0.0000e+00
      5.443  44.485598     0.4012    13.2579     5.1604      5.400    28.7608    38.1224 0.0000e+00
      5.544  44.485346     0.3972    13.2573     5.1583      5.500    28.7613    38.1228 0.0000e+00
      5.645  44.484537     0.4401    13.2561     5.1607      5.600    28.7618    38.1232 0.0000e+00
      5.746  44.482959     0.4597    13.2542     5.1617      5.700    28.7624    38.1235 0.0000e+00
