       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      5.040  44.358434     0.2852    13.1730     5.3260      5.000    28.7501    38.0857 0.0000e+00
      5.544  44.359436     0.2959    13.1735     5.3349      5.500    28.7502    38.0859 0.0000e+00
      6.048  44.359908     0.2925    13.1734     5.3324      6.000    28.7504    38.0862 0.0000e+00
      6.552  44.358347     0.3078    13.1720     5.3260      6.500    28.7504    38.0859 0.0000e+00
      7.056  44.358763     0.3141    13.1721     5.3369      7.000    28.7506    38.0860 0.0000e+00
      7.560  44.361354     0.3353    13.1739     5.3474      7.500    28.7505    38.0864 0.0000e+00
      8.064  44.363116     0.3493    13.1752     5.3247      8.000    28.7504    38.0866 0.0000e+00
      8.568  44.362529     0.3480    13.1746     5.3331      8.500    28.7503    38.0863 0.0000e+00
      9.072  44.361107     0.3299    13.1733     5.3225      9.000    28.7504    38.0861 0.0000e+00
      9.576  44.359499     0.3352    13.1716     5.3116      9.500    28.7507    38.0860 0.0000e+00
     10.080  44.357155     0.3548    13.1694     5.3286     10.000    28.7510    38.0858 0.0000e+00
     10.584  44.356162     0.3787    13.1682     5.3304     10.500    28.7512    38.0857 0.0000e+00
     11.089  44.353197     0.4232    13.1659     5.3184     11.000    28.7511    38.0850 0.0000e+00
     11.592  44.350741     0.4712    13.1639     5.3295     11.500    28.7512    38.0844 0.0000e+00
     12.096  44.350237     0.4888    13.1631     5.3369     12.000    28.7513    38.0844 0.0000e+00
     12.600  44.351075     0.5244    13.1635     5.3329     12.500    28.7515    38.0846 0.0000e+00
     13.104  44.351891     0.5594    13.1640     5.3320     13.000    28.7514    38.0847 0.0000e+00
     13.608  44.352394     0.5819    13.1641     5.3256     13.500    28.7515    38.0848 0.0000e+00
     14.112  44.352538     0.6144    13.1640     5.3277     14.000    28.7516    38.0848 0.0000e+00
     14.616  44.354092     0.6443    13.1649     5.3371     14.500    28.7517    38.0852 0.0000e+00
     15.120  44.355789     0.6819    13.1659     5.3301     15.000    28.7518    38.0856 0.0000e+00
     15.625  44.356948     0.7176    13.1665     5.3200     15.500    28.7519    38.0859 0.0000e+00
     16.129  44.356965     0.7832    13.1665     5.3353     16.000    28.7518    38.0857 0.0000e+00
     16.632  44.357085     0.8224    13.1664     5.3461     16.500    28.7518    38.0857 0.0000e+00
     17.137  44.357385     0.8906    13.1664     5.3463     17.000    28.7518    38.0857 0.0000e+00
     17.641  44.355860     0.9336    13.1652     5.3431     17.500    28.7517    38.0852 0.0000e+00
     18.145  44.354858     0.9445    13.1641     5.3278     18.000    28.7519    38.0851 0.0000e+00
     18.649  44.356005     0.9634    13.1646     5.3236     18.500    28.7520    38.0855 0.0000e+00
     19.153  44.357131     0.9411    13.1653     5.3359     19.000    28.7521    38.0857 0.0000e+00
     19.657  44.358037     0.9801    13.1658     5.3437     19.500    28.7521    38.0858 0.0000e+00
     20.161  44.359123     1.0280    13.1664     5.3462     20.000    28.7522    38.0860 0.0000e+00
     20.665  44.359207     1.0339    13.1663     5.3441     20.500    28.7521    38.0859 0.0000e+00
     21.169  44.359391     1.0708    13.1663     5.3486     21.000    28.7521    38.0859 0.0000e+00
