       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     -0.012   0.015787    -0.0292    12.2381     7.2906     -0.012    -0.5176     0.0136 -9.990e-29
     -0.012   0.015628    -0.0381    12.2372     7.2943     -0.012    -0.5175     0.0135 -9.990e-29
     -0.011   0.015443    -0.0370    12.2363     7.2947     -0.011    -0.5175     0.0134 -9.990e-29
     -0.011   0.015249    -0.0359    12.2353     7.2965     -0.011    -0.5175     0.0133 -9.990e-29
     -0.010   0.015060    -0.0337    12.2342     7.2986     -0.010    -0.5174     0.0132 -9.990e-29
     -0.009   0.014892    -0.0458    12.2332     7.2970     -0.009    -0.5174     0.0131 -9.990e-29
     -0.008   0.014737    -0.0337    12.2321     7.2987     -0.008    -0.5173     0.0130 -9.990e-29
     -0.008   0.014594    -0.0414    12.2310     7.2989     -0.008    -0.5173     0.0130 -9.990e-29
     -0.007   0.014456    -0.0425    12.2299     7.2985     -0.007    -0.5172     0.0129 -9.990e-29
     -0.006   0.014310    -0.0314    12.2287     7.2935     -0.006    -0.5171     0.0128 -9.990e-29
     -0.006   0.014154    -0.0259    12.2275     7.2897     -0.006    -0.5170     0.0127 -9.990e-29
     -0.006   0.013995    -0.0160    12.2264     7.2971     -0.006    -0.5170     0.0126 -9.990e-29
     -0.005   0.013839    -0.0359    12.2252     7.2950     -0.005    -0.5169     0.0125 -9.990e-29
     -0.005   0.013708    -0.0359    12.2241     7.2919     -0.005    -0.5168     0.0125 -9.990e-29
     -0.004   0.013597    -0.0292    12.2229     7.2927     -0.004    -0.5167     0.0124 -9.990e-29
     -0.004   0.013515    -0.0148    12.2218     7.2960     -0.004    -0.5166     0.0124 -9.990e-29
     -0.003   0.013447    -0.0248    12.2206     7.2943     -0.003    -0.5165     0.0123 -9.990e-29
     -0.003   0.013382    -0.0292    12.2194     7.2965     -0.003    -0.5164     0.0123 -9.990e-29
     -0.003   0.013299    -0.0314    12.2181     7.3030     -0.003    -0.5163     0.0123 -9.990e-29
     -0.003   0.013202    -0.0171    12.2169     7.2987     -0.003    -0.5162     0.0122 -9.990e-29
     -0.003   0.013088    -0.0314    12.2156     7.3029     -0.003    -0.5161     0.0121 -9.990e-29
     -0.003   0.012972    -0.0160    12.2143     7.3038     -0.003    -0.5160     0.0121 -9.990e-29
     -0.003   0.012861    -0.0204    12.2130     7.2996     -0.003    -0.5159     0.0120 -9.990e-29
     -0.002   0.012753    -0.0126    12.2116     7.2988     -0.002    -0.5158     0.0120 -9.990e-29
     -0.002   0.012645    -0.0148    12.2101     7.2973     -0.002    -0.5156     0.0119 -9.990e-29
     -0.002   0.012545    -0.0137    12.2087     7.2977     -0.002    -0.5155     0.0118 -9.990e-29
     -0.002   0.012440    -0.0226    12.2072     7.2951     -0.002    -0.5154     0.0118 -9.990e-29
     -0.002   0.012320    -0.0248    12.2057     7.2960     -0.002    -0.5153     0.0117 -9.990e-29
     -0.001   0.012191    -0.0137    12.2043     7.2986     -0.001    -0.5151     0.0117 -9.990e-29
     -0.001   0.012059    -0.0193    12.2028     7.3005     -0.001    -0.5150     0.0116 -9.990e-29
     -0.001   0.011939    -0.0193    12.2014     7.3048     -0.001    -0.5149     0.0115 -9.990e-29
     -0.001   0.011826    -0.0204    12.1999     7.3042     -0.001    -0.5148     0.0115 -9.990e-29
     -0.001   0.011729    -0.0160    12.1985     7.3069     -0.001    -0.5147     0.0114 -9.990e-29
     -0.000   0.011640    -0.0082    12.1970     7.3063     -0.000    -0.5145     0.0114 -9.990e-29
     -0.000   0.011554    -0.0259    12.1955     7.3033     -0.000    -0.5144     0.0113 -9.990e-29
     -0.000   0.011457    -0.0314    12.1940     7.3033     -0.000    -0.5143     0.0113 -9.990e-29
      0.000   0.011335    -0.0248    12.1924     7.3025      0.000    -0.5141     0.0112 -9.990e-29
      0.000   0.011192    -0.0237    12.1908     7.3006      0.000    -0.5140     0.0111 -9.990e-29
      0.000   0.011032    -0.0248    12.1890     7.3062      0.000    -0.5138     0.0110 -9.990e-29
      0.000   0.010860    -0.0182    12.1870     7.3046      0.000    -0.5137     0.0109 -9.990e-29
      0.001   0.010675    -0.0038    12.1849     7.3044      0.001    -0.5135     0.0108 -9.990e-29
      0.001   0.010485    -0.0060    12.1828     7.3026      0.001    -0.5134     0.0107 -9.990e-29
      0.001   0.010325    -0.0104    12.1808     7.3067      0.001    -0.5132     0.0107 -9.990e-29
      0.001   0.010213    -0.0104    12.1789     7.3071      0.001    -0.5130     0.0106 -9.990e-29
      0.001   0.010133    -0.0171    12.1773     7.3051      0.001    -0.5129     0.0106 -9.990e-29
      0.001   0.010065    -0.0148    12.1758     7.3050      0.001    -0.5127     0.0105 -9.990e-29
      0.001   0.010018    -0.0005    12.1744     7.3043      0.001    -0.5126     0.0105 -9.990e-29
      0.001   0.009986    -0.0215    12.1730     7.3038      0.001    -0.5124     0.0105 -9.990e-29
      0.001   0.009982    -0.0182    12.1717     7.3039      0.001    -0.5123     0.0105 -9.990e-29
      0.000   0.010030    -0.0292    12.1704     7.3027      0.000    -0.5121     0.0105 -9.990e-29
      0.000   0.010170    -0.0171    12.1691     7.3086      0.000    -0.5119     0.0106 -9.990e-29
      0.000   0.010470    -0.0248    12.1679     7.3081      0.000    -0.5116     0.0107 -9.990e-29
      0.000   0.011045    -0.0171    12.1667     7.3141      0.000    -0.5112     0.0110 -9.990e-29
      0.000   0.012068    -0.0270    12.1654     7.3083      0.000    -0.5107     0.0116 -9.990e-29
      0.000   0.013817    -0.0359    12.1640     7.3112      0.000    -0.5098     0.0125 -9.990e-29
      0.000   0.016699    -0.0126    12.1626     7.3092      0.000    -0.5084     0.0141 -9.990e-29
      0.001   0.021044    -0.0215    12.1609     7.3118      0.001    -0.5063     0.0165 -9.990e-29
      0.001   0.025722    -0.0016    12.1590     7.3136      0.001    -0.5040     0.0192 -9.990e-29
      0.001   0.028475    -0.0093    12.1567     7.3074      0.001    -0.5025     0.0207 -9.990e-29
      0.001   0.028722    -0.0126    12.1540     7.3149      0.001    -0.5021     0.0209 -9.990e-29
      0.001   0.027399    -0.0137    12.1508     7.3095      0.001    -0.5023     0.0201 -9.990e-29
      0.001   0.025442    -0.0248    12.1475     7.3160      0.001    -0.5028     0.0190 -9.990e-29
      0.002   0.023418    -0.0215    12.1442     7.3115      0.002    -0.5033     0.0178 -9.990e-29
      0.002   0.021553    -0.0104    12.1413     7.3147      0.002    -0.5038     0.0168 -9.990e-29
      0.002   0.019922    -0.0171    12.1386     7.3138      0.002    -0.5042     0.0159 -9.990e-29
      0.002   0.018538    -0.0082    12.1362     7.3148      0.002    -0.5045     0.0151 -9.990e-29
      0.003   0.017384    -0.0171    12.1341     7.3126      0.003    -0.5048     0.0145 -9.990e-29
      0.003   0.016426    -0.0082    12.1321     7.3121      0.003    -0.5050     0.0139 -9.990e-29
      0.003   0.015635    -0.0115    12.1302     7.3111      0.003    -0.5051     0.0135 -9.990e-29
      0.003   0.014986    -0.0281    12.1286     7.3131      0.003    -0.5052     0.0131 -9.990e-29
      0.003   0.014440    -0.0204    12.1271     7.3100      0.003    -0.5052     0.0128 -9.990e-29
      0.003   0.013959    -0.0148    12.1256     7.3074      0.003    -0.5053     0.0126 -9.990e-29
      0.003   0.013527     0.0139    12.1243     7.3118      0.003    -0.5053     0.0123 -9.990e-29
