       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     34.274  44.461665     0.5656    13.1869     5.2092     34.000    28.8039    38.1577 0.0000e+00
     34.779  44.472332     0.5536    13.1945     5.1948     34.500    28.8042    38.1601 0.0000e+00
     35.283  44.484423     0.5747    13.2020     5.1941     35.000    28.8055    38.1639 0.0000e+00
     35.787  44.488522     0.5278    13.2051     5.2041     35.500    28.8055    38.1645 0.0000e+00
     36.291  44.490245     0.5366    13.2061     5.2014     36.000    28.8055    38.1649 0.0000e+00
     36.795  44.491324     0.5212    13.2066     5.1963     36.500    28.8056    38.1652 0.0000e+00
     37.299  44.491693     0.5208    13.2068     5.1948     37.000    28.8056    38.1652 0.0000e+00
     37.804  44.497623     0.5160    13.2111     5.1896     37.500    28.8057    38.1663 0.0000e+00
     38.307  44.513471     0.5077    13.2218     5.1876     38.000    28.8067    38.1705 0.0000e+00
     38.811  44.523573     0.5294    13.2293     5.1809     38.500    28.8066    38.1724 0.0000e+00
     39.316  44.529084     0.5387    13.2336     5.1805     39.000    28.8064    38.1733 0.0000e+00
     39.819  44.541717     0.5244    13.2419     5.1742     39.500    28.8074    38.1768 0.0000e+00
     40.324  44.563513     0.5270    13.2566     5.1677     40.000    28.8089    38.1827 0.0000e+00
     40.828  44.594364     0.5097    13.2777     5.1508     40.500    28.8109    38.1909 0.0000e+00
     41.332  44.619868     0.4943    13.2957     5.1364     41.000    28.8119    38.1971 0.0000e+00
     41.836  44.641737     0.4839    13.3102     5.1204     41.500    28.8136    38.2032 0.0000e+00
     42.340  44.668636     0.4804    13.3274     5.0971     42.000    28.8164    38.2115 0.0000e+00
     42.844  44.704613     0.4536    13.3492     5.0662     42.500    28.8215    38.2239 0.0000e+00
     43.348  44.730311     0.4558    13.3655     5.0667     43.000    28.8242    38.2318 0.0000e+00
     43.853  44.739335     0.4388    13.3726     5.0769     43.500    28.8238    38.2332 0.0000e+00
     44.357  44.750027     0.4153    13.3790     5.0663     44.000    28.8252    38.2367 0.0000e+00
     44.861  44.759456     0.4223    13.3848     5.0687     44.500    28.8264    38.2398 0.0000e+00
     45.365  44.762713     0.4066    13.3873     5.0623     45.000    28.8261    38.2401 0.0000e+00
     45.869  44.766259     0.3900    13.3894     5.0675     45.500    28.8264    38.2411 0.0000e+00
     46.373  44.769963     0.3793    13.3916     5.0628     46.000    28.8269    38.2423 0.0000e+00
     46.877  44.771972     0.3742    13.3929     5.0544     46.500    28.8269    38.2426 0.0000e+00
     47.381  44.773051     0.3754    13.3938     5.0523     47.000    28.8267    38.2426 0.0000e+00
