       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      7.460  44.626924     0.0404    13.3792     5.1517      7.400    28.7454    38.1353 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      7.500 -9.990e-29 -9.990e-29 -9.990e-29
      7.637  44.624849     0.0305    13.3773     5.1558      7.600    28.7457    38.1352 0.0000e+00
      7.762  44.622183     0.0494    13.3752     5.1535      7.700    28.7458    38.1347 0.0000e+00
      7.863  44.619501     0.0329    13.3733     5.1551      7.800    28.7456    38.1340 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      7.900 -9.990e-29 -9.990e-29 -9.990e-29
      8.037  44.615073     0.0051    13.3701     5.1549      8.000    28.7455    38.1329 0.0000e+00
      8.165  44.613168     0.0479    13.3684     5.1524      8.100    28.7457    38.1327 0.0000e+00
      8.266  44.612443     0.0470    13.3674     5.1514      8.200    28.7461    38.1329 0.0000e+00
      8.367  44.612037     0.0299    13.3669     5.1539      8.300    28.7462    38.1330 0.0000e+00
      8.467  44.612015     0.0187    13.3667     5.1522      8.400    28.7464    38.1332 0.0000e+00
      8.568  44.612242     0.0317    13.3666     5.1478      8.500    28.7466    38.1334 0.0000e+00
      8.669  44.612454     0.0391    13.3665     5.1503      8.600    28.7468    38.1336 0.0000e+00
      8.770  44.612338     0.0405    13.3662     5.1509      8.700    28.7470    38.1338 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      8.800 -9.990e-29 -9.990e-29 -9.990e-29
      8.924  44.611126     0.0626    13.3652     5.1545      8.900    28.7471    38.1336 0.0000e+00
      9.072  44.608845     0.0640    13.3637     5.1580      9.000    28.7468    38.1328 0.0000e+00
      9.173  44.607595     0.1046    13.3628     5.1632      9.100    28.7468    38.1326 0.0000e+00
      9.274  44.607019     0.0870    13.3622     5.1656      9.200    28.7469    38.1325 0.0000e+00
      9.375  44.606697     0.0743    13.3618     5.1643      9.300    28.7471    38.1326 0.0000e+00
      9.476  44.606458     0.0812    13.3614     5.1651      9.400    28.7472    38.1327 0.0000e+00
      9.576  44.606295     0.0859    13.3611     5.1626      9.500    28.7473    38.1328 0.0000e+00
      9.677  44.606158     0.0903    13.3608     5.1606      9.600    28.7475    38.1329 0.0000e+00
