       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     -0.067   0.102084    -0.0547     8.4450     6.5477     -0.066    -0.1216     0.0705 -9.990e-29
     -0.057   0.139551    -0.0458     8.4497     5.8872     -0.057    -0.1012     0.0966 -9.990e-29
     -0.044   0.201811    -0.0414     8.4574     5.7534     -0.044    -0.0669     0.1406 -9.990e-29
     -0.028   0.305357    -0.0469     8.4701     5.6841     -0.028    -0.0088     0.2150 -9.990e-29
     -0.007   0.477786    -0.0314     8.4911     5.6484     -0.007     0.0896     0.3412 -9.990e-29
      0.019   0.765124    -0.0337     8.5261     5.6564      0.019     0.2571     0.5562 -9.990e-29
      0.053   1.244043    -0.0370     8.5844     5.6982      0.053     0.5423     0.9229 -9.990e-29
      0.097   2.042283    -0.0215     8.6817     5.7730      0.096     1.0288     1.5499 -9.990e-29
      0.153   3.372668    -0.0259     8.8434     5.9066      0.152     1.8591     2.6231 -9.990e-29
      0.225   5.589884    -0.0337     9.1122     6.2103      0.223     3.2741     4.4593 -9.990e-29
      0.318   9.284686    -0.0259     9.5476     6.4629      0.315     5.6767     7.5922 -9.990e-29
      0.436  15.505699    -0.0370    10.1596     6.6954      0.433     9.8076    12.9945 -9.990e-29
      0.585  23.877703    -0.0204    10.8474     6.9315      0.580    15.4724    20.4182 -9.990e-29
      0.765  31.529399    -0.0215    11.4762     7.0363      0.759    20.6721    27.2541 -9.990e-29
      0.969  36.638888    -0.0126    11.9752     6.9997      0.961    24.0794    31.7613 -9.990e-29
      1.192  39.698892    -0.0248    12.3381     6.8475      1.183    26.0535    34.3938 -9.990e-29
      1.427  41.513850    -0.0348    12.5887     6.5879      1.416    27.1842    35.9142 -9.990e-29
      1.669  42.576576    -0.0281    12.7562     6.2514      1.656    27.8227    36.7803 -9.990e-29
      1.915  43.191547    -0.0325    12.8654     5.9215      1.900    28.1787    37.2676 -9.990e-29
      2.163  43.555077    -0.0414    12.9354     5.5969      2.146    28.3832    37.5495 -9.990e-29
      2.413  43.787014    -0.0314    12.9799     5.3176      2.394    28.5134    37.7292 -9.990e-29
      2.664  43.945009    -0.0270    13.0088     5.1116      2.643    28.6034    37.8528 -9.990e-29
      2.918  44.054637    -0.0237    13.0294     4.9641      2.895    28.6652    37.9379 -9.990e-29
      3.175  44.129816    -0.0171    13.0460     4.8477      3.150    28.7051    37.9937 -9.990e-29
      3.435  44.177994    -0.0348    13.0605     4.7918      3.408    28.7268    38.0256 -9.990e-29
      3.696  44.206833    -0.0093    13.0728     4.7627      3.667    28.7361    38.0409 -9.990e-29
