       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.008  44.408283     0.2679    13.1943     5.2345      1.000    28.7676    38.1141 0.0000e+00
      2.016  44.407250     0.2938    13.1928     5.2360      2.000    28.7679    38.1142 0.0000e+00
      3.024  44.412335     0.3205    13.1970     5.2362      3.000    28.7672    38.1144 0.0000e+00
      4.032  44.413657     0.3547    13.1982     5.2485      4.000    28.7667    38.1140 0.0000e+00
      5.040  44.414589     0.4035    13.1985     5.2290      5.000    28.7668    38.1141 0.0000e+00
      6.048  44.415150     0.4264    13.1985     5.2318      6.000    28.7668    38.1141 0.0000e+00
      7.056  44.411964     0.4521    13.1951     5.2328      7.000    28.7675    38.1140 0.0000e+00
      8.064  44.414922     0.4484    13.1975     5.2355      8.000    28.7670    38.1140 0.0000e+00
      9.072  44.416070     0.4874    13.1983     5.2395      9.000    28.7667    38.1138 0.0000e+00
     10.080  44.416368     0.4924    13.1981     5.2389     10.000    28.7668    38.1139 0.0000e+00
     11.088  44.415399     0.5010    13.1966     5.2306     11.000    28.7673    38.1140 0.0000e+00
     12.096  44.417860     0.5104    13.1983     5.2345     12.000    28.7671    38.1142 0.0000e+00
     13.104  44.424198     0.5342    13.2034     5.2358     13.000    28.7664    38.1147 0.0000e+00
     14.113  44.424685     0.5098    13.2038     5.2371     14.000    28.7660    38.1143 0.0000e+00
     15.121  44.425563     0.5125    13.2041     5.2367     15.000    28.7661    38.1144 0.0000e+00
     16.128  44.424689     0.5087    13.2032     5.2354     16.000    28.7661    38.1140 0.0000e+00
     17.137  44.425383     0.5229    13.2033     5.2379     17.000    28.7662    38.1141 0.0000e+00
     18.145  44.424387     0.4959    13.2021     5.2379     18.000    28.7662    38.1139 0.0000e+00
     19.153  44.425652     0.5045    13.2026     5.2326     19.000    28.7663    38.1141 0.0000e+00
     20.161  44.426699     0.5033    13.2033     5.2393     20.000    28.7662    38.1140 0.0000e+00
     21.169  44.427564     0.4913    13.2036     5.2325     21.000    28.7661    38.1140 0.0000e+00
     22.177  44.428140     0.5014    13.2037     5.2272     22.000    28.7662    38.1141 0.0000e+00
     23.185  44.430625     0.4958    13.2054     5.2327     23.000    28.7660    38.1143 0.0000e+00
     24.193  44.434587     0.5125    13.2082     5.2311     24.000    28.7659    38.1148 0.0000e+00
     25.202  44.434571     0.4793    13.2078     5.2371     25.000    28.7659    38.1147 0.0000e+00
     26.209  44.435719     0.4728    13.2083     5.2312     26.000    28.7660    38.1149 0.0000e+00
     27.218  44.437372     0.4941    13.2093     5.2278     27.000    28.7659    38.1150 0.0000e+00
     28.226  44.438213     0.4744    13.2096     5.2264     28.000    28.7658    38.1150 0.0000e+00
     29.234  44.437253     0.4949    13.2087     5.2283     29.000    28.7657    38.1145 0.0000e+00
     30.242  44.437140     0.4824    13.2082     5.2372     30.000    28.7658    38.1144 0.0000e+00
     31.250  44.437164     0.4874    13.2078     5.2305     31.000    28.7659    38.1144 0.0000e+00
     32.258  44.437621     0.4845    13.2078     5.2293     32.000    28.7659    38.1145 0.0000e+00
     33.266  44.437264     0.4804    13.2071     5.2315     33.000    28.7660    38.1143 0.0000e+00
     34.275  44.436872     0.4832    13.2062     5.2377     34.000    28.7662    38.1143 0.0000e+00
     35.283  44.436621     0.4917    13.2057     5.2322     35.000    28.7662    38.1142 0.0000e+00
     36.291  44.436867     0.4765    13.2055     5.2345     36.000    28.7662    38.1141 0.0000e+00
     37.299  44.439053     0.4799    13.2070     5.2338     37.000    28.7661    38.1143 0.0000e+00
     38.308  44.441848     0.4655    13.2088     5.2321     38.000    28.7661    38.1147 0.0000e+00
     39.315  44.445120     0.4603    13.2111     5.2265     39.000    28.7659    38.1151 0.0000e+00
     40.324  44.452009     0.4517    13.2164     5.2304     40.000    28.7655    38.1159 0.0000e+00
     41.332  44.453588     0.4340    13.2173     5.2239     41.000    28.7654    38.1160 0.0000e+00
     42.340  44.453927     0.4289    13.2173     5.2310     42.000    28.7653    38.1159 0.0000e+00
     43.348  44.454313     0.4374    13.2172     5.2362     43.000    28.7655    38.1160 0.0000e+00
     44.356  44.454959     0.4213    13.2173     5.2250     44.000    28.7655    38.1159 0.0000e+00
     45.365  44.455595     0.4311    13.2174     5.2356     45.000    28.7655    38.1160 0.0000e+00
     46.373  44.456175     0.4182    13.2175     5.2283     46.000    28.7655    38.1160 0.0000e+00
     47.381  44.456545     0.4355    13.2176     5.2317     47.000    28.7654    38.1158 0.0000e+00
     48.390  44.457252     0.4079    13.2178     5.2168     48.000    28.7654    38.1159 0.0000e+00
     49.398  44.457130     0.4171    13.2173     5.2233     49.000    28.7655    38.1158 0.0000e+00
     50.406  44.457050     0.4151    13.2169     5.2311     50.000    28.7655    38.1156 0.0000e+00
     51.414  44.458122     0.4215    13.2173     5.2342     51.000    28.7655    38.1158 0.0000e+00
     52.422  44.458827     0.4029    13.2176     5.2253     52.000    28.7655    38.1157 0.0000e+00
     53.431  44.459151     0.4130    13.2175     5.2308     53.000    28.7654    38.1156 0.0000e+00
     54.439  44.459339     0.4042    13.2171     5.2363     54.000    28.7657    38.1158 0.0000e+00
     55.447  44.460107     0.4258    13.2173     5.2273     55.000    28.7657    38.1158 0.0000e+00
     56.456  44.460818     0.4207    13.2177     5.2362     56.000    28.7656    38.1157 0.0000e+00
     57.464  44.461670     0.4135    13.2180     5.2298     57.000    28.7656    38.1157 0.0000e+00
     58.472  44.462748     0.4314    13.2185     5.2287     58.000    28.7656    38.1158 0.0000e+00
     59.480  44.463834     0.4043    13.2190     5.2286     59.000    28.7655    38.1159 0.0000e+00
     60.489  44.464495     0.4205    13.2192     5.2318     60.000    28.7655    38.1159 0.0000e+00
