       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.411  44.468415     0.1690    13.2511     5.1515      1.400    28.7561    38.1146 0.0000e+00
      1.512  44.468670     0.1618    13.2512     5.1510      1.500    28.7561    38.1147 0.0000e+00
      1.613  44.468452     0.1673    13.2510     5.1556      1.600    28.7561    38.1147 0.0000e+00
      1.714  44.468025     0.1951    13.2506     5.1595      1.700    28.7562    38.1146 0.0000e+00
      1.814  44.467534     0.1666    13.2502     5.1671      1.800    28.7562    38.1145 0.0000e+00
      1.915  44.467004     0.1695    13.2498     5.1722      1.900    28.7562    38.1144 0.0000e+00
      2.016  44.466434     0.1590    13.2493     5.1805      2.000    28.7561    38.1142 0.0000e+00
      2.117  44.466138     0.1636    13.2491     5.1778      2.100    28.7562    38.1142 0.0000e+00
      2.218  44.466267     0.1833    13.2491     5.1776      2.200    28.7562    38.1142 0.0000e+00
      2.318  44.466799     0.1907    13.2492     5.1795      2.300    28.7565    38.1146 0.0000e+00
      2.419  44.467122     0.1740    13.2490     5.1767      2.400    28.7569    38.1150 0.0000e+00
      2.520  44.466280     0.2057    13.2482     5.1720      2.500    28.7570    38.1150 0.0000e+00
      2.621  44.464423     0.1803    13.2468     5.1733      2.600    28.7570    38.1146 0.0000e+00
      2.722  44.462485     0.2010    13.2451     5.1735      2.700    28.7572    38.1144 0.0000e+00
      2.822  44.460512     0.1761    13.2431     5.1746      2.800    28.7576    38.1144 0.0000e+00
      2.923  44.458400     0.2487    13.2413     5.1818      2.900    28.7579    38.1143 0.0000e+00
      3.024  44.456969     0.1840    13.2397     5.1834      3.000    28.7583    38.1143 0.0000e+00
      3.125  44.455826     0.1806    13.2383     5.1806      3.100    28.7588    38.1146 0.0000e+00
      3.226  44.454881     0.1863    13.2371     5.1808      3.200    28.7593    38.1149 0.0000e+00
      3.327  44.454080     0.1960    13.2361     5.1763      3.300    28.7596    38.1151 0.0000e+00
      3.427  44.453354     0.2073    13.2352     5.1726      3.400    28.7600    38.1152 0.0000e+00
      3.528  44.452750     0.2096    13.2344     5.1737      3.500    28.7603    38.1154 0.0000e+00
      3.629  44.452196     0.2288    13.2336     5.1729      3.600    28.7606    38.1157 0.0000e+00
      3.730  44.451584     0.2623    13.2327     5.1746      3.700    28.7610    38.1159 0.0000e+00
      3.831  44.450975     0.2529    13.2318     5.1767      3.800    28.7613    38.1162 0.0000e+00
      3.931  44.450484     0.2639    13.2310     5.1801      3.900    28.7618    38.1164 0.0000e+00
      4.032  44.450152     0.2648    13.2302     5.1814      4.000    28.7623    38.1169 0.0000e+00
      4.133  44.449998     0.2787    13.2295     5.1792      4.100    28.7628    38.1174 0.0000e+00
      4.234  44.450003     0.2767    13.2290     5.1800      4.200    28.7633    38.1179 0.0000e+00
      4.335  44.450127     0.2826    13.2286     5.1819      4.300    28.7638    38.1184 0.0000e+00
      4.435  44.450342     0.2911    13.2284     5.1811      4.400    28.7641    38.1188 0.0000e+00
      4.536  44.450768     0.2994    13.2282     5.1812      4.500    28.7645    38.1193 0.0000e+00
      4.637  44.451534     0.2877    13.2282     5.1847      4.600    28.7651    38.1200 0.0000e+00
      4.738  44.452439     0.2829    13.2283     5.1849      4.700    28.7656    38.1207 0.0000e+00
      4.838  44.453192     0.2756    13.2284     5.1846      4.800    28.7661    38.1213 0.0000e+00
      4.939  44.453724     0.3238    13.2284     5.1844      4.900    28.7665    38.1217 0.0000e+00
      5.040  44.454064     0.3109    13.2284     5.1782      5.000    28.7667    38.1220 0.0000e+00
