       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     -0.136   0.018049    -0.0115     7.6865     8.1143     -0.135    -0.1197     0.0140 -9.990e-29
     -0.136   0.018031    -0.0049     7.6865     8.1123     -0.135    -0.1197     0.0140 -9.990e-29
     -0.135   0.018005    -0.0148     7.6864     8.1151     -0.134    -0.1197     0.0140 -9.990e-29
     -0.134   0.017985     0.0095     7.6864     8.1173     -0.133    -0.1197     0.0140 -9.990e-29
     -0.133   0.017969    -0.0259     7.6864     8.1186     -0.132    -0.1198     0.0140 -9.990e-29
     -0.132   0.017950    -0.0148     7.6863     8.1134     -0.131    -0.1198     0.0140 -9.990e-29
     -0.131   0.017931    -0.0038     7.6863     8.1154     -0.130    -0.1198     0.0140 -9.990e-29
     -0.130   0.017904    -0.0137     7.6863     8.1121     -0.129    -0.1198     0.0140 -9.990e-29
     -0.129   0.017873    -0.0248     7.6862     8.1142     -0.128    -0.1198     0.0139 -9.990e-29
     -0.129   0.017840    -0.0104     7.6862     8.1135     -0.128    -0.1198     0.0139 -9.990e-29
     -0.128   0.017801    -0.0171     7.6862     8.1120     -0.127    -0.1198     0.0139 -9.990e-29
     -0.127   0.017759    -0.0005     7.6862     8.1115     -0.126    -0.1199     0.0139 -9.990e-29
     -0.127   0.017725    -0.0148     7.6863     8.1087     -0.126    -0.1199     0.0138 -9.990e-29
     -0.126   0.017690     0.0006     7.6863     8.1118     -0.125    -0.1199     0.0138 -9.990e-29
     -0.126   0.017662    -0.0005     7.6864     8.1110     -0.125    -0.1199     0.0138 -9.990e-29
     -0.125   0.017636    -0.0248     7.6865     8.1171     -0.124    -0.1199     0.0138 -9.990e-29
     -0.125   0.017610    -0.0115     7.6866     8.1148     -0.124    -0.1200     0.0138 -9.990e-29
     -0.124   0.017581    -0.0093     7.6867     8.1153     -0.123    -0.1200     0.0137 -9.990e-29
     -0.124   0.017557    -0.0303     7.6868     8.1097     -0.123    -0.1200     0.0137 -9.990e-29
     -0.123   0.017538    -0.0237     7.6869     8.1094     -0.122    -0.1200     0.0137 -9.990e-29
     -0.123   0.017523    -0.0182     7.6870     8.1098     -0.122    -0.1200     0.0137 -9.990e-29
     -0.122   0.017518    -0.0148     7.6872     8.1108     -0.121    -0.1200     0.0137 -9.990e-29
     -0.122   0.017520    -0.0082     7.6874     8.1104     -0.121    -0.1200     0.0137 -9.990e-29
     -0.122   0.017532    -0.0104     7.6877     8.1049     -0.121    -0.1201     0.0137 -9.990e-29
     -0.121   0.017550    -0.0049     7.6879     8.1047     -0.120    -0.1201     0.0137 -9.990e-29
     -0.121   0.017588    -0.0126     7.6880     8.1116     -0.120    -0.1200     0.0137 -9.990e-29
     -0.120   0.017665    -0.0038     7.6882     8.1122     -0.119    -0.1200     0.0138 -9.990e-29
     -0.120   0.017802    -0.0259     7.6883     8.1105     -0.119    -0.1199     0.0139 -9.990e-29
     -0.119   0.018049    -0.0337     7.6884     8.1133     -0.118    -0.1198     0.0140 -9.990e-29
     -0.117   0.018478    -0.0137     7.6885     8.1082     -0.116    -0.1196     0.0143 -9.990e-29
     -0.116   0.019216    -0.0248     7.6886     8.1142     -0.115    -0.1192     0.0148 -9.990e-29
     -0.114   0.020477    -0.0237     7.6888     8.1103     -0.113    -0.1186     0.0156 -9.990e-29
     -0.112   0.022616    -0.0226     7.6892     8.1135     -0.111    -0.1175     0.0170 -9.990e-29
     -0.109   0.026212    -0.0160     7.6898     8.1059     -0.108    -0.1157     0.0194 -9.990e-29
     -0.105   0.032233    -0.0381     7.6907     8.1073     -0.104    -0.1125     0.0234 -9.990e-29
     -0.101   0.042311    -0.0337     7.6923     8.1092     -0.100    -0.1072     0.0302 -9.990e-29
     -0.095   0.059125    -0.0027     7.6949     7.6093     -0.094    -0.0982     0.0417 -9.990e-29
     -0.087   0.087143    -0.0381     7.6992     6.3388     -0.086    -0.0829     0.0612 -9.990e-29
     -0.078   0.133865    -0.0104     7.7063     5.8296     -0.077    -0.0570     0.0943 -9.990e-29
     -0.066   0.211796    -0.0215     7.7184     5.7323     -0.065    -0.0130     0.1506 -9.990e-29
     -0.051   0.341722    -0.0171     7.7386     5.6846     -0.051     0.0618     0.2463 -9.990e-29
     -0.031   0.558303    -0.0281     7.7723     5.6682     -0.031     0.1891     0.4092 -9.990e-29
     -0.006   0.919312    -0.0182     7.8285     5.6832     -0.006     0.4056     0.6869 -9.990e-29
      0.027   1.521030    -0.0148     7.9221     5.7316      0.027     0.7746     1.1611 -9.990e-29
      0.069   2.523931    -0.0171     8.0782     5.7769      0.068     1.4034     1.9715 -9.990e-29
      0.123   4.195483    -0.0148     8.3383     5.8526      0.122     2.4729     3.3556 -9.990e-29
      0.192   6.981443    -0.0237     8.7700     5.9502      0.190     4.2832     5.7119 -9.990e-29
      0.281  11.622207    -0.0126     9.4165     6.0564      0.279     7.3376     9.7077 -9.990e-29
      0.395  18.601926    -0.0193    10.1968     6.3499      0.392    11.9986    15.8231 -9.990e-29
      0.532  26.641941    -0.0314    10.9452     6.7120      0.528    17.4323    22.9650 -9.990e-29
      0.688  33.305668    -0.0248    11.5546     7.0789      0.683    21.9326    28.8966 -9.990e-29
      0.859  37.628727    -0.0314    12.0101     7.3491      0.852    24.7911    32.6867 -9.990e-29
      1.042  40.214356    -0.0160    12.3369     7.4874      1.034    26.4418    34.8939 -9.990e-29
      1.234  41.750852    -0.0160    12.5655     7.4161      1.224    27.3842    36.1661 -9.990e-29
      1.435  42.649883    -0.0193    12.7222     7.1732      1.424    27.9106    36.8847 -9.990e-29
      1.644  43.183359    -0.0182    12.8284     6.8097      1.631    28.2086    37.2965 -9.990e-29
      1.862  43.533914    -0.0248    12.9015     6.3533      1.847    28.4005    37.5630 -9.990e-29
      2.090  43.781594    -0.0049    12.9547     5.8818      2.073    28.5342    37.7493 -9.990e-29
      2.329  43.952608    -0.0314    12.9962     5.4607      2.311    28.6216    37.8729 -9.990e-29
      2.577  44.072263    -0.0259    13.0307     5.1126      2.557    28.6772    37.9538 -9.990e-29
      2.833  44.160117    -0.0237    13.0611     4.8658      2.811    28.7130    38.0080 -9.990e-29
      3.097  44.223629    -0.0248    13.0881     4.6915      3.072    28.7338    38.0420 -9.990e-29
      3.364  44.262995    -0.0082    13.1108     4.5952      3.337    28.7407    38.0570 -9.990e-29
      3.630  44.278872    -0.0193    13.1282     4.5557      3.601    28.7353    38.0547 -9.990e-29
      3.890  44.276078    -0.0126    13.1404     4.5407      3.859    28.7211    38.0396 -9.990e-29
      4.141  44.261375    -0.0259    13.1479     4.5534      4.108    28.7026    38.0178 -9.990e-29
      4.377  44.240455    -0.0193    13.1516     4.5791      4.342    28.6832    37.9938 -9.990e-29
      4.595  44.214531    -0.0193    13.1526     4.6093      4.558    28.6628    37.9677 -9.990e-29
      4.792  44.176974    -0.0104    13.1515     4.6477      4.754    28.6357    37.9326 -9.990e-29
      4.964  44.126071     0.0206    13.1485     4.6741      4.925    28.6006    37.8864 -9.990e-29
      5.109  44.075969     0.0239    13.1436     4.6875      5.068    28.5679    37.8430 -9.990e-29
      5.227  44.050310     0.0106    13.1382     4.7009      5.185    28.5540    37.8237 -9.990e-29
      5.320  44.067815     0.0172    13.1343     4.7114      5.278    28.5709    37.8444 -9.990e-29
      5.394  44.115291     0.0261    13.1335     4.7222      5.351    28.6072    37.8909 -9.990e-29
      5.451  44.158950     0.0139    13.1354     4.7270      5.408    28.6379    37.9310 -9.990e-29
      5.494  44.184232     0.0139    13.1386     4.7270      5.450    28.6537    37.9522 -9.990e-29
      5.527  44.195740     0.0305    13.1419     4.7242      5.483    28.6590    37.9599 -9.990e-29
      5.550  44.200875     0.0394    13.1444     4.7215      5.506    28.6604    37.9624 -9.990e-29
      5.567  44.203696     0.0305    13.1458     4.7216      5.523    28.6611    37.9637 -9.990e-29
      5.580  44.203926     0.0139    13.1464     4.7156      5.536    28.6607    37.9633 -9.990e-29
      5.590  44.200741     0.0106    13.1463     4.7221      5.546    28.6584    37.9603 -9.990e-29
      5.599  44.194635     0.0217    13.1458     4.7206      5.555    28.6543    37.9549 -9.990e-29
      5.608  44.186048     0.0194    13.1454     4.7244      5.563    28.6483    37.9470 -9.990e-29
      5.617  44.176189     0.0405    13.1453     4.7308      5.572    28.6410    37.9376 -9.990e-29
      5.625  44.167734     0.0349    13.1456     4.7374      5.580    28.6344    37.9292 -9.990e-29
      5.633  44.162919     0.0139    13.1460     4.7347      5.588    28.6304    37.9241 -9.990e-29
      5.638  44.161946     0.0537    13.1465     4.7352      5.593    28.6292    37.9227 -9.990e-29
      5.642  44.162753     0.0383    13.1467     4.7268      5.597    28.6296    37.9233 -9.990e-29
      5.643  44.162417     0.0305    13.1467     4.7141      5.598    28.6293    37.9230 -9.990e-29
      5.643  44.159643     0.0571    13.1464     4.7001      5.598    28.6275    37.9206 -9.990e-29
      5.642  44.155331     0.0250    13.1457     4.6791      5.597    28.6250    37.9171 -9.990e-29
      5.642  44.150855     0.0327    13.1448     4.6571      5.597    28.6226    37.9137 -9.990e-29
      5.642  44.146317     0.0360    13.1434     4.6330      5.597    28.6205    37.9107 -9.990e-29
      5.643  44.140443     0.0327    13.1414     4.6059      5.598    28.6181    37.9071 -9.990e-29
      5.646  44.131813     0.0062    13.1384     4.5818      5.601    28.6146    37.9018 -9.990e-29
      5.651  44.119916     0.0748    13.1346     4.5580      5.606    28.6095    37.8941 -9.990e-29
      5.655  44.105580     0.0560    13.1305     4.5350      5.610    28.6028    37.8844 -9.990e-29
      5.661  44.090978     0.0825    13.1264     4.5173      5.616    28.5959    37.8744 -9.990e-29
      5.666  44.079213     0.0792    13.1225     4.5036      5.621    28.5910    37.8670 -9.990e-29
      5.672  44.072575     0.1434    13.1187     4.4881      5.627    28.5897    37.8644 -9.990e-29
      5.678  44.070062     0.1445    13.1144     4.4786      5.633    28.5921    37.8663 -9.990e-29
      5.683  44.067700     0.1699    13.1093     4.4680      5.638    28.5953    37.8691 -9.990e-29
      5.689  44.061526     0.1721    13.1029     4.4484      5.644    28.5970    37.8696 -9.990e-29
      5.693  44.049613     0.1721    13.0951     4.4414      5.648    28.5958    37.8659 -9.990e-29
      5.694  44.032783     0.1279    13.0867     4.4291      5.649    28.5915    37.8581 -9.990e-29
      5.693  44.014741     0.1489    13.0792     4.4302      5.648    28.5853    37.8482 -9.990e-29
      5.690  44.001095     0.1345    13.0738     4.4329      5.645    28.5804    37.8404 -9.990e-29
      5.685  43.998561     0.1500    13.0718     4.4422      5.640    28.5805    37.8400 -9.990e-29
      5.680  44.011170     0.1478    13.0738     4.4556      5.635    28.5880    37.8502 -9.990e-29
      5.678  44.033336     0.1644    13.0790     4.4659      5.633    28.5995    37.8663 -9.990e-29
      5.681  44.053002     0.1776    13.0853     4.4862      5.636    28.6080    37.8790 -9.990e-29
      5.690  44.061428     0.1566    13.0902     4.5002      5.645    28.6094    37.8822 -9.990e-29
      5.705  44.053511     0.1544    13.0909     4.5067      5.660    28.6028    37.8739 -9.990e-29
      5.725  44.023874     0.1467    13.0847     4.5113      5.679    28.5867    37.8515 -9.990e-29
      5.746  43.966281     0.1279    13.0690     4.5042      5.700    28.5591    37.8116 -9.990e-29
      5.766  43.881614     0.0914    13.0418     4.4890      5.720    28.5224    37.7571 -9.990e-29
      5.781  43.789718     0.0781    13.0010     4.4583      5.735    28.4936    37.7092 -9.990e-29
      5.789  43.718824     0.0460    12.9504     4.4272      5.743    28.4901    37.6912 -9.990e-29
      5.790  43.683310     0.0825    12.9023     4.3880      5.744    28.5107    37.7049 -9.990e-29
      5.785  43.684666     0.0869    12.8693     4.3594      5.739    28.5441    37.7393 -9.990e-29
      5.775  43.718182     0.0604    12.8582     4.3396      5.729    28.5802    37.7829 -9.990e-29
      5.763  43.769674     0.1057    12.8697     4.3284      5.717    28.6076    37.8212 -9.990e-29
      5.751  43.823768     0.1146    12.8974     4.3383      5.705    28.6210    37.8458 -9.990e-29
      5.739  43.872269     0.0903    12.9309     4.3517      5.693    28.6245    37.8592 -9.990e-29
      5.730  43.908099     0.0692    12.9610     4.3542      5.684    28.6218    37.8636 -9.990e-29
      5.724  43.925896     0.0648    12.9828     4.3540      5.679    28.6137    37.8590 -9.990e-29
      5.721  43.927980     0.0471    12.9967     4.3401      5.676    28.6015    37.8471 -9.990e-29
      5.721  43.923206     0.0659    13.0059     4.3055      5.676    28.5889    37.8332 -9.990e-29
      5.727  43.920695     0.0593    13.0140     4.2736      5.681    28.5790    37.8227 -9.990e-29
      5.737  43.925379     0.2894    13.0219     4.2403      5.691    28.5748    37.8193 -9.990e-29
      5.752  43.935811     0.0593    13.0282     4.2152      5.706    28.5764    37.8231 -9.990e-29
      5.772  43.940244     0.0659    13.0302     4.2068      5.726    28.5777    37.8253 -9.990e-29
      5.795  43.921939     0.0537    13.0249     4.2145      5.749    28.5692    37.8129 -9.990e-29
      5.817  43.869826     0.0548    13.0099     4.2184      5.771    28.5449    37.7776 -9.990e-29
      5.836  43.791382     0.0781    12.9831     4.2218      5.790    28.5124    37.7286 -9.990e-29
      5.848  43.713623     0.0593    12.9439     4.2245      5.802    28.4926    37.6926 -9.990e-29
      5.853  43.661662     0.0537    12.9001     4.2186      5.806    28.4965    37.6861 -9.990e-29
      5.850  43.648697     0.1179    12.8650     4.2163      5.804    28.5212    37.7087 -9.990e-29
      5.844  43.677391     0.0770    12.8493     4.2228      5.798    28.5582    37.7522 -9.990e-29
      5.837  43.735696     0.0703    12.8575     4.2415      5.791    28.5941    37.8005 -9.990e-29
      5.834  43.801699     0.0980    12.8849     4.2662      5.788    28.6167    37.8370 -9.990e-29
      5.836  43.855185     0.0825    12.9185     4.2806      5.790    28.6238    37.8550 -9.990e-29
      5.842  43.877641     0.0947    12.9440     4.3014      5.796    28.6156    37.8512 -9.990e-29
      5.850  43.852471     0.3303    12.9509     4.3098      5.804    28.5899    37.8199 -9.990e-29
      5.854  43.784297     0.0703    12.9329     4.3268      5.807    28.5564    37.7720 -9.990e-29
      5.851  43.705914     0.0548    12.8912     4.3234      5.804    28.5385    37.7379 -9.990e-29
      5.841  43.647970     0.0228    12.8371     4.3129      5.795    28.5481    37.7359 -9.990e-29
      5.824  43.619403     0.0969    12.7867     4.3088      5.778    28.5761    37.7587 -9.990e-29
      5.805  43.619689     0.0615    12.7527     4.3214      5.759    28.6098    37.7932 -9.990e-29
      5.790  43.648907     0.0615    12.7428     4.3278      5.744    28.6416    37.8315 -9.990e-29
      5.783  43.699626     0.0936    12.7599     4.3466      5.737    28.6630    37.8636 -9.990e-29
      5.787  43.757307     0.0593    12.7998     4.3714      5.741    28.6672    37.8795 -9.990e-29
      5.803  43.813627     0.1102    12.8503     4.3958      5.757    28.6598    37.8833 -9.990e-29
      5.826  43.857973     0.1489    12.8980     4.4342      5.780    28.6461    37.8783 -9.990e-29
      5.851  43.870790     0.1776    12.9331     4.4454      5.804    28.6212    37.8555 -9.990e-29
      5.873  43.839321     0.1378    12.9496     4.4310      5.826    28.5813    37.8085 -9.990e-29
      5.890  43.774033     0.0615    12.9434     4.4050      5.843    28.5384    37.7515 -9.990e-29
      5.899  43.702201     0.0637    12.9146     4.3628      5.852    28.5127    37.7108 -9.990e-29
      5.902  43.643679     0.0648    12.8709     4.3145      5.855    28.5117    37.6979 -9.990e-29
      5.899  43.605096     0.0250    12.8237     4.2934      5.852    28.5290    37.7077 -9.990e-29
      5.894  43.586768     0.0416    12.7821     4.3280      5.847    28.5560    37.7317 -9.990e-29
      5.889  43.585233     0.0659    12.7505     4.4271      5.842    28.5859    37.7619 -9.990e-29
      5.884  43.593234     0.0781    12.7299     4.5733      5.837    28.6122    37.7903 -9.990e-29
      5.880  43.601702     0.0803    12.7202     4.7487      5.833    28.6282    37.8083 -9.990e-29
      5.876  43.606445     0.0781    12.7219     4.9271      5.829    28.6301    37.8112 -9.990e-29
      5.873  43.614377     0.0659    12.7368     5.0826      5.826    28.6214    37.8040 -9.990e-29
      5.870  43.643969     0.0338    12.7675     5.2095      5.823    28.6135    37.8019 -9.990e-29
      5.868  43.719502     0.0449    12.8187     5.2981      5.821    28.6200    37.8237 -9.990e-29
      5.868  43.862854     0.0759    12.8930     5.3404      5.821    28.6547    37.8881 -9.990e-29
      5.871  44.050748     0.0261    12.9801     5.3472      5.824    28.7100    37.9824 -9.990e-29
      5.877  44.214538     0.0383    13.0617     5.3391      5.830    28.7522    38.0585 -9.990e-29
      5.889  44.322807     0.0371    13.1270     5.3163      5.842    28.7686    38.0972 -9.990e-29
      5.903  44.389730     0.0383    13.1748     5.2896      5.856    28.7714    38.1136 -9.990e-29
      5.918  44.430773     0.0571    13.2080     5.2727      5.871    28.7692    38.1197 -9.990e-29
      5.932  44.455687     0.0681    13.2303     5.2472      5.885    28.7657    38.1212 -9.990e-29
      5.943  44.470515     0.0737    13.2450     5.2273      5.896    28.7622    38.1207 -9.990e-29
      5.948  44.479139     0.0781    13.2547     5.2055      5.901    28.7591    38.1193 -9.990e-29
      5.948  44.484331     0.0858    13.2612     5.1940      5.901    28.7565    38.1177 -9.990e-29
      5.944  44.487899     0.0659    13.2658     5.1762      5.897    28.7546    38.1165 -9.990e-29
      5.941  44.490507     0.1091    13.2690     5.1664      5.894    28.7534    38.1158 -9.990e-29
      5.941  44.492415     0.0947    13.2713     5.1499      5.894    28.7525    38.1153 -9.990e-29
      5.945  44.493902     0.0737    13.2731     5.1394      5.898    28.7519    38.1149 -9.990e-29
      5.953  44.495065     0.0803    13.2744     5.1360      5.906    28.7514    38.1148 -9.990e-29
      5.964  44.495815     0.0703    13.2752     5.1242      5.917    28.7512    38.1147 -9.990e-29
      5.973  44.496050     0.0781    13.2757     5.1158      5.926    28.7509    38.1144 -9.990e-29
      5.979  44.495780     0.0737    13.2759     5.1091      5.931    28.7505    38.1139 -9.990e-29
      5.979  44.495193     0.1091    13.2760     5.1028      5.931    28.7499    38.1133 -9.990e-29
      5.975  44.494705     0.0969    13.2761     5.1046      5.928    28.7495    38.1127 -9.990e-29
