       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.513  44.500858     0.0750    13.2955     5.1448      1.500    28.7364    38.1012 0.0000e+00
      1.764  44.501479     0.0333    13.2958     5.1500      1.750    28.7364    38.1013 0.0000e+00
      2.016  44.502146     0.0399    13.2962     5.1532      2.000    28.7364    38.1014 0.0000e+00
      2.268  44.502449     0.0357    13.2964     5.1485      2.250    28.7364    38.1014 0.0000e+00
      2.520  44.502794     0.0372    13.2967     5.1404      2.500    28.7363    38.1014 0.0000e+00
      2.772  44.503102     0.0487    13.2968     5.1347      2.750    28.7363    38.1014 0.0000e+00
      3.024  44.503223     0.0368    13.2968     5.1309      3.000    28.7363    38.1014 0.0000e+00
      3.276  44.503407     0.0384    13.2969     5.1300      3.250    28.7362    38.1013 0.0000e+00
      3.528  44.503739     0.0399    13.2971     5.1295      3.500    28.7362    38.1013 0.0000e+00
      3.780  44.504237     0.0503    13.2975     5.1382      3.750    28.7361    38.1014 0.0000e+00
      4.032  44.504940     0.0448    13.2980     5.1384      4.000    28.7361    38.1013 0.0000e+00
      4.284  44.505409     0.0403    13.2984     5.1393      4.250    28.7360    38.1013 0.0000e+00
      4.536  44.505805     0.0618    13.2986     5.1406      4.500    28.7359    38.1014 0.0000e+00
      4.788  44.506320     0.0437    13.2990     5.1390      4.750    28.7359    38.1014 0.0000e+00
      5.040  44.506276     0.0512    13.2988     5.1434      5.000    28.7360    38.1015 0.0000e+00
      5.292  44.505185     0.0551    13.2980     5.1367      5.250    28.7359    38.1011 0.0000e+00
      5.544  44.503597     0.1075    13.2967     5.1307      5.500    28.7358    38.1007 0.0000e+00
      5.796  44.502636     0.0737    13.2958     5.1238      5.750    28.7359    38.1005 0.0000e+00
      6.048  44.502304     0.0704    13.2954     5.1299      6.000    28.7360    38.1006 0.0000e+00
      6.300  44.502122     0.0622    13.2951     5.1353      6.250    28.7361    38.1006 0.0000e+00
      6.552  44.502060     0.0765    13.2949     5.1369      6.500    28.7362    38.1005 0.0000e+00
      6.804  44.502170     0.0914    13.2949     5.1437      6.750    28.7362    38.1006 0.0000e+00
      7.056  44.502309     0.1098    13.2949     5.1329      7.000    28.7362    38.1006 0.0000e+00
      7.308  44.502505     0.1317    13.2949     5.1285      7.250    28.7363    38.1007 0.0000e+00
      7.560  44.502631     0.1250    13.2950     5.1297      7.500    28.7362    38.1006 0.0000e+00
      7.812  44.502821     0.1703    13.2951     5.1358      7.750    28.7361    38.1006 0.0000e+00
      8.064  44.503072     0.1601    13.2952     5.1425      8.000    28.7362    38.1006 0.0000e+00
      8.316  44.503334     0.1551    13.2952     5.1446      8.250    28.7362    38.1007 0.0000e+00
      8.568  44.503563     0.1489    13.2953     5.1449      8.500    28.7362    38.1007 0.0000e+00
      8.820  44.503776     0.1411    13.2953     5.1494      8.750    28.7363    38.1008 0.0000e+00
      9.072  44.504037     0.1663    13.2954     5.1475      9.000    28.7364    38.1009 0.0000e+00
      9.324  44.504004     0.1656    13.2953     5.1436      9.250    28.7364    38.1009 0.0000e+00
      9.576  44.503833     0.1885    13.2951     5.1381      9.500    28.7364    38.1008 0.0000e+00
      9.828  44.503859     0.1737    13.2950     5.1411      9.750    28.7364    38.1008 0.0000e+00
     10.080  44.503803     0.1780    13.2949     5.1412     10.000    28.7364    38.1007 0.0000e+00
     10.332  44.503784     0.1755    13.2947     5.1389     10.250    28.7364    38.1007 0.0000e+00
     10.585  44.503680     0.1843    13.2944     5.1392     10.500    28.7366    38.1008 0.0000e+00
     10.836  44.503403     0.2033    13.2940     5.1399     10.750    28.7366    38.1008 0.0000e+00
     11.088  44.503019     0.1974    13.2935     5.1388     11.000    28.7368    38.1009 0.0000e+00
     11.340  44.502582     0.1836    13.2930     5.1376     11.250    28.7369    38.1008 0.0000e+00
     11.593  44.502462     0.2129    13.2927     5.1339     11.500    28.7370    38.1009 0.0000e+00
     11.844  44.502660     0.2112    13.2926     5.1392     11.750    28.7372    38.1010 0.0000e+00
     12.096  44.502754     0.2186    13.2926     5.1426     12.000    28.7372    38.1010 0.0000e+00
     12.348  44.502844     0.1813    13.2925     5.1420     12.250    28.7373    38.1011 0.0000e+00
     12.601  44.502966     0.2034    13.2925     5.1440     12.500    28.7373    38.1011 0.0000e+00
     12.852  44.503111     0.2187    13.2925     5.1415     12.750    28.7373    38.1011 0.0000e+00
     13.105  44.503312     0.2270    13.2926     5.1424     13.000    28.7373    38.1011 0.0000e+00
     13.357  44.503527     0.2488    13.2927     5.1380     13.250    28.7372    38.1011 0.0000e+00
     13.608  44.503699     0.2410    13.2927     5.1280     13.500    28.7373    38.1011 0.0000e+00
     13.860  44.503844     0.2397    13.2927     5.1217     13.750    28.7373    38.1012 0.0000e+00
     14.112  44.504047     0.2305    13.2928     5.1254     14.000    28.7373    38.1012 0.0000e+00
     14.365  44.504298     0.2302    13.2929     5.1387     14.250    28.7373    38.1012 0.0000e+00
     14.617  44.504469     0.2547    13.2930     5.1452     14.500    28.7372    38.1011 0.0000e+00
     14.869  44.504499     0.2492    13.2929     5.1387     14.750    28.7373    38.1012 0.0000e+00
     15.121  44.504630     0.2483    13.2929     5.1352     15.000    28.7373    38.1012 0.0000e+00
     15.373  44.504804     0.2393    13.2928     5.1295     15.250    28.7374    38.1013 0.0000e+00
     15.624  44.504743     0.2386    13.2926     5.1335     15.500    28.7375    38.1013 0.0000e+00
     15.876  44.504506     0.2380    13.2923     5.1392     15.750    28.7375    38.1013 0.0000e+00
     16.128  44.504355     0.2416    13.2920     5.1408     16.000    28.7376    38.1013 0.0000e+00
     16.380  44.504314     0.2524    13.2919     5.1472     16.250    28.7377    38.1013 0.0000e+00
     16.632  44.504278     0.2289    13.2918     5.1497     16.500    28.7377    38.1013 0.0000e+00
     16.885  44.504341     0.2352    13.2917     5.1456     16.750    28.7377    38.1013 0.0000e+00
     17.137  44.504462     0.2608    13.2917     5.1429     17.000    28.7377    38.1013 0.0000e+00
     17.389  44.504601     0.2715    13.2918     5.1446     17.250    28.7376    38.1012 0.0000e+00
     17.641  44.504778     0.2501    13.2918     5.1378     17.500    28.7377    38.1013 0.0000e+00
     17.892  44.504951     0.2434    13.2918     5.1442     17.750    28.7377    38.1013 0.0000e+00
     18.144  44.505054     0.2744    13.2919     5.1426     18.000    28.7376    38.1012 0.0000e+00
     18.397  44.505118     0.2587    13.2919     5.1398     18.250    28.7376    38.1012 0.0000e+00
     18.649  44.505236     0.2494    13.2918     5.1434     18.500    28.7377    38.1012 0.0000e+00
     18.901  44.505405     0.3090    13.2918     5.1344     18.750    28.7377    38.1013 0.0000e+00
     19.153  44.505559     0.2920    13.2918     5.1336     19.000    28.7377    38.1013 0.0000e+00
     19.405  44.505717     0.2774    13.2919     5.1354     19.250    28.7378    38.1012 0.0000e+00
     19.657  44.505934     0.2507    13.2920     5.1339     19.500    28.7377    38.1013 0.0000e+00
     19.909  44.506247     0.2791    13.2921     5.1450     19.750    28.7377    38.1013 0.0000e+00
     20.161  44.506527     0.2694    13.2922     5.1464     20.000    28.7378    38.1014 0.0000e+00
     20.413  44.506805     0.2564    13.2923     5.1392     20.250    28.7377    38.1014 0.0000e+00
     20.665  44.507105     0.2710    13.2925     5.1349     20.500    28.7377    38.1014 0.0000e+00
     20.917  44.507395     0.2698    13.2927     5.1281     20.750    28.7377    38.1014 0.0000e+00
     21.169  44.507661     0.2661    13.2928     5.1312     21.000    28.7377    38.1014 0.0000e+00
     21.421  44.507826     0.2984    13.2928     5.1370     21.250    28.7377    38.1015 0.0000e+00
     21.673  44.507765     0.2627    13.2927     5.1420     21.500    28.7377    38.1014 0.0000e+00
     21.925  44.507949     0.2676    13.2927     5.1387     21.750    28.7377    38.1014 0.0000e+00
     22.177  44.508165     0.2421    13.2927     5.1346     22.000    28.7378    38.1015 0.0000e+00
     22.429  44.508318     0.2580    13.2927     5.1338     22.250    28.7379    38.1015 0.0000e+00
     22.681  44.508440     0.2811    13.2927     5.1350     22.500    28.7379    38.1016 0.0000e+00
     22.933  44.508529     0.3007    13.2926     5.1370     22.750    28.7379    38.1016 0.0000e+00
     23.185  44.508607     0.2929    13.2926     5.1398     23.000    28.7379    38.1016 0.0000e+00
     23.437  44.508752     0.2701    13.2926     5.1369     23.250    28.7379    38.1016 0.0000e+00
     23.690  44.508854     0.3003    13.2926     5.1340     23.500    28.7379    38.1016 0.0000e+00
     23.941  44.508956     0.2656    13.2926     5.1332     23.750    28.7379    38.1016 0.0000e+00
     24.194  44.509143     0.2535    13.2927     5.1394     24.000    28.7380    38.1016 0.0000e+00
     24.445  44.509382     0.2773    13.2927     5.1408     24.250    28.7380    38.1016 0.0000e+00
     24.698  44.509564     0.2653    13.2926     5.1422     24.500    28.7381    38.1018 0.0000e+00
     24.949  44.509664     0.2724    13.2926     5.1411     24.750    28.7381    38.1018 0.0000e+00
     25.201  44.509798     0.3140    13.2926     5.1391     25.000    28.7381    38.1018 0.0000e+00
     25.453  44.510011     0.2677    13.2926     5.1380     25.250    28.7382    38.1018 0.0000e+00
     25.705  44.510254     0.2573    13.2928     5.1396     25.500    28.7381    38.1018 0.0000e+00
     25.958  44.510522     0.2764    13.2930     5.1444     25.750    28.7380    38.1017 0.0000e+00
     26.209  44.510832     0.2554    13.2931     5.1385     26.000    28.7381    38.1018 0.0000e+00
     26.462  44.511172     0.2905    13.2933     5.1336     26.250    28.7381    38.1018 0.0000e+00
     26.714  44.511493     0.3317    13.2935     5.1325     26.500    28.7380    38.1018 0.0000e+00
     26.966  44.511608     0.2610    13.2934     5.1354     26.750    28.7381    38.1019 0.0000e+00
     27.218  44.511465     0.3426    13.2933     5.1404     27.000    28.7380    38.1017 0.0000e+00
     27.470  44.511272     0.2628    13.2931     5.1440     27.250    28.7380    38.1017 0.0000e+00
     27.722  44.511067     0.2935    13.2929     5.1403     27.500    28.7380    38.1016 0.0000e+00
     27.974  44.511030     0.2741    13.2927     5.1369     27.750    28.7381    38.1016 0.0000e+00
