       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.008  44.469480     0.1612    13.2522     5.1371      1.000    28.7559    38.1147 0.0000e+00
      2.016  44.467108     0.1757    13.2497     5.1708      2.000    28.7563    38.1145 0.0000e+00
      3.024  44.457859     0.1932    13.2403     5.1776      3.000    28.7584    38.1146 0.0000e+00
      4.032  44.450622     0.2646    13.2305     5.1783      4.000    28.7623    38.1170 0.0000e+00
      5.040  44.453524     0.3075    13.2284     5.1826      5.000    28.7663    38.1215 0.0000e+00
      6.048  44.455556     0.3572    13.2286     5.1832      6.000    28.7672    38.1227 0.0000e+00
      7.056  44.456258     0.3721    13.2287     5.1822      7.000    28.7674    38.1229 0.0000e+00
      8.064  44.455970     0.3970    13.2284     5.1821      8.000    28.7671    38.1225 0.0000e+00
      9.072  44.454480     0.3960    13.2274     5.1749      9.000    28.7666    38.1215 0.0000e+00
     10.080  44.454363     0.4063    13.2277     5.1829     10.000    28.7659    38.1207 0.0000e+00
     11.088  44.456754     0.4113    13.2294     5.1763     11.000    28.7657    38.1208 0.0000e+00
     12.096  44.456940     0.4189    13.2294     5.1702     12.000    28.7655    38.1205 0.0000e+00
     13.104  44.459066     0.3966    13.2299     5.1797     13.000    28.7663    38.1216 0.0000e+00
     14.112  44.466616     0.4282    13.2327     5.1781     14.000    28.7688    38.1255 0.0000e+00
     15.121  44.470811     0.4548    13.2345     5.1713     15.000    28.7699    38.1274 0.0000e+00
     16.128  44.494746     0.4604    13.2465     5.1760     16.000    28.7755    38.1379 0.0000e+00
     17.137  44.548310     0.5054    13.2756     5.1720     17.000    28.7863    38.1596 0.0000e+00
     18.145  44.593406     0.5744    13.3009     5.1555     18.000    28.7945    38.1770 0.0000e+00
     19.153  44.613074     0.6352    13.3099     5.1597     19.000    28.7999    38.1864 0.0000e+00
     20.161  44.616381     0.6404    13.3115     5.1468     20.000    28.8005    38.1875 0.0000e+00
     21.169  44.619902     0.6429    13.3133     5.1536     21.000    28.8010    38.1886 0.0000e+00
     22.177  44.625089     0.6333    13.3158     5.1561     22.000    28.8021    38.1906 0.0000e+00
     23.185  44.629505     0.6180    13.3181     5.1406     23.000    28.8028    38.1921 0.0000e+00
     24.193  44.633312     0.6158    13.3196     5.1409     24.000    28.8038    38.1938 0.0000e+00
     25.201  44.632319     0.6039    13.3183     5.1450     25.000    28.8040    38.1936 0.0000e+00
     26.210  44.632582     0.6016    13.3180     5.1414     26.000    28.8042    38.1938 0.0000e+00
     27.218  44.631841     0.6098    13.3166     5.1497     27.000    28.8046    38.1939 0.0000e+00
     28.226  44.616159     0.6102    13.3021     5.1555     28.000    28.8070    38.1930 0.0000e+00
     29.234  44.615512     0.5979    13.2971     5.1434     29.000    28.8111    38.1969 0.0000e+00
     30.242  44.638543     0.5711    13.3080     5.1183     30.000    28.8171    38.2076 0.0000e+00
