       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     -0.121   0.042704     0.0117     8.2902     8.0049     -0.120    -0.1433     0.0302 -9.990e-29
     -0.120   0.042682     0.0040     8.2901     8.0081     -0.119    -0.1433     0.0302 -9.990e-29
     -0.120   0.042655     0.0161     8.2899     8.0037     -0.119    -0.1433     0.0302 -9.990e-29
     -0.119   0.042628     0.0084     8.2897     8.0063     -0.118    -0.1434     0.0302 -9.990e-29
     -0.119   0.042605    -0.0005     8.2895     8.0040     -0.118    -0.1434     0.0302 -9.990e-29
     -0.118   0.042584     0.0095     8.2894     7.9959     -0.117    -0.1434     0.0301 -9.990e-29
     -0.118   0.042547    -0.0071     8.2892     8.0048     -0.117    -0.1434     0.0301 -9.990e-29
     -0.117   0.042487    -0.0049     8.2890     8.0012     -0.116    -0.1434     0.0301 -9.990e-29
     -0.117   0.042405     0.0006     8.2888     8.0044     -0.116    -0.1434     0.0300 -9.990e-29
     -0.116   0.042306    -0.0038     8.2887     7.9960     -0.115    -0.1435     0.0300 -9.990e-29
     -0.115   0.042190     0.0139     8.2885     7.9952     -0.114    -0.1435     0.0299 -9.990e-29
     -0.115   0.042061    -0.0049     8.2883     7.9975     -0.114    -0.1436     0.0298 -9.990e-29
     -0.114   0.041933     0.0062     8.2881     8.0015     -0.113    -0.1436     0.0297 -9.990e-29
     -0.114   0.041814    -0.0082     8.2879     8.0043     -0.113    -0.1437     0.0296 -9.990e-29
     -0.114   0.041712     0.0073     8.2877     7.9990     -0.113    -0.1437     0.0296 -9.990e-29
     -0.113   0.041642    -0.0171     8.2876     8.0005     -0.112    -0.1437     0.0295 -9.990e-29
     -0.113   0.041601     0.0095     8.2875     8.0056     -0.112    -0.1438     0.0295 -9.990e-29
     -0.112   0.041586     0.0029     8.2874     8.0055     -0.111    -0.1438     0.0295 -9.990e-29
     -0.112   0.041606     0.0062     8.2875     8.0048     -0.111    -0.1437     0.0295 -9.990e-29
     -0.112   0.041657    -0.0005     8.2876     8.0029     -0.111    -0.1437     0.0295 -9.990e-29
     -0.111   0.041747    -0.0049     8.2878     8.0081     -0.110    -0.1437     0.0296 -9.990e-29
