       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     18.145  44.440095     0.5968    13.1787     5.2090     18.000    28.8012    38.1525 0.0000e+00
     18.397  44.441604     0.6366    13.1789     5.2054     18.250    28.8020    38.1537 0.0000e+00
     18.649  44.442371     0.5974    13.1790     5.2093     18.500    28.8024    38.1542 0.0000e+00
     18.901  44.442564     0.5940    13.1790     5.2114     18.750    28.8025    38.1543 0.0000e+00
     19.152  44.442703     0.5904    13.1790     5.2115     19.000    28.8025    38.1543 0.0000e+00
     19.405  44.442787     0.5814    13.1788     5.2014     19.250    28.8026    38.1545 0.0000e+00
     19.657  44.442727     0.5617    13.1785     5.1904     19.500    28.8028    38.1546 0.0000e+00
     19.909  44.442963     0.5736    13.1783     5.1924     19.750    28.8031    38.1549 0.0000e+00
     20.161  44.443381     0.5638    13.1782     5.1981     20.000    28.8034    38.1553 0.0000e+00
     20.413  44.443556     0.5686    13.1783 -9.990e-29     20.250    28.8034    38.1553 0.0000e+00
     20.665  44.443567     0.5537    13.1782 -9.990e-29     20.500    28.8035    38.1553 0.0000e+00
