       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.613  44.501099     0.0559    13.2956     5.1462      1.600    28.7364    38.1012 0.0000e+00
      1.713  44.501308     0.0265    13.2957     5.1449      1.700    28.7364    38.1012 0.0000e+00
      1.814  44.501597     0.0274    13.2958     5.1559      1.800    28.7364    38.1013 0.0000e+00
      1.915  44.501921     0.0259    13.2961     5.1527      1.900    28.7364    38.1014 0.0000e+00
      2.016  44.502195     0.0397    13.2963     5.1528      2.000    28.7364    38.1014 0.0000e+00
      2.117  44.502361     0.0456    13.2964     5.1544      2.100    28.7364    38.1014 0.0000e+00
      2.218  44.502428     0.0381    13.2964     5.1506      2.200    28.7364    38.1014 0.0000e+00
      2.319  44.502492     0.0343    13.2965     5.1471      2.300    28.7363    38.1014 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      2.400 -9.990e-29 -9.990e-29 -9.990e-29
      2.499  44.502720     0.0493    13.2966     5.1416      2.500    28.7363    38.1014 0.0000e+00
      2.621  44.502975     0.0279    13.2968     5.1365      2.600    28.7363    38.1014 0.0000e+00
      2.722  44.503104     0.0399    13.2968     5.1327      2.700    28.7363    38.1015 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      2.800 -9.990e-29 -9.990e-29 -9.990e-29
      2.890  44.503179     0.0571    13.2968     5.1360      2.900    28.7363    38.1014 0.0000e+00
      3.024  44.503202     0.0206    13.2968     5.1308      3.000    28.7363    38.1014 0.0000e+00
      3.125  44.503266     0.0401    13.2969     5.1295      3.100    28.7362    38.1013 0.0000e+00
      3.226  44.503346     0.0374    13.2969     5.1282      3.200    28.7363    38.1014 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      3.300 -9.990e-29 -9.990e-29 -9.990e-29
      3.393  44.503524     0.0449    13.2970     5.1322      3.400    28.7362    38.1013 0.0000e+00
      3.528  44.503716     0.0403    13.2971     5.1267      3.500    28.7362    38.1014 0.0000e+00
      3.629  44.503899     0.0396    13.2973     5.1309      3.600    28.7361    38.1013 0.0000e+00
