       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      6.431  44.191188     0.2938    13.1198     4.7291      6.380    28.6771    37.9773 -9.990e-29
      6.425  44.193845     0.3004    13.1239     4.7091      6.374    28.6750    37.9757 -9.990e-29
      6.421  44.191679     0.3126    13.1269     4.6841      6.370    28.6705    37.9707 -9.990e-29
      6.419  44.184798     0.3027    13.1290     4.6602      6.368    28.6632    37.9619 -9.990e-29
      6.419  44.174000     0.3004    13.1304     4.6391      6.368    28.6538    37.9501 -9.990e-29
      6.419  44.160641     0.2684    13.1311     4.6231      6.368    28.6431    37.9365 -9.990e-29
      6.419  44.146713     0.2473    13.1309     4.6127      6.368    28.6329    37.9233 -9.990e-29
      6.418  44.134876     0.2916    13.1303     4.6082      6.367    28.6246    37.9125 -9.990e-29
      6.415  44.128026     0.2363    13.1296     4.6014      6.364    28.6202    37.9066 -9.990e-29
      6.411  44.127572     0.2451    13.1288     4.5960      6.360    28.6207    37.9070 -9.990e-29
      6.408  44.131322     0.2905    13.1278     4.5883      6.357    28.6244    37.9116 -9.990e-29
      6.406  44.134655     0.2938    13.1260     4.5678      6.355    28.6287    37.9166 -9.990e-29
      6.406  44.133753     0.3358    13.1226     4.5387      6.355    28.6314    37.9191 -9.990e-29
      6.408  44.126399     0.2661    13.1168     4.5157      6.357    28.6316    37.9179 -9.990e-29
      6.412  44.111983     0.2153    13.1086     4.4732      6.361    28.6289    37.9122 -9.990e-29
      6.418  44.092206     0.1788    13.0986     4.4359      6.367    28.6240    37.9031 -9.990e-29
      6.423  44.070643     0.2783    13.0881     4.3930      6.372    28.6182    37.8929 -9.990e-29
      6.430  44.051439     0.2772    13.0788     4.3647      6.379    28.6130    37.8836 -9.990e-29
      6.436  44.039217     0.2296    13.0724     4.3400      6.385    28.6101    37.8783 -9.990e-29
      6.442  44.036259     0.2938    13.0693     4.3379      6.391    28.6109    37.8785 -9.990e-29
      6.448  44.038168     0.2540    13.0681     4.3327      6.397    28.6136    37.8816 -9.990e-29
      6.452  44.038230     0.3071    13.0670     4.3375      6.401    28.6147    37.8827 -9.990e-29
      6.455  44.034466     0.2661    13.0651     4.3511      6.404    28.6137    37.8810 -9.990e-29
      6.454  44.029281     0.2440    13.0631     4.3813      6.403    28.6118    37.8780 -9.990e-29
      6.450  44.026660     0.2673    13.0619     4.4083      6.399    28.6110    37.8767 -9.990e-29
      6.444  44.030901     0.2894    13.0624     4.4380      6.393    28.6137    37.8803 -9.990e-29
      6.436  44.043364     0.2540    13.0645     4.4634      6.385    28.6210    37.8902 -9.990e-29
      6.427  44.059930     0.2595    13.0679     4.4779      6.376    28.6300    37.9028 -9.990e-29
      6.418  44.074905     0.2230    13.0720     4.4893      6.367    28.6372    37.9131 -9.990e-29
      6.411  44.084924     0.2219    13.0760     4.4950      6.360    28.6408    37.9188 -9.990e-29
      6.406  44.088199     0.2706    13.0792     4.4761      6.355    28.6401    37.9187 -9.990e-29
      6.403  44.083643     0.3812    13.0808     4.4601      6.352    28.6351    37.9127 -9.990e-29
      6.402  44.070085     0.3679    13.0800     4.4383      6.351    28.6257    37.9004 -9.990e-29
      6.404  44.046028     0.2606    13.0772     4.4104      6.353    28.6105    37.8800 -9.990e-29
      6.408  44.011578     0.2938    13.0733     4.3772      6.357    28.5885    37.8507 -9.990e-29
      6.412  43.971880     0.3015    13.0694     4.3460      6.361    28.5627    37.8163 -9.990e-29
      6.416  43.939330     0.3270    13.0658     4.3157      6.365    28.5418    37.7885 -9.990e-29
      6.420  43.928492     0.2695    13.0627     4.2868      6.369    28.5368    37.7812 -9.990e-29
      6.424  43.942066     0.3569    13.0606     4.2723      6.373    28.5490    37.7964 -9.990e-29
      6.428  43.968461     0.4808    13.0598     4.2624      6.377    28.5695    37.8226 -9.990e-29
      6.433  43.995292     0.3735    13.0593     4.2585      6.382    28.5901    37.8490 -9.990e-29
      6.438  44.014807     0.3303    13.0582     4.2625      6.387    28.6058    37.8689 -9.990e-29
      6.443  44.023703     0.2850    13.0557     4.2604      6.392    28.6149    37.8800 -9.990e-29
      6.448  44.023728     0.3513    13.0518     4.2677      6.397    28.6188    37.8840 -9.990e-29
      6.452  44.018777     0.3580    13.0473     4.2628      6.401    28.6195    37.8837 -9.990e-29
      6.456  44.012695     0.3679    13.0430     4.2536      6.405    28.6192    37.8821 -9.990e-29
      6.458  44.008984     0.3558    13.0396     4.2451      6.407    28.6198    37.8820 -9.990e-29
      6.460  44.009699     0.3569    13.0373     4.2656      6.409    28.6226    37.8850 -9.990e-29
      6.460  44.013767     0.3657    13.0357     4.3361      6.409    28.6272    37.8905 -9.990e-29
      6.460  44.018768     0.3613    13.0347     4.4679      6.409    28.6319    37.8963 -9.990e-29
      6.458  44.024192     0.3015    13.0345     4.6355      6.407    28.6362    37.9018 -9.990e-29
      6.456  44.031718     0.4111    13.0356     4.8176      6.405    28.6407    37.9079 -9.990e-29
      6.453  44.043873     0.4620    13.0387     5.0033      6.402    28.6468    37.9166 -9.990e-29
      6.451  44.062975     0.4409    13.0439     5.1644      6.400    28.6560    37.9298 -9.990e-29
      6.449  44.091499     0.4686    13.0525     5.2890      6.398    28.6689    37.9487 -9.990e-29
      6.449  44.134980     0.4033    13.0674     5.3698      6.398    28.6867    37.9757 -9.990e-29
      6.449  44.201256     0.3524    13.0911     5.4069      6.398    28.7130    38.0158 -9.990e-29
      6.451  44.281227     0.2130    13.1208     5.4037      6.400    28.7435    38.0631 -9.990e-29
      6.455  44.348921     0.2186    13.1503     5.3889      6.404    28.7649    38.0987 -9.990e-29
      6.460  44.393805     0.2108    13.1752     5.3680      6.409    28.7738    38.1169 -9.990e-29
      6.467  44.422000     0.2197    13.1944     5.3403      6.416    28.7759    38.1247 -9.990e-29
