       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.008  44.629894    -0.0133    13.3840     5.1552      1.000    28.7450    38.1363 0.0000e+00
      2.016  44.630748    -0.0090    13.3845     5.1496      2.000    28.7448    38.1362 0.0000e+00
      3.024  44.631512    -0.0085    13.3847     5.1433      3.000    28.7449    38.1363 0.0000e+00
      4.032  44.631227    -0.0094    13.3839     5.1416      4.000    28.7451    38.1363 0.0000e+00
      5.040  44.630285     0.0006    13.3829     5.1461      5.000    28.7450    38.1360 0.0000e+00
      6.048  44.630299     0.0066    13.3827     5.1436      6.000    28.7450    38.1358 0.0000e+00
      7.056  44.628864     0.0235    13.3812     5.1551      7.000    28.7450    38.1354 0.0000e+00
      8.064  44.616410     0.0308    13.3707     5.1538      8.000    28.7458    38.1335 0.0000e+00
      9.072  44.609272     0.0661    13.3639     5.1577      9.000    28.7470    38.1331 0.0000e+00
     10.080  44.604663     0.1118    13.3594     5.1573     10.000    28.7476    38.1327 0.0000e+00
     11.088  44.600863     0.1248    13.3557     5.1578     11.000    28.7481    38.1323 0.0000e+00
     12.096  44.599660     0.1803    13.3540     5.1688     12.000    28.7486    38.1324 0.0000e+00
     13.104  44.601225     0.2036    13.3548     5.1630     13.000    28.7487    38.1327 0.0000e+00
     14.113  44.605717     0.2240    13.3582     5.1561     14.000    28.7483    38.1331 0.0000e+00
     15.121  44.618569     0.2543    13.3679     5.1534     15.000    28.7479    38.1352 0.0000e+00
     16.129  44.610195     0.2636    13.3614     5.1601     16.000    28.7478    38.1333 0.0000e+00
     17.137  44.596003     0.2648    13.3496     5.1619     17.000    28.7486    38.1310 0.0000e+00
     18.144  44.595242     0.3371    13.3483     5.1727     18.000    28.7489    38.1311 0.0000e+00
     19.153  44.598231     0.3525    13.3501     5.1726     19.000    28.7491    38.1317 0.0000e+00
     20.161  44.596534     0.3471    13.3484     5.1749     20.000    28.7491    38.1313 0.0000e+00
     21.169  44.597733     0.3564    13.3489     5.1719     21.000    28.7493    38.1315 0.0000e+00
     22.177  44.599120     0.3784    13.3498     5.1657     22.000    28.7491    38.1315 0.0000e+00
     23.185  44.599963     0.3661    13.3499     5.1643     23.000    28.7492    38.1317 0.0000e+00
     24.193  44.603566     0.3565    13.3524     5.1709     24.000    28.7492    38.1322 0.0000e+00
     25.201  44.607926     0.3603    13.3557     5.1678     25.000    28.7488    38.1326 0.0000e+00
     26.210  44.598936     0.3527    13.3484     5.1699     26.000    28.7490    38.1309 0.0000e+00
     27.218  44.596058     0.3591    13.3453     5.1662     27.000    28.7496    38.1307 0.0000e+00
     28.226  44.599686     0.3839    13.3476     5.1706     28.000    28.7497    38.1315 0.0000e+00
     29.234  44.602770     0.3653    13.3497     5.1701     29.000    28.7496    38.1318 0.0000e+00
     30.242  44.608805     0.3516    13.3543     5.1643     30.000    28.7492    38.1325 0.0000e+00
     31.250  44.611243     0.3290    13.3560     5.1668     31.000    28.7490    38.1327 0.0000e+00
     32.259  44.614252     0.3178    13.3582     5.1598     32.000    28.7488    38.1330 0.0000e+00
     33.267  44.613823     0.3204    13.3575     5.1583     33.000    28.7488    38.1328 0.0000e+00
     34.275  44.617562     0.3081    13.3601     5.1607     34.000    28.7487    38.1333 0.0000e+00
     35.283  44.628499     0.3035    13.3689     5.1409     35.000    28.7478    38.1345 0.0000e+00
     36.291  44.631404     0.2770    13.3718     5.1482     36.000    28.7468    38.1339 0.0000e+00
     37.299  44.630965     0.2431    13.3711     5.1456     37.000    28.7468    38.1338 0.0000e+00
     38.308  44.629619     0.2392    13.3697     5.1525     38.000    28.7468    38.1334 0.0000e+00
     39.316  44.617072     0.2492    13.3590     5.1625     39.000    28.7477    38.1316 0.0000e+00
     40.324  44.604590     0.2697    13.3478     5.1702     40.000    28.7492    38.1305 0.0000e+00
     41.332  44.589363     0.3147    13.3342     5.1903     41.000    28.7510    38.1291 0.0000e+00
     42.340  44.582210     0.3308    13.3270     5.1858     42.000    28.7525    38.1289 0.0000e+00
     43.348  44.590229     0.3696    13.3332     5.1685     43.000    28.7520    38.1300 0.0000e+00
     44.357  44.597144     0.3416    13.3387     5.1883     44.000    28.7514    38.1306 0.0000e+00
     45.365  44.580351     0.3317    13.3238     5.1977     45.000    28.7533    38.1289 0.0000e+00
     46.373  44.574810     0.3635    13.3178     5.1830     46.000    28.7548    38.1293 0.0000e+00
     47.381  44.573056     0.3680    13.3155     5.2031     47.000    28.7554    38.1294 0.0000e+00
     48.390  44.568264     0.3591    13.3103     5.2014     48.000    28.7567    38.1296 0.0000e+00
     49.398  44.567848     0.3534    13.3092     5.1991     49.000    28.7571    38.1298 0.0000e+00
     50.406  44.568417     0.3698    13.3091     5.2001     50.000    28.7573    38.1300 0.0000e+00
     51.414  44.569527     0.3974    13.3094     5.1972     51.000    28.7575    38.1302 0.0000e+00
     52.423  44.570247     0.3538    13.3096     5.1980     52.000    28.7575    38.1303 0.0000e+00
     53.431  44.571038     0.3513    13.3097     5.1931     53.000    28.7577    38.1305 0.0000e+00
     54.439  44.572116     0.3429    13.3101     5.1982     54.000    28.7577    38.1306 0.0000e+00
     55.447  44.573009     0.3495    13.3104     5.1903     55.000    28.7579    38.1308 0.0000e+00
     56.456  44.573395     0.3483    13.3100     5.1953     56.000    28.7582    38.1311 0.0000e+00
     57.464  44.574309     0.3513    13.3104     5.1979     57.000    28.7581    38.1311 0.0000e+00
     58.472  44.573066     0.3551    13.3089     5.1995     58.000    28.7583    38.1309 0.0000e+00
     59.480  44.572540     0.3372    13.3080     5.2004     59.000    28.7586    38.1309 0.0000e+00
     60.489  44.563448     0.3342    13.3002     5.2083     60.000    28.7591    38.1295 0.0000e+00
     61.497  44.546851     0.3416    13.2859     5.2128     61.000    28.7606    38.1275 0.0000e+00
