       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
      1.008  44.451327     0.2349    13.2624     5.1392      1.000    28.7323    38.0871 0.0000e+00
      1.109  44.451542     0.2226    13.2624     5.1465      1.100    28.7324    38.0872 0.0000e+00
      1.209  44.451891     0.2139    13.2626     5.1468      1.200    28.7324    38.0872 0.0000e+00
      1.310  44.452281     0.2317    13.2627     5.1499      1.300    28.7326    38.0874 0.0000e+00
      1.411  44.452459     0.2303    13.2629     5.1528      1.400    28.7326    38.0875 0.0000e+00
      1.512  44.452528     0.2271    13.2629     5.1527      1.500    28.7325    38.0874 0.0000e+00
      1.613  44.452549     0.2069    13.2628     5.1490      1.600    28.7326    38.0875 0.0000e+00
      1.714  44.452626     0.2022    13.2628     5.1459      1.700    28.7326    38.0876 0.0000e+00
      1.814  44.452781     0.2079    13.2628     5.1439      1.800    28.7327    38.0877 0.0000e+00
      1.915  44.452981     0.2341    13.2629     5.1431      1.900    28.7328    38.0877 0.0000e+00
      2.016  44.453215     0.2468    13.2630     5.1414      2.000    28.7328    38.0878 0.0000e+00
      2.117  44.453509     0.2423    13.2631     5.1419      2.100    28.7329    38.0879 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      2.200 -9.990e-29 -9.990e-29 -9.990e-29
      2.283  44.454100     0.2230    13.2635     5.1448      2.300    28.7329    38.0880 0.0000e+00
      2.419  44.454582     0.2579    13.2637     5.1432      2.400    28.7329    38.0882 0.0000e+00
      2.520  44.454871     0.2603    13.2639     5.1443      2.500    28.7330    38.0883 0.0000e+00
      2.621  44.455076     0.2171    13.2640     5.1485      2.600    28.7330    38.0883 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      2.700 -9.990e-29 -9.990e-29 -9.990e-29
      2.774  44.455278     0.2230    13.2641     5.1507      2.800    28.7330    38.0883 0.0000e+00
      2.923  44.455422     0.2735    13.2641     5.1573      2.900    28.7330    38.0884 0.0000e+00
      3.024  44.455509     0.2175    13.2641     5.1590      3.000    28.7331    38.0884 0.0000e+00
      3.125  44.455541     0.2390    13.2642     5.1601      3.100    28.7330    38.0883 0.0000e+00
      3.226  44.455739     0.2551    13.2645     5.1617      3.200    28.7328    38.0881 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      3.300 -9.990e-29 -9.990e-29 -9.990e-29
      3.393  44.457455     0.2473    13.2659     5.1606      3.400    28.7326    38.0883 0.0000e+00
      3.528  44.460602     0.2589    13.2676     5.1568      3.500    28.7332    38.0896 0.0000e+00
      3.629  44.462546     0.2413    13.2688     5.1508      3.600    28.7334    38.0901 0.0000e+00
      3.730  44.463910     0.2490    13.2699     5.1488      3.700    28.7334    38.0903 0.0000e+00
      3.831  44.465242     0.2468    13.2708     5.1470      3.800    28.7334    38.0906 0.0000e+00
      3.932  44.466739     0.2531    13.2718     5.1509      3.900    28.7336    38.0911 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      4.000 -9.990e-29 -9.990e-29 -9.990e-29
      4.090  44.469421     0.2451    13.2731     5.1577      4.100    28.7342    38.0923 0.0000e+00
      4.234  44.471702     0.2377    13.2740     5.1592      4.200    28.7350    38.0935 0.0000e+00
      4.335  44.473044     0.2394    13.2746     5.1597      4.300    28.7353    38.0942 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      4.400 -9.990e-29 -9.990e-29 -9.990e-29
      4.494  44.475138     0.2496    13.2754     5.1620      4.500    28.7361    38.0953 0.0000e+00
      4.637  44.476466     0.2717    13.2758     5.1641      4.600    28.7366    38.0961 0.0000e+00
      4.738  44.476912     0.2748    13.2759     5.1652      4.700    28.7368    38.0964 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      4.800 -9.990e-29 -9.990e-29 -9.990e-29
      4.915  44.477323     0.2462    13.2759     5.1651      4.900    28.7371    38.0967 0.0000e+00
      5.040  44.477374     0.2526    13.2759     5.1628      5.000    28.7371    38.0967 0.0000e+00
      5.141  44.477581     0.2674    13.2758     5.1660      5.100    28.7373    38.0969 0.0000e+00
      5.242  44.478095     0.2998    13.2757     5.1665      5.200    28.7377    38.0974 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      5.300 -9.990e-29 -9.990e-29 -9.990e-29
      5.400  44.479364     0.2728    13.2755     5.1742      5.400    28.7388    38.0988 0.0000e+00
      5.544  44.480584     0.3330    13.2750     5.1705      5.500    28.7402    38.1004 0.0000e+00
      5.645  44.481208     0.3043    13.2744     5.1734      5.600    28.7411    38.1016 0.0000e+00
      5.746  44.481569     0.2997    13.2737     5.1735      5.700    28.7421    38.1025 0.0000e+00
      5.847  44.481664     0.3050    13.2727     5.1739      5.800    28.7432    38.1036 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      5.900 -9.990e-29 -9.990e-29 -9.990e-29
      6.015  44.481372     0.3259    13.2707     5.1790      6.000    28.7449    38.1053 0.0000e+00
      6.149  44.480720     0.3259    13.2687     5.1791      6.100    28.7464    38.1067 0.0000e+00
      6.250  44.480134     0.3220    13.2672     5.1818      6.200    28.7473    38.1075 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      6.300 -9.990e-29 -9.990e-29 -9.990e-29
      6.428  44.479189     0.2927    13.2648     5.1824      6.400    28.7489    38.1089 0.0000e+00
      6.552  44.478747     0.3224    13.2636     5.1818      6.500    28.7497    38.1096 0.0000e+00
      6.653  44.478513     0.3378    13.2629     5.1803      6.600    28.7503    38.1101 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      6.700 -9.990e-29 -9.990e-29 -9.990e-29
      6.820  44.478261     0.3303    13.2619     5.1795      6.800    28.7510    38.1108 0.0000e+00
      6.955  44.478173     0.3544    13.2615     5.1744      6.900    28.7513    38.1110 0.0000e+00
      7.056  44.478157     0.3624    13.2612     5.1682      7.000    28.7515    38.1113 0.0000e+00
      7.157  44.478175     0.3563    13.2611     5.1666      7.100    28.7516    38.1114 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      7.200 -9.990e-29 -9.990e-29 -9.990e-29
      7.319  44.478242     0.4454    13.2608     5.1702      7.300    28.7519    38.1116 0.0000e+00
      7.459  44.478312     0.4064    13.2607     5.1658      7.400    28.7520    38.1117 0.0000e+00
      7.560  44.478356     0.3851    13.2606     5.1662      7.500    28.7521    38.1118 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      7.600 -9.990e-29 -9.990e-29 -9.990e-29
      7.718  44.478391     0.4609    13.2603     5.1669      7.700    28.7524    38.1121 0.0000e+00
      7.862  44.478303     0.3971    13.2598     5.1734      7.800    28.7528    38.1124 0.0000e+00
      7.964  44.478157     0.4289    13.2593     5.1722      7.900    28.7531    38.1127 0.0000e+00
      8.065  44.478024     0.4548    13.2588     5.1749      8.000    28.7535    38.1131 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      8.100 -9.990e-29 -9.990e-29 -9.990e-29
      8.240  44.477889     0.4642    13.2578     5.1809      8.200    28.7543    38.1139 0.0000e+00
      8.367  44.477905     0.4239    13.2572     5.1893      8.300    28.7549    38.1144 0.0000e+00
      8.467  44.477985     0.5026    13.2569     5.1923      8.400    28.7552    38.1148 0.0000e+00
      8.568  44.478115     0.4654    13.2565     5.1987      8.500    28.7556    38.1152 0.0000e+00
 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29 -9.990e-29      8.600 -9.990e-29 -9.990e-29 -9.990e-29
      8.736  44.478410     0.4398    13.2560     5.2007      8.700    28.7563    38.1160 0.0000e+00
      8.871  44.478713     0.5128    13.2555     5.2038      8.800    28.7570    38.1167 0.0000e+00
      8.972  44.478991     0.4739    13.2551     5.2055      8.900    28.7575    38.1173 0.0000e+00
