       PrdM    C0mS/cm    WetStar     Tv290C Sbeox0ML/L      DepSM  Sigma-é00      Sal00       Flag
     34.275  44.617300     0.3105    13.3599     5.1622     34.000    28.7487    38.1333 0.0000e+00
     34.779  44.621158     0.3065    13.3630     5.1494     34.500    28.7483    38.1336 0.0000e+00
     35.283  44.629363     0.2969    13.3694     5.1385     35.000    28.7479    38.1348 0.0000e+00
     35.787  44.631387     0.3096    13.3718     5.1456     35.500    28.7469    38.1341 0.0000e+00
     36.291  44.631222     0.2775    13.3717     5.1495     36.000    28.7467    38.1338 0.0000e+00
     36.795  44.631858     0.2548    13.3718     5.1452     36.500    28.7469    38.1341 0.0000e+00
     37.299  44.630554     0.2470    13.3708     5.1459     37.000    28.7468    38.1336 0.0000e+00
     37.803  44.631503     0.2320    13.3713     5.1467     37.500    28.7468    38.1338 0.0000e+00
     38.308  44.630984     0.2330    13.3708     5.1515     38.000    28.7467    38.1335 0.0000e+00
     38.812  44.622644     0.2537    13.3642     5.1597     38.500    28.7469    38.1320 0.0000e+00
     39.316  44.616240     0.2428    13.3584     5.1601     39.000    28.7478    38.1315 0.0000e+00
     39.820  44.614155     0.2663    13.3558     5.1689     39.500    28.7486    38.1318 0.0000e+00
     40.324  44.604184     0.2673    13.3476     5.1691     40.000    28.7491    38.1302 0.0000e+00
     40.828  44.597821     0.2738    13.3417     5.1784     40.500    28.7501    38.1299 0.0000e+00
     41.332  44.589431     0.3516    13.3342     5.1941     41.000    28.7510    38.1290 0.0000e+00
     41.836  44.580612     0.3001    13.3264     5.1904     41.500    28.7520    38.1282 0.0000e+00
     42.340  44.582080     0.3318    13.3268     5.1872     42.000    28.7526    38.1290 0.0000e+00
     42.844  44.585108     0.3549    13.3290     5.1741     42.500    28.7525    38.1295 0.0000e+00
     43.348  44.587764     0.3687    13.3313     5.1653     43.000    28.7520    38.1295 0.0000e+00
     43.853  44.604614     0.3726    13.3442     5.1816     43.500    28.7517    38.1324 0.0000e+00
     44.357  44.594741     0.3359    13.3373     5.1862     44.000    28.7509    38.1297 0.0000e+00
     44.861  44.586159     0.3180    13.3295     5.1989     44.500    28.7522    38.1290 0.0000e+00
     45.365  44.580373     0.3270    13.3239     5.2019     45.000    28.7532    38.1289 0.0000e+00
     45.869  44.575370     0.3648    13.3187     5.1805     45.500    28.7544    38.1291 0.0000e+00
     46.373  44.574490     0.3604    13.3175     5.1819     46.000    28.7548    38.1292 0.0000e+00
     46.877  44.575318     0.3700    13.3178     5.1944     46.500    28.7549    38.1294 0.0000e+00
     47.381  44.573167     0.3693    13.3156     5.2042     47.000    28.7554    38.1294 0.0000e+00
     47.886  44.569689     0.3612    13.3121     5.2044     47.500    28.7561    38.1294 0.0000e+00
     48.390  44.568184     0.3585    13.3102     5.1985     48.000    28.7568    38.1296 0.0000e+00
     48.894  44.567676     0.3491    13.3094     5.2013     48.500    28.7570    38.1297 0.0000e+00
     49.397  44.567746     0.3567    13.3091     5.1987     49.000    28.7571    38.1298 0.0000e+00
     49.902  44.568062     0.3564    13.3091     5.1979     49.500    28.7572    38.1299 0.0000e+00
     50.406  44.568338     0.3832    13.3091     5.2001     50.000    28.7573    38.1299 0.0000e+00
     50.910  44.569096     0.3532    13.3093     5.2021     50.500    28.7575    38.1302 0.0000e+00
     51.414  44.569536     0.4616    13.3095     5.2002     51.000    28.7575    38.1302 0.0000e+00
     51.918  44.569943     0.3535    13.3095     5.1892     51.500    28.7575    38.1303 0.0000e+00
     52.423  44.570270     0.3447    13.3096     5.1992     52.000    28.7575    38.1303 0.0000e+00
     52.927  44.570554     0.3382    13.3096     5.2021     52.500    28.7576    38.1304 0.0000e+00
     53.431  44.571031     0.3551    13.3097     5.1918     53.000    28.7577    38.1305 0.0000e+00
     53.935  44.571663     0.3438    13.3100     5.1933     53.500    28.7577    38.1306 0.0000e+00
     54.439  44.572119     0.3452    13.3102     5.1981     54.000    28.7577    38.1306 0.0000e+00
     54.943  44.572453     0.3517    13.3102     5.2003     54.500    28.7577    38.1306 0.0000e+00
     55.447  44.573020     0.3472    13.3104     5.1907     55.000    28.7578    38.1308 0.0000e+00
     55.951  44.573414     0.3446    13.3103     5.1866     55.500    28.7580    38.1310 0.0000e+00
